Player_ID,,Name,Team,ou,odds,Position,GAME_DATE,Game_ID,Home,OPP,MIN,salary,DKFPS,MINavg,salaryavg,DKFPSavg,MINstd,salarystd,DKFPSstd
1713,44733,Vince Carter,SAC,205.0,5.0,SG/SF,2017-12-26,21700505.0,0.0,LAC,0.0,3100.0,0.0,11.3,3040.0,7.725,11.63376312482095,51.63977794943197,7.9647225661384695
1717,44717,Dirk Nowitzki,DAL,209.0,6.0,PF/C,2017-12-26,21700499.0,1.0,TOR,0.0,4500.0,0.0,24.2,4560.0,22.025,8.75341203315725,96.6091783079296,10.753197198972975
1938,44667,Manu Ginobili,SAS,207.0,-11.0,SG/SF,2017-12-26,21700502.0,1.0,BKN,0.0,4000.0,0.0,19.8,3840.0,16.75,9.077444574328174,195.50504398153572,9.351173426070359
2199,44715,Tyson Chandler,PHX,205.0,2.0,C,2017-12-26,21700504.0,1.0,MEM,0.0,4400.0,0.0,21.3,4370.0,18.975,12.37425643108394,82.32726023485645,14.220217415121795
2200,44574,Pau Gasol,SAS,207.0,-11.0,PF/C,2017-12-26,21700502.0,1.0,BKN,0.0,6400.0,0.0,21.5,5590.0,25.3,9.489760563657834,366.51512019742563,18.158943312379773
2207,44622,Joe Johnson,UTA,205.0,6.0,SG/SF,2017-12-26,21700503.0,0.0,DEN,0.0,3700.0,0.0,18.3,3680.0,10.525,8.287205667640793,103.27955589886444,6.112884843599716
2210,44711,Richard Jefferson,DEN,205.0,-6.0,SF/PF,2017-12-26,21700503.0,1.0,UTA,0.0,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0
2216,44649,Zach Randolph,SAC,205.0,5.0,PF/C,2017-12-26,21700505.0,0.0,LAC,0.0,6000.0,0.0,27.1,6160.0,33.65,10.159286939107046,661.9835513230086,15.195576841816685
2225,44630,Tony Parker,SAS,207.0,-11.0,PG,2017-12-26,21700502.0,1.0,BKN,0.0,4200.0,0.0,18.8,4000.0,17.425,7.315128919650771,244.9489742783179,9.264665551317963
2617,44745,Udonis Haslem,MIA,205.0,-7.0,PF/C,2017-12-26,21700500.0,1.0,ORL,0.0,3000.0,0.0,3.2,3000.0,1.05,4.709328803319831,0.0,1.4033689623347267
2734,44730,Devin Harris,DAL,209.0,6.0,PG/SG,2017-12-26,21700499.0,1.0,TOR,0.0,3600.0,0.0,16.6,3570.0,13.225,7.441624673267107,67.49485577105528,9.89981060424895
2744,44654,Al Jefferson,IND,208.0,2.0,PF/C,2017-12-26,21700498.0,0.0,DET,0.0,3200.0,0.0,0.4,3300.0,0.325,1.2649110640672994,81.64965809277261,1.0277402395547472
2863,44712,Damien Wilkins,IND,208.0,2.0,SG/SF,2017-12-26,21700498.0,0.0,DET,0.0,3000.0,0.0,1.0,3000.0,0.1,2.5385910352879697,0.0,0.31622776601684044
101139,44680,C.J. Miles,TOR,209.0,-6.0,SG/SF,2017-12-26,21700499.0,0.0,DAL,0.0,3700.0,0.0,15.7,3850.0,13.5,6.717307661721496,201.38409955990954,8.181109677516593
101150,44573,Lou Williams,LAC,205.0,-5.0,PG/SG,2017-12-26,21700505.0,1.0,SAC,0.0,7600.0,0.0,31.3,7470.0,35.4,11.431438132526367,262.67851073127395,16.764794461410293
200746,44562,LaMarcus Aldridge,SAS,207.0,-11.0,PF/C,2017-12-26,21700502.0,1.0,BKN,0.0,8500.0,0.0,30.5,7990.0,33.1,11.41392911217595,338.1321240777536,13.943437325295545
200752,44664,Rudy Gay,SAS,207.0,-11.0,SF/PF,2017-12-26,21700502.0,1.0,BKN,0.0,5200.0,0.0,21.3,5520.0,18.425,9.545796049687116,285.9681411936964,10.373611018134188
200757,44616,Thabo Sefolosha,UTA,205.0,6.0,SG/SF,2017-12-26,21700503.0,0.0,DEN,0.0,3500.0,0.0,17.1,3690.0,12.425,9.654590157594019,202.48456731316588,8.984593294449494
200768,44598,Kyle Lowry,TOR,209.0,-6.0,PG,2017-12-26,21700499.0,0.0,DAL,0.0,8200.0,0.0,30.0,8360.0,34.75,11.16542281629613,195.50504398153572,15.506718973829829
200826,44636,J.J. Barea,DAL,209.0,6.0,PG/SG,2017-12-26,21700499.0,1.0,TOR,0.0,4600.0,0.0,22.6,5240.0,24.95,8.48789988421426,523.2377832092949,10.661326788392183
201148,44556,Brandan Wright,MEM,205.0,-2.0,PF/C,2017-12-26,21700504.0,0.0,PHX,0.0,3600.0,0.0,12.3,3300.0,11.45,6.1833108714776195,200.0,7.398197978787357
201152,44596,Thaddeus Young,IND,208.0,2.0,SF/PF,2017-12-26,21700498.0,0.0,DET,0.0,5800.0,0.0,30.9,6040.0,23.85,11.939197814109809,164.6545204697129,12.379530596019297
201162,44739,Jared Dudley,PHX,205.0,2.0,PF,2017-12-26,21700504.0,1.0,MEM,0.0,3200.0,0.0,4.4,3480.0,2.2,7.089898917944236,244.04006956964167,5.194548424390062
201163,44634,Wilson Chandler,DEN,205.0,-6.0,SF/PF,2017-12-26,21700503.0,1.0,UTA,0.0,4600.0,0.0,30.1,4490.0,24.075,11.911245853300896,99.44289260117532,10.505322724959743
201167,44701,Arron Afflalo,ORL,205.0,7.0,SG/SF,2017-12-26,21700500.0,0.0,MIA,0.0,3400.0,0.0,15.0,3450.0,5.05,7.7316090031621245,108.01234497346404,4.258651325374153
201188,44583,Marc Gasol,MEM,205.0,-2.0,C,2017-12-26,21700504.0,0.0,PHX,0.0,8700.0,0.0,32.6,7920.0,35.15,11.758684733704989,358.3914681524208,14.68947090795158
201229,44588,Anthony Tolliver,DET,208.0,-2.0,SF/PF,2017-12-26,21700498.0,1.0,IND,0.0,3900.0,0.0,20.8,3570.0,15.025,9.795690662508463,163.6391694484477,8.280205646936285
201571,44732,D.J. Augustin,ORL,205.0,7.0,PG/SG,2017-12-26,21700500.0,0.0,MIA,0.0,3800.0,0.0,23.2,3970.0,14.475,8.966604708583963,176.6981104093143,8.72611820278002
201577,44627,Robin Lopez,CHI,213.0,7.0,C,2017-12-26,21700501.0,0.0,MIL,0.0,4500.0,0.0,25.6,4750.0,21.05,11.548929724341466,201.38409955990966,10.498544872716625
201578,44555,Marreese Speights,ORL,205.0,7.0,PF/C,2017-12-26,21700500.0,0.0,MIA,0.0,3600.0,0.0,7.5,3110.0,3.45,8.19552723542949,185.2925614624973,3.985738464966199
201585,44618,Kosta Koufos,SAC,205.0,5.0,C,2017-12-26,21700505.0,0.0,LAC,0.0,3500.0,0.0,16.2,3390.0,17.0,6.8605150438335585,128.66839377079188,8.007808689023486
201586,44648,Serge Ibaka,TOR,209.0,-6.0,PF/C,2017-12-26,21700499.0,0.0,DAL,0.0,5800.0,0.0,27.0,5590.0,30.2,10.044346115546247,412.17579852399,11.642713505784542
201588,44600,George Hill,SAC,205.0,5.0,PG/SG,2017-12-26,21700505.0,0.0,LAC,0.0,4600.0,0.0,25.2,4270.0,22.175,10.68540021607884,294.580681270476,11.563862532331779
201596,44577,Mario Chalmers,MEM,205.0,-2.0,PG,2017-12-26,21700504.0,0.0,PHX,0.0,3600.0,0.0,16.5,4100.0,11.625,11.645218379708943,365.14837167011075,10.791747103947325
201599,44560,DeAndre Jordan,LAC,205.0,-5.0,C,2017-12-26,21700505.0,1.0,SAC,0.0,8300.0,0.0,29.8,7450.0,36.8,10.726913193769528,359.7838857487151,14.980450223170488
201609,44565,Goran Dragic,MIA,205.0,-7.0,PG,2017-12-26,21700500.0,1.0,ORL,0.0,6600.0,0.0,22.3,6280.0,21.325,11.916841490559142,248.55135843076332,12.483350022240728
201936,44569,Tyreke Evans,MEM,205.0,-2.0,SG/SF,2017-12-26,21700504.0,0.0,PHX,0.0,8600.0,0.0,30.7,7450.0,34.8,11.528226229563685,512.6185499743233,18.86052609140171
201937,44646,Ricky Rubio,UTA,205.0,6.0,PG,2017-12-26,21700503.0,0.0,DEN,0.0,5800.0,0.0,27.0,5210.0,21.25,10.739335795724678,314.2893217686178,11.986682424906208
201942,44684,DeMar DeRozan,TOR,209.0,-6.0,SG/SF,2017-12-26,21700499.0,0.0,DAL,0.0,8800.0,0.0,30.9,8390.0,40.0,11.318127053536712,288.48262031225084,16.368160149102494
201954,44645,Darren Collison,IND,208.0,2.0,PG,2017-12-26,21700498.0,0.0,DET,0.0,5600.0,0.0,24.8,5720.0,23.025,10.315037566582095,187.3795909674026,11.49906397156839
