max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Position,team,ou,odds,home,OPP,Target,game_id,Name,AdaBoost,Random Forest,Neural Network
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,continuous,continuous,discrete,discrete,continuous,continuous,string,continuous,continuous,continuous
,,,,,,,,,,,,,,,,class,meta,meta,meta,meta,meta
5700.0,6500.0,6200.0,5900.0,200.0,26.8,9.17523841652,14.25,38.75,2200.0,PF/C,SAS,201.0,1.0,0,CHA,,21700277.0,Pau Gasol,26.75,28.425111607142853,20.65391228969098
4400.0,4600.0,4420.0,4300.0,146.969384567,15.0,8.98331787259,6.75,30.75,1627749.0,PG,SAS,201.0,1.0,0,CHA,,21700277.0,Dejounte Murray,22.5,19.945879836309523,32.47211646432255
3700.0,3800.0,3760.0,3600.0,80.0,12.95,6.75906798309,4.0,24.5,1938.0,SG/SF,SAS,201.0,1.0,0,CHA,,21700277.0,Manu Ginobili,19.5,17.525269717261907,26.50856212767901
4500.0,4600.0,4540.0,4400.0,80.0,23.75,12.1511316345,10.5,44.5,201980.0,SG/SF,SAS,201.0,1.0,0,CHA,,21700277.0,Danny Green,19.25,24.078980654761907,33.63135488371333
3700.0,3900.0,3860.0,3700.0,80.0,8.75,5.57000897665,1.5,15.25,1627854.0,PG/SG,SAS,201.0,1.0,0,CHA,,21700277.0,Bryn Forbes,20.75,14.639527529761905,22.38742386733654
7700.0,8500.0,8200.0,8000.0,167.332005307,36.35,9.17414846185,21.5,48.75,200746.0,PF/C,SAS,201.0,1.0,0,CHA,,21700277.0,LaMarcus Aldridge,27.0,30.74652157738095,21.568505181885953
4400.0,4500.0,4320.0,4000.0,193.907194297,25.6,10.0319489632,12.25,37.25,201988.0,PG,SAS,201.0,1.0,0,CHA,,21700277.0,Patty Mills,25.25,24.598046874999998,33.01061420511161
3000.0,3000.0,3000.0,3000.0,0.0,7.9,3.79670910131,1.5,12.75,203530.0,PF/C,SAS,201.0,1.0,0,CHA,,21700277.0,Joffrey Lauvergne,18.75,14.663857886904761,16.12857601603676
3700.0,4000.0,3850.0,3800.0,76.3762615826,21.1666666667,7.06910335348,8.5,31.0,101107.0,SF/PF,CHA,201.0,-1.0,1,SAS,,21700277.0,Marvin Williams,21.0,18.190014260912694,15.385348550967555
3600.0,4100.0,3775.0,3600.0,204.633819297,3.125,3.00780235388,0.0,8.0,1628370.0,PG/SG,CHA,201.0,-1.0,1,SAS,,21700277.0,Malik Monk,20.75,12.137230282738097,9.060964172965132
7600.0,8200.0,7866.6667,7400.0,262.466929134,40.6666666667,11.2765119706,27.0,64.0,202689.0,PG,CHA,201.0,-1.0,1,SAS,,21700277.0,Kemba Walker,30.25,36.46741071428572,24.493040084877418
3800.0,4000.0,3983.3333,3900.0,37.267799625,16.875,10.159919209,0.5,33.75,1626163.0,PF/C,CHA,201.0,-1.0,1,SAS,,21700277.0,Frank Kaminsky,18.5,16.308190724206344,9.235386943509969
3400.0,3400.0,3400.0,3400.0,0.0,5.54166666667,2.72112364454,1.5,9.0,1628407.0,SG/SF,CHA,201.0,-1.0,1,SAS,,21700277.0,Dwayne Bacon,20.25,10.563113839285712,4.746684917595217
6000.0,6300.0,5880.0,4600.0,649.30732323,24.15,10.4410248539,7.25,33.75,201587.0,SG/SF,CHA,201.0,-1.0,1,SAS,,21700277.0,Nicolas Batum,23.0,24.93388206845238,25.57161829962471
3600.0,4000.0,3700.0,3600.0,152.752523165,14.0,3.06526235962,8.75,17.5,203469.0,C,CHA,201.0,-1.0,1,SAS,,21700277.0,Cody Zeller,22.0,17.460797991071427,10.06508403527818
4000.0,4200.0,4083.3333,4000.0,68.7184270936,22.9583333333,8.0278378506,15.5,37.5,203077.0,SF,CHA,201.0,-1.0,1,SAS,,21700277.0,Michael Kidd-Gilchrist,24.0,18.658491443452377,20.426728485412994
3200.0,3200.0,3200.0,3200.0,0.0,18.25,7.13486159642,12.5,30.25,203487.0,PG,CHA,201.0,-1.0,1,SAS,,21700277.0,Michael Carter-Williams,21.25,17.289322916666666,12.9283698247841
6700.0,7200.0,6966.6667,6700.0,169.96731712,38.0,14.8884742894,15.25,57.0,2730.0,C,CHA,201.0,-1.0,1,SAS,,21700277.0,Dwight Howard,24.5,31.981581439393945,24.603452931657213
