Strategy,p1,p2,p3,p4,p5,p6,p7,p8
"floorAvgBonus",James Harden,LeBron James,DeMar DeRozan,Marcin Gortat,Jeremy Lin,Justise Winslow,Rudy Gay,Jerryd Bayless
"baselineBonus",LeBron James,Kyrie Irving,Kevin Love,Brook Lopez,Jeremy Lin,Tristan Thompson,Kyle Korver,Rudy Gay
"svnGameBonus",LeBron James,Kyrie Irving,Kevin Love,Carmelo Anthony,Jeremy Lin,Iman Shumpert,Kyle Korver,Rudy Gay
"baselineFloorAvgBonus",LeBron James,Kyrie Irving,Kevin Love,Brook Lopez,Jeremy Lin,Tristan Thompson,Kyle Korver,Rudy Gay
"baselineFloorAvg",LeBron James,Kyrie Irving,Kevin Love,Brook Lopez,Jeremy Lin,Tristan Thompson,Kyle Korver,Rudy Gay
"baselineSvnGameAvg",LeBron James,Kyrie Irving,Kevin Love,Brook Lopez,Jeremy Lin,Tristan Thompson,Kyle Korver,Rudy Gay
"baselineSvnGameAvgBonus",LeBron James,Kyrie Irving,Kevin Love,Brook Lopez,Jeremy Lin,Tristan Thompson,Kyle Korver,Rudy Gay
"frGameAvgBonus",LeBron James,Kawhi Leonard,Kyrie Irving,Brook Lopez,Jeremy Lin,Iman Shumpert,Sam Dekker,Rudy Gay
"baselineFrGameAvgBonus",LeBron James,Kyrie Irving,Kevin Love,Brook Lopez,Jeremy Lin,Tristan Thompson,Iman Shumpert,Rudy Gay
"baselineFrGameAvg",LeBron James,Kyrie Irving,Kevin Love,Brook Lopez,Jeremy Lin,Tristan Thompson,Iman Shumpert,Rudy Gay
