Strategy,p1,p2,p3,p4,p5,p6,p7,p8
"floorAvgBonus",Karl-Anthony Towns,DeMar DeRozan,Kyle Lowry,Dwight Howard,Gorgui Dieng,J.J. Barea,Matthew Dellavedova,Tony Snell
"baselineBonus",Giannis Antetokounmpo,DeMar DeRozan,Paul Millsap,Dwight Howard,Gorgui Dieng,Thabo Sefolosha,J.J. Barea,Matthew Dellavedova
"svnGameBonus",Kyle Lowry,Paul Millsap,Jabari Parker,Dwight Howard,Malcolm Brogdon,Gorgui Dieng,DeMarre Carroll,J.J. Barea
"baselineFloorAvgBonus",Karl-Anthony Towns,DeMar DeRozan,Kyle Lowry,Jabari Parker,Wesley Matthews,Kent Bazemore,J.J. Barea,Matthew Dellavedova
"baselineFloorAvg",Karl-Anthony Towns,DeMar DeRozan,Kyle Lowry,Jabari Parker,Wesley Matthews,Kent Bazemore,J.J. Barea,Matthew Dellavedova
"baselineSvnGameAvg",Kyle Lowry,Paul Millsap,Jabari Parker,Dwight Howard,Andrew Wiggins,Gorgui Dieng,Kent Bazemore,J.J. Barea
"baselineSvnGameAvgBonus",Kyle Lowry,Paul Millsap,Jabari Parker,Dwight Howard,Andrew Wiggins,Gorgui Dieng,Kent Bazemore,J.J. Barea
"frGameAvgBonus",Karl-Anthony Towns,DeMar DeRozan,Kyle Lowry,Ricky Rubio,DeMarre Carroll,Kyle O'Quinn,Michael Beasley,Lucas Nogueira
"baselineFrGameAvgBonus",Karl-Anthony Towns,DeMar DeRozan,Kyle Lowry,Jabari Parker,DeMarre Carroll,Kyle O'Quinn,Lucas Nogueira,Tony Snell
"baselineFrGameAvg",Karl-Anthony Towns,DeMar DeRozan,Kyle Lowry,Jabari Parker,DeMarre Carroll,Kyle O'Quinn,Lucas Nogueira,Tony Snell
