Strategy,p1,p2,p3,p4,p5,p6,p7,p8
"floorAvgBonus",James Harden,John Wall,Wilson Chandler,Eric Gordon,Patrick Beverley,Clint Capela,Luol Deng,Larry Nance Jr.
"baselineBonus",James Harden,Danilo Gallinari,D'Angelo Russell,Lou Williams,Wilson Chandler,Eric Gordon,Ryan Anderson,Clint Capela
"svnGameBonus",James Harden,Damian Lillard,Otto Porter,Will Barton,Jusuf Nurkic,Clint Capela,Nick Young,Larry Nance Jr.
"baselineFloorAvgBonus",James Harden,John Wall,Lou Williams,Wilson Chandler,Patrick Beverley,Clint Capela,Luol Deng,Larry Nance Jr.
"baselineFloorAvg",James Harden,John Wall,Lou Williams,Wilson Chandler,Patrick Beverley,Clint Capela,Luol Deng,Larry Nance Jr.
"baselineSvnGameAvg",James Harden,Otto Porter,D'Angelo Russell,Wilson Chandler,Eric Gordon,Will Barton,Patrick Beverley,Clint Capela
"baselineSvnGameAvgBonus",James Harden,Otto Porter,D'Angelo Russell,Wilson Chandler,Eric Gordon,Will Barton,Patrick Beverley,Clint Capela
"frGameAvgBonus",James Harden,Anthony Davis,D'Angelo Russell,Ryan Anderson,Jusuf Nurkic,Emmanuel Mudiay,Matt Barnes,Luol Deng
"baselineFrGameAvgBonus",James Harden,Anthony Davis,D'Angelo Russell,Eric Gordon,Will Barton,Emmanuel Mudiay,Luol Deng,Larry Nance Jr.
"baselineFrGameAvg",James Harden,Anthony Davis,D'Angelo Russell,Eric Gordon,Will Barton,Emmanuel Mudiay,Luol Deng,Larry Nance Jr.
NeuralNetworkAvg,Terrence Jones,Derrick Rose,Marcin Gortat,Julius Randle,Jameer Nelson,Norman Powell,Victor Oladipo,David Lee
RandomForestAvg,Terrence Jones,Derrick Rose,Marcin Gortat,Julius Randle,Jameer Nelson,Norman Powell,Victor Oladipo,David Lee
NNRF,Danilo Gallinari,Nick Young,Larry Nance Jr.,Marcelo Huertas,Mike Miller,Metta World Peace,Tarik Black,Timofey Mozgov
