id,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,DKFPS
1,22016,201939,0021601229,"APR 12, 2017","GSW vs. LAL",W,28,6,17,0.353,5,14,0.357,3,4,0.75,0,5,5,8,2,0,6,1,20,27,1,41.75
2,22016,201939,0021601211,"APR 10, 2017","GSW vs. UTA",L,30,9,16,0.563,6,8,0.75,4,5,0.8,1,3,4,4,1,0,1,1,28,9,1,43.5
3,22016,201939,0021601171,"APR 05, 2017","GSW @ PHX",W,35,15,25,0.6,8,12,0.667,4,7,0.571,0,4,4,11,2,2,3,0,42,25,1,75.5
4,22016,201939,0021601162,"APR 04, 2017","GSW vs. MIN",W,30,7,18,0.389,3,8,0.375,2,4,0.5,0,3,3,9,3,2,3,2,19,13,1,46.25
5,22016,201939,0021601152,"APR 02, 2017","GSW vs. WAS",W,36,15,22,0.682,9,14,0.643,3,3,1,0,1,1,8,1,0,1,3,42,26,1,61.25
6,22016,201939,0021601136,"MAR 31, 2017","GSW vs. HOU",W,35,8,18,0.444,4,9,0.444,4,5,0.8,3,4,7,5,2,0,2,4,24,14,1,45.25
7,22016,201939,0021601118,"MAR 29, 2017","GSW @ SAS",W,35,9,20,0.45,4,8,0.5,7,7,1,1,3,4,11,1,0,2,5,29,6,1,55
8,22016,201939,0021601108,"MAR 28, 2017","GSW @ HOU",W,33,11,22,0.5,3,11,0.273,7,10,0.7,2,8,10,7,2,0,6,5,32,9,1,59
9,22016,201939,0021601094,"MAR 26, 2017","GSW vs. MEM",W,36,8,18,0.444,5,12,0.417,0,0,0,0,1,1,11,4,0,5,1,21,8,1,48.25
10,22016,201939,0021601081,"MAR 24, 2017","GSW vs. SAC",W,33,9,18,0.5,5,11,0.455,4,4,1,1,6,7,12,6,0,3,0,27,28,1,68.25
11,22016,201939,0021601055,"MAR 21, 2017","GSW @ DAL",W,30,7,14,0.5,3,9,0.333,0,0,0,1,4,5,9,2,0,0,1,17,14,1,42.25
12,22016,201939,0021601049,"MAR 20, 2017","GSW @ OKC",W,30,8,17,0.471,7,12,0.583,0,0,0,0,4,4,6,0,0,5,3,23,16,1,38
13,22016,201939,0021601035,"MAR 18, 2017","GSW vs. MIL",W,30,9,13,0.692,6,8,0.75,4,4,1,0,4,4,4,1,1,3,3,28,18,1,44.5
14,22016,201939,0021601019,"MAR 16, 2017","GSW vs. ORL",W,28,8,15,0.533,2,7,0.286,7,7,1,0,1,1,9,3,0,2,1,25,24,1,45.75
15,22016,201939,0021601003,"MAR 14, 2017","GSW vs. PHI",W,37,8,23,0.348,5,13,0.385,8,8,1,2,4,6,5,3,0,5,3,29,3,1,50
16,22016,201939,0021600968,"MAR 10, 2017","GSW @ MIN",L,35,10,27,0.37,1,8,0.125,5,5,1,3,3,6,7,1,0,6,4,26,-5,1,43.5
17,22016,201939,0021600959,"MAR 08, 2017","GSW vs. BOS",L,35,8,16,0.5,2,9,0.222,5,5,1,3,2,5,6,0,1,4,4,23,-3,1,39.25
18,22016,201939,0021600937,"MAR 06, 2017","GSW @ ATL",W,35,8,20,0.4,6,15,0.4,2,3,0.667,1,3,4,9,0,0,2,4,24,5,1,44.5
19,22016,201939,0021600928,"MAR 05, 2017","GSW @ NYK",W,37,11,24,0.458,5,13,0.385,4,6,0.667,2,6,8,6,2,0,2,2,31,22,1,55.5
20,22016,201939,0021600906,"MAR 02, 2017","GSW @ CHI",L,35,10,27,0.37,2,11,0.182,1,1,1,1,5,6,5,5,0,4,4,23,-4,1,47
21,22016,201939,0021600889,"FEB 28, 2017","GSW @ WAS",L,34,9,20,0.45,2,9,0.222,5,6,0.833,4,3,7,4,2,0,5,3,25,-5,1,42.25
22,22016,201939,0021600883,"FEB 27, 2017","GSW @ PHI",W,35,7,23,0.304,0,11,0,5,5,1,2,2,4,6,2,0,4,2,19,8,1,35
23,22016,201939,0021600873,"FEB 25, 2017","GSW vs. BKN",W,35,9,21,0.429,5,10,0.5,4,4,1,1,4,5,5,3,0,4,2,27,17,2,47.25
24,22016,201939,0021600854,"FEB 23, 2017","GSW vs. LAC",W,32,10,16,0.625,6,10,0.6,9,10,0.9,1,6,7,5,4,0,4,5,35,26,1,60.25
25,22016,201939,0021600847,"FEB 15, 2017","GSW vs. SAC",W,30,4,14,0.286,2,8,0.25,3,4,0.75,0,6,6,9,0,2,3,2,13,23,1,37.5
26,22016,201939,0021600827,"FEB 13, 2017","GSW @ DEN",L,27,4,18,0.222,1,11,0.091,2,2,1,1,1,2,5,1,0,1,1,11,-24,1,23
27,22016,201939,0021600813,"FEB 11, 2017","GSW @ OKC",W,34,9,19,0.474,4,11,0.364,4,4,1,3,5,8,9,2,0,0,2,26,16,1,55.5
28,22016,201939,0021600803,"FEB 10, 2017","GSW @ MEM",W,35,6,13,0.462,2,6,0.333,4,5,0.8,0,4,4,5,0,0,3,3,18,15,1,30
29,22016,201939,0021600792,"FEB 08, 2017","GSW vs. CHI",W,28,5,11,0.455,1,4,0.25,2,2,1,0,1,1,6,1,0,2,4,13,20,1,24.75
30,22016,201939,0021600764,"FEB 04, 2017","GSW @ SAC",L,42,11,20,0.55,8,14,0.571,5,6,0.833,0,4,4,9,3,0,3,2,35,4,1,62
31,22016,201939,0021600745,"FEB 02, 2017","GSW @ LAC",W,37,11,23,0.478,3,10,0.3,4,4,1,1,2,3,11,3,0,4,1,29,13,1,56.25
32,22016,201939,0021600741,"FEB 01, 2017","GSW vs. CHA",W,30,14,20,0.7,11,15,0.733,0,0,0,1,4,5,8,3,0,1,2,39,25,1,69.75
33,22016,201939,0021600707,"JAN 28, 2017","GSW vs. LAC",W,29,15,23,0.652,9,15,0.6,4,4,1,0,9,9,6,0,0,2,1,43,42,1,66.75
34,22016,201939,0021600687,"JAN 25, 2017","GSW @ CHA",W,36,11,23,0.478,6,12,0.5,0,0,0,0,2,2,7,1,1,4,2,28,0,1,46
35,22016,201939,0021600668,"JAN 23, 2017","GSW @ MIA",L,37,7,19,0.368,3,9,0.333,4,5,0.8,0,9,9,8,0,1,4,2,21,1,1,45.75
36,22016,201939,0021600661,"JAN 22, 2017","GSW @ ORL",W,30,8,15,0.533,7,13,0.538,4,4,1,1,3,4,6,0,0,3,2,27,32,1,43
37,22016,201939,0021600646,"JAN 20, 2017","GSW @ HOU",W,33,8,18,0.444,5,11,0.455,3,5,0.6,0,1,1,7,1,0,1,1,24,15,1,39.75
38,22016,201939,0021600634,"JAN 18, 2017","GSW vs. OKC",W,34,9,19,0.474,2,6,0.333,4,4,1,0,4,4,8,3,0,3,0,24,19,1,46.5
39,22016,201939,0021600619,"JAN 16, 2017","GSW vs. CLE",W,31,7,20,0.35,5,12,0.417,1,2,0.5,0,2,2,11,4,0,3,2,20,23,1,49.5
40,22016,201939,0021600590,"JAN 12, 2017","GSW vs. DET",W,30,9,17,0.529,3,9,0.333,3,3,1,0,2,2,7,5,0,8,0,24,32,1,44.5
41,22016,201939,0021600578,"JAN 10, 2017","GSW vs. MIA",W,36,8,21,0.381,4,11,0.364,4,5,0.8,1,7,8,9,1,1,3,0,24,18,1,52
42,22016,201939,0021600566,"JAN 08, 2017","GSW @ SAC",W,37,11,22,0.5,5,11,0.455,3,3,1,2,2,4,6,2,0,4,3,30,14,1,48.5
