Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
PG,Semaj Christon,3000,OKC@Cha 07:00PM ET,9.360,OKC,0,0,11.321,4.891,10.875,15.250,14.500,18.000,0.049,2.000,208.500,0.361,14.250
PG,Aaron Harrison,3000,OKC@Cha 07:00PM ET,1.850,Cha,1,0,1.688,0.625,1.625,2.750,21.000,18.000,0.014,-2.000,208.500,0.361,0.000
PG,Cameron Payne,3000,OKC@Cha 07:00PM ET,0.000,OKC,0,1,0.000,0.000,0.000,,14.500,18.000,,2.000,208.500,0.361,0.000
SG,Anthony Morrow,3000,OKC@Cha 07:00PM ET,8.875,OKC,0,0,9.750,3.953,4.562,0.000,20.500,18.000,0.098,2.000,208.500,0.361,5.500
SF,Kyle Singler,3000,OKC@Cha 07:00PM ET,4.338,OKC,0,0,4.893,1.333,2.500,6.000,22.000,18.000,0.001,2.000,208.500,0.361,0.000
SF,Josh Huestis,3000,OKC@Cha 07:00PM ET,0.000,OKC,0,0,0.000,0.000,0.000,0.000,22.000,18.000,0.000,2.000,208.500,0.000,0.000
SF,Treveon Graham,3000,OKC@Cha 07:00PM ET,4.219,Cha,1,0,4.375,0.750,3.125,5.000,7.000,18.000,0.008,-2.000,208.500,-2.424,0.000
PF/C,Joffrey Lauvergne,3000,OKC@Cha 07:00PM ET,12.661,OKC,0,0,10.893,7.667,6.750,7.750,18.750,18.000,0.240,2.000,208.500,0.361,0.000
PF,Christian Wood,3000,OKC@Cha 07:00PM ET,2.500,Cha,1,0,0.000,0.000,0.000,,15.000,18.000,,-2.000,208.500,0.361,0.000
PF,Domantas Sabonis,3000,OKC@Cha 07:00PM ET,14.564,OKC,0,0,14.643,9.737,13.500,5.500,13.000,18.000,0.311,2.000,208.500,-6.190,5.750
C,Nick Collison,3000,OKC@Cha 07:00PM ET,4.250,OKC,0,0,5.850,0.500,7.062,7.000,24.500,18.000,0.012,2.000,208.500,0.361,0.000
C,Roy Hibbert,3000,OKC@Cha 07:00PM ET,12.647,Cha,1,0,11.857,8.234,8.125,6.750,12.000,18.000,0.246,-2.000,208.500,0.361,11.500
PG,C.J. Watson,3000,Atl@Orl 07:00PM ET,7.346,Orl,1,0,8.357,3.696,10.062,9.250,23.000,18.000,0.030,2.000,207.000,-0.721,1.500
PG,Malcolm Delaney,3000,Atl@Orl 07:00PM ET,11.772,Atl,0,0,9.071,5.846,10.250,13.500,19.000,18.000,0.133,-2.000,207.000,-0.721,17.250
SG,C.J. Wilcox,3000,Atl@Orl 07:00PM ET,2.783,Orl,1,0,2.000,0.675,3.562,0.000,26.000,18.000,0.001,2.000,207.000,-0.721,0.000
SG,Mario Hezonja,3000,Atl@Orl 07:00PM ET,6.156,Orl,1,0,4.607,1.554,6.688,2.000,26.000,18.000,0.044,2.000,207.000,-0.721,3.500
SF,Ryan Kelly,3000,Atl@Orl 07:00PM ET,4.667,Atl,0,1,6.812,2.650,4.562,7.750,25.000,18.000,0.006,-2.000,207.000,-0.721,0.000
SF,Taurean Prince,3000,Atl@Orl 07:00PM ET,7.850,Atl,0,0,7.286,2.841,4.625,9.500,25.000,18.000,0.070,-2.000,207.000,-0.721,0.000
SF,DeAndre' Bembry,3000,Atl@Orl 07:00PM ET,4.136,Atl,0,0,5.792,1.071,6.562,9.750,25.000,18.000,0.021,-2.000,207.000,-0.721,1.250
SF,Damjan Rudez,3000,Atl@Orl 07:00PM ET,4.393,Orl,1,0,4.071,1.346,2.500,8.500,26.000,18.000,0.007,2.000,207.000,-0.721,1.250
PF,Arinze Onuaku,3000,Atl@Orl 07:00PM ET,2.214,Orl,1,0,3.750,1.312,2.562,2.250,19.000,18.000,0.005,2.000,207.000,-2.267,0.000
PF,Mike Scott,3000,Atl@Orl 07:00PM ET,9.679,Atl,0,0,9.800,6.812,11.938,14.250,11.000,18.000,0.078,-2.000,207.000,-0.721,0.000
PF,Stephen Zimmerman Jr.,3000,Atl@Orl 07:00PM ET,4.125,Orl,1,0,5.050,1.950,5.000,11.000,19.000,18.000,0.011,2.000,207.000,-0.721,0.000
C,Tiago Splitter,3000,Atl@Orl 07:00PM ET,0.000,Atl,0,1,0.000,0.000,0.000,0.000,18.500,18.000,0.000,-2.000,207.000,0.000,0.000
SG,Arron Afflalo,3000,Mia@Sac 10:30PM ET,12.880,Sac,1,0,12.357,6.354,15.188,26.500,3.000,18.000,0.231,-7.500,204.000,-9002.885,17.750
SG,Ben McLemore,3000,Mia@Sac 10:30PM ET,9.813,Sac,1,0,8.071,5.038,8.000,9.500,3.000,18.000,0.087,-7.500,204.000,-9009.136,0.000
SG,Malachi Richardson,3000,Mia@Sac 10:30PM ET,5.700,Sac,1,0,8.750,1.167,7.125,8.750,3.000,18.000,0.079,-7.500,204.000,-9002.885,0.000
SF,Derrick Williams,3000,Mia@Sac 10:30PM ET,12.488,Mia,0,0,13.643,7.795,14.688,11.500,17.000,18.000,0.199,7.500,204.000,-6.885,0.000
