Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
PG/SG,James Harden,11900,Pho@Hou 08:00PM ET,59.016,Hou,1,0,59.893,52.050,57.562,50.250,20.500,71.400,0.087,-13.000,230.000,14.892,55.250
PF/C,Anthony Davis,11100,Dal@NO 08:00PM ET,55.617,NO,1,0,55.964,40.625,51.875,68.000,5.250,66.600,0.269,-4.500,199.500,-6.974,56.500
PF/C,DeMarcus Cousins,10900,Phi@Sac 10:30PM ET,52.914,Sac,1,0,62.429,39.125,56.188,62.250,16.750,65.400,0.191,-8.500,205.500,-2.672,54.750
PG,Giannis Antetokounmpo,10300,Mil@Was 07:00PM ET,51.134,Mil,0,0,49.786,40.568,56.188,63.500,3.000,61.800,0.165,3.500,213.000,-10.629,50.000
SF,LeBron James,9700,Cle@Det 07:30PM ET,51.856,Cle,0,0,53.179,42.786,54.188,60.250,3.000,58.200,0.311,5.500,204.500,-16.722,0.000
PG,Chris Paul,9400,Den@LAC 10:30PM ET,44.017,LAC,1,0,47.679,36.309,40.938,39.500,30.000,56.400,0.129,4.500,208.500,-0.521,0.000
PG,John Wall,8800,Mil@Was 07:00PM ET,48.435,Was,1,0,53.857,40.479,43.500,38.750,4.000,52.800,0.325,-3.500,213.000,-9.795,52.250
PG,Damian Lillard,8500,Tor@Por 10:00PM ET,44.352,Por,1,0,42.929,34.188,40.000,40.250,9.000,51.000,0.300,8.000,215.500,2.497,0.000
PF/C,Karl-Anthony Towns,8400,Atl@Min 08:00PM ET,44.543,Min,1,0,53.286,37.434,45.625,34.500,11.500,50.400,0.303,2.000,208.500,-0.521,50.250
PG,Kyle Lowry,8300,Tor@Por 10:00PM ET,42.466,Tor,0,0,42.571,34.917,44.438,52.500,11.000,49.800,0.184,-8.000,215.500,4.497,45.500
PF/C,Kevin Love,8200,Cle@Det 07:30PM ET,42.270,Cle,0,0,40.643,34.483,46.562,35.500,8.500,49.200,0.248,5.500,204.500,-3.389,42.500
PF/C,Paul Millsap,8200,Atl@Min 08:00PM ET,38.537,Atl,0,0,37.071,26.977,43.000,39.000,10.750,49.200,0.181,-2.000,208.500,-12.883,14.250
SG/SF,Jimmy Butler,8200,Ind@Chi 08:00PM ET,42.759,Chi,1,0,41.821,33.953,37.062,32.250,17.500,49.200,0.272,-2.000,206.000,-2.314,33.250
PG,Kemba Walker,8100,Cha@Bkn 07:30PM ET,39.336,Cha,0,0,33.857,33.309,42.812,34.750,29.000,48.600,0.171,-6.500,217.500,5.931,30.750
SG,DeMar DeRozan,8000,Tor@Por 10:00PM ET,41.707,Tor,0,0,40.893,33.318,38.938,40.000,10.000,48.000,0.229,-8.000,215.500,4.497,49.000
PG,Eric Bledsoe,7900,Pho@Hou 08:00PM ET,37.800,Pho,0,0,41.464,29.074,34.750,49.500,10.000,47.400,0.215,13.000,230.000,12.892,41.500
PF/C,Blake Griffin,7900,Den@LAC 10:30PM ET,41.942,LAC,1,0,45.679,35.625,41.750,46.250,11.000,47.400,0.259,4.500,208.500,-0.521,0.000
SG/SF,Nicolas Batum,7800,Cha@Bkn 07:30PM ET,35.595,Cha,0,0,32.500,27.167,44.062,56.750,30.000,46.800,0.145,-6.500,217.500,5.931,44.250
SF/PF,Paul George,7700,Ind@Chi 08:00PM ET,39.260,Ind,0,0,38.143,33.712,38.125,38.000,15.250,46.200,0.173,2.000,206.000,-9.889,30.250
PG,Kyrie Irving,7600,Cle@Det 07:30PM ET,38.481,Cle,0,0,39.357,32.143,53.250,63.000,25.000,45.600,0.270,5.500,204.500,-3.389,35.750
