Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
PF/C,DeMarcus Cousins,11000,Sac@Cha 07:00PM ET,53.189,Sac,0,0,55.357,40.653,61.500,54.500,18.000,66.000,0.161,7.500,206.000,-6.196,67.000
PF/C,Karl-Anthony Towns,10600,Bkn@Min 09:00PM ET,46.647,Min,1,0,55.143,38.713,56.000,58.000,29.500,63.600,0.076,-11.000,219.500,5.359,66.250
PG/SF,Giannis Antetokounmpo,10300,Bos@Mil 08:00PM ET,49.989,Mil,1,0,49.571,40.750,48.062,45.000,19.000,61.800,0.164,-1.000,217.000,3.589,39.500
C,Nikola Jokic,9800,Den@Pho 09:00PM ET,35.268,Den,0,1,46.429,22.977,49.500,64.500,25.500,58.800,0.073,3.000,228.000,11.375,0.000
SF,Kevin Durant,9500,LAC@GS 08:30PM ET,49.978,GS,1,0,49.750,42.065,48.062,47.750,20.000,57.000,0.242,-11.500,222.000,7.128,44.000
PG,Isaiah Thomas,9400,Bos@Mil 08:00PM ET,44.143,Bos,0,0,47.857,36.978,51.125,41.250,5.000,56.400,0.102,1.000,217.000,-8.411,56.250
PG,Eric Bledsoe,8900,Den@Pho 09:00PM ET,39.674,Pho,1,0,42.607,29.815,45.500,41.500,29.000,53.400,0.133,-3.000,228.000,11.375,64.500
PG,Stephen Curry,8600,LAC@GS 08:30PM ET,43.489,GS,1,1,48.036,37.458,43.938,44.500,2.000,51.600,0.164,-11.500,222.000,-7.872,66.750
PG,Chris Paul,7900,LAC@GS 08:30PM ET,43.917,LAC,0,1,41.250,36.188,43.312,22.250,15.500,47.400,0.374,11.500,222.000,-5.705,0.000
PG,Kemba Walker,7800,Sac@Cha 07:00PM ET,39.973,Cha,1,0,41.643,32.830,40.812,55.000,20.000,46.800,0.243,-7.500,206.000,-4.196,44.750
PF/C,Draymond Green,7700,LAC@GS 08:30PM ET,39.318,GS,1,0,42.821,33.521,33.375,38.000,9.750,46.200,0.222,-11.500,222.000,-2.053,26.250
PF,Blake Griffin,7700,LAC@GS 08:30PM ET,41.639,LAC,0,0,37.357,35.500,37.438,33.750,10.000,46.200,0.294,11.500,222.000,-3.432,29.000
C,Marc Gasol,7600,Mem@Uta 09:00PM ET,39.658,Mem,0,0,41.500,29.188,53.188,57.500,2.000,45.600,0.309,7.500,188.500,-33.582,33.500
C,DeAndre Jordan,7500,LAC@GS 08:30PM ET,36.223,LAC,0,0,38.536,29.750,42.062,40.000,22.000,45.000,0.180,11.500,222.000,-4.625,18.250
PG,Goran Dragic,7500,Det@Mia 07:30PM ET,35.942,Mia,1,0,38.179,28.477,42.062,54.250,24.500,45.000,0.200,3.000,202.500,-6.673,33.500
C,Hassan Whiteside,7400,Det@Mia 07:30PM ET,40.911,Mia,1,1,38.893,29.393,28.062,11.250,5.000,44.400,0.400,3.000,202.500,-32.395,27.000
C,Andre Drummond,7400,Det@Mia 07:30PM ET,38.283,Det,0,0,44.464,29.698,37.000,36.500,15.500,44.400,0.297,-3.000,202.500,-6.673,54.500
SG/SF,Nicolas Batum,7300,Sac@Cha 07:00PM ET,35.977,Cha,1,0,33.857,27.452,36.312,44.750,17.750,43.800,0.216,-7.500,206.000,-4.196,37.250
SF,Andrew Wiggins,7200,Bkn@Min 09:00PM ET,32.663,Min,1,0,30.536,23.727,39.062,31.250,30.000,43.200,0.176,-11.000,219.500,5.359,36.250
SF/PF,Jabari Parker,7100,Bos@Mil 08:00PM ET,35.125,Mil,1,0,40.429,27.583,40.625,40.250,18.250,42.600,0.227,-1.000,217.000,-6.695,14.000
SG,Devin Booker,7100,Den@Pho 09:00PM ET,30.756,Pho,1,0,37.964,23.323,33.562,33.000,29.000,42.600,0.116,-3.000,228.000,11.375,33.500
C,Al Horford,7000,Bos@Mil 08:00PM ET,36.471,Bos,0,1,31.929,30.013,37.562,47.750,14.000,42.000,0.269,1.000,217.000,3.589,0.000
PG,Ricky Rubio,7000,Bkn@Min 09:00PM ET,28.063,Min,1,0,34.357,20.057,32.000,31.000,30.000,42.000,0.100,-11.000,219.500,5.359,27.750
C,Rudy Gobert,7000,Mem@Uta 09:00PM ET,36.484,Uta,1,0,37.643,28.341,32.812,37.250,1.000,42.000,0.287,-7.500,188.500,-36.582,32.750
SG/SF,Dion Waiters,6900,Det@Mia 07:30PM ET,27.111,Mia,1,0,35.036,15.583,41.250,29.750,5.000,41.400,0.131,3.000,202.500,-18.673,29.750
PG,Mike Conley,6900,Mem@Uta 09:00PM ET,36.125,Mem,0,0,40.286,28.053,33.625,38.750,6.000,41.400,0.304,7.500,188.500,-18.582,36.750
SF,Gordon Hayward,6800,Mem@Uta 09:00PM ET,36.622,Uta,1,0,36.500,28.475,27.812,31.750,5.000,40.800,0.333,-7.500,188.500,-28.582,33.000
SG,Zach LaVine,6700,Bkn@Min 09:00PM ET,30.558,Min,1,0,28.643,21.900,23.375,38.750,30.000,40.200,0.175,-11.000,219.500,5.359,37.500
SG,Klay Thompson,6500,LAC@GS 08:30PM ET,31.906,GS,1,0,33.750,25.315,30.250,31.250,6.000,39.000,0.224,-11.500,222.000,-2.246,20.750
PG,Reggie Jackson,6400,Det@Mia 07:30PM ET,29.490,Det,0,0,28.893,22.429,34.750,39.250,7.000,38.400,0.183,-3.000,202.500,-6.673,36.250
C,Brook Lopez,6300,Bkn@Min 09:00PM ET,35.110,Bkn,0,1,34.250,27.511,37.438,45.000,15.500,37.800,0.398,11.000,219.500,3.359,40.250
PG,George Hill,6100,Mem@Uta 09:00PM ET,31.344,Uta,1,0,27.250,23.521,32.125,31.250,8.000,36.600,0.302,-7.500,188.500,-16.582,26.250
PG/SG,Austin Rivers,6000,LAC@GS 08:30PM ET,20.206,LAC,0,0,28.429,11.886,31.188,30.000,13.750,36.000,0.065,11.500,222.000,5.128,23.500
SF,Danilo Gallinari,6000,Den@Pho 09:00PM ET,28.720,Den,0,0,31.571,23.793,28.500,37.750,26.000,36.000,0.153,3.000,228.000,11.375,44.500
C,Tyson Chandler,6000,Den@Pho 09:00PM ET,26.709,Pho,1,0,35.321,17.944,31.938,16.750,17.000,36.000,0.183,-3.000,228.000,11.375,36.250
SF/PF,Tobias Harris,5900,Det@Mia 07:30PM ET,28.413,Det,0,0,29.893,20.464,31.312,21.000,9.000,35.400,0.212,-3.000,202.500,-6.673,20.000
SF,Jae Crowder,5800,Bos@Mil 08:00PM ET,27.263,Bos,0,0,26.071,21.014,36.000,40.500,29.000,34.800,0.167,1.000,217.000,3.589,37.500
SF/PF,Wilson Chandler,5800,Den@Pho 09:00PM ET,29.433,Den,0,1,23.821,21.641,23.812,28.250,23.500,34.800,0.318,3.000,228.000,-0.128,11.250
PG/SG,Marcus Smart,5700,Bos@Mil 08:00PM ET,25.087,Bos,0,0,25.857,20.135,29.938,29.000,10.500,34.200,0.123,1.000,217.000,3.589,21.500
SG,Avery Bradley,5700,Bos@Mil 08:00PM ET,33.458,Bos,0,1,32.786,26.044,29.125,16.750,16.000,34.200,0.468,1.000,217.000,-5.564,0.000
PF/C,Gorgui Dieng,5700,Bkn@Min 09:00PM ET,26.940,Min,1,0,20.679,19.238,25.375,28.250,29.500,34.200,0.205,-11.000,219.500,5.359,35.000
SF,Marcus Morris,5700,Det@Mia 07:30PM ET,24.744,Det,0,0,22.321,17.510,36.188,18.750,9.000,34.200,0.160,-3.000,202.500,-6.673,20.500
