PG,SG,SF,PF,C,G,F,UTIL
James Harden (8085621),Vince Carter (8085665),Jerami Grant (8085706),Kevin Love (8085774),Marcin Gortat (8085798),Evan Turner (8085673),LeBron James (8085745),Bismack Biyombo (8085818)
James Harden (8085621),Vince Carter (8085665),Jerami Grant (8085706),Kevin Love (8085774),Marcin Gortat (8085798),Evan Turner (8085673),LeBron James (8085745),Bismack Biyombo (8085818)
