Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,John Wall,Damian Lillard,Andre Drummond,Marc Gasol,Kristaps Porzingis,Marreese Speights,Courtney Lee,James Ennis III,239.5,None
baselineBonus,Damian Lillard,Mike Conley,Andre Drummond,Marc Gasol,Kristaps Porzingis,Trevor Booker,T.J. Warren,Courtney Lee,220.75,None
svnGameBonus,Damian Lillard,Carmelo Anthony,Nicolas Batum,Marc Gasol,Zach Randolph,Patrick Beverley,Marreese Speights,Frank Kaminsky,279.0,None
baselineFloorAvgBonus,John Wall,Damian Lillard,Andre Drummond,Marc Gasol,Kristaps Porzingis,T.J. Warren,Courtney Lee,James Ennis III,223.0,None
baselineFloorAvg,John Wall,Kemba Walker,DeAndre Jordan,Marc Gasol,Kristaps Porzingis,Marreese Speights,Courtney Lee,James Ennis III,241.5,None
baselineSvnGameAvg,Kemba Walker,Carmelo Anthony,DeAndre Jordan,Marc Gasol,Kristaps Porzingis,Patrick Beverley,Frank Kaminsky,Vince Carter,245.5,None
baselineSvnGameAvgBonus,Damian Lillard,Kemba Walker,Carmelo Anthony,Andre Drummond,Marc Gasol,Marreese Speights,Frank Kaminsky,Courtney Lee,266.0,None
frGameAvgBonus,DeAndre Jordan,Mike Conley,Devin Booker,Derrick Rose,Markieff Morris,Zach Randolph,Tyson Chandler,Marreese Speights,257.25,None
baselineFrGameAvgBonus,Carmelo Anthony,DeAndre Jordan,Mike Conley,Devin Booker,Derrick Rose,Tyson Chandler,T.J. Warren,Marreese Speights,258.5,None
baselineFrGameAvg,Carmelo Anthony,DeAndre Jordan,Mike Conley,Devin Booker,Derrick Rose,Tyson Chandler,T.J. Warren,Marreese Speights,258.5,None
