Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,Marcin Gortat,Roy Hibbert,James Harden,Rodney Hood,Draymond Green,Kawhi Leonard,Lou Williams,Taj Gibson,292.25,Win
baselineBonus,Marcin Gortat,Frank Kaminsky,Dwight Howard,James Harden,Rodney Hood,Kawhi Leonard,Jordan Clarkson,Taj Gibson,308.75,Win
svnGameBonus,John Wall,James Harden,Mason Plumlee,Patrick Patterson,Cory Joseph,Julius Randle,Tarik Black,Doug McDermott,217.0,Loss
baselineFloorAvgBonus,Marcin Gortat,James Harden,Rodney Hood,Draymond Green,Kawhi Leonard,Patty Mills,Jordan Clarkson,Taj Gibson,291.25,Win
baselineFloorAvg,Marcin Gortat,LeBron James,Kevin Love,Rudy Gay,Patty Mills,Kyle Lowry,Jordan Clarkson,Lou Williams,225.25,Loss
baselineSvnGameAvg,Marcin Gortat,Trevor Ariza,Patrick Beverley,Tyler Johnson,Rodney Hood,LeBron James,Kevin Love,Mason Plumlee,254.5,Loss
baselineSvnGameAvgBonus,Marcin Gortat,James Harden,Trevor Ariza,Rodney Hood,Mason Plumlee,Kawhi Leonard,Cory Joseph,Taj Gibson,293.25,Win
frGameAvgBonus,James Harden,Willie Reed,Kyrie Irving,Allen Crabbe,Mason Plumlee,Justin Hamilton,Julius Randle,Doug McDermott,204.0,Loss
baselineFrGameAvgBonus,Marcin Gortat,James Harden,Kyrie Irving,Mason Plumlee,Kentavious Caldwell-Pope,Justin Hamilton,Taj Gibson,Doug McDermott,253.0,Loss
baselineFrGameAvg,Paul Millsap,LeBron James,Kyrie Irving,Mason Plumlee,Al Horford,Justin Hamilton,Jordan Clarkson,Lou Williams,223.75,Loss
