Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,Kelly Olynyk,John Wall,Marcin Gortat,Vince Carter,James Harden,Bismack Biyombo,Evan Turner,Kevin Love,243.75,Loss
baselineBonus,Marcus Smart,Kelly Olynyk,Marcin Gortat,Marc Gasol,Vince Carter,James Harden,Evan Turner,Kevin Love,248.75,Loss
svnGameBonus,Isaiah Thomas,Al Horford,Ryan Anderson,Evan Turner,Jamal Crawford,Raymond Felton,LeBron James,Kristaps Porzingis,251.75,Loss
baselineFloorAvgBonus,Kelly Olynyk,John Wall,Marcin Gortat,Vince Carter,James Harden,Bismack Biyombo,Evan Turner,Kevin Love,243.75,Loss
baselineFloorAvg,John Wall,Bradley Beal,Marc Gasol,Vince Carter,Bismack Biyombo,Damian Lillard,Evan Turner,Kevin Love,242.0,Loss
baselineSvnGameAvg,Russell Westbrook,Al Horford,Bradley Beal,Marc Gasol,Ryan Anderson,Gorgui Dieng,Maurice Harkless,Evan Turner,301.75,Win
baselineSvnGameAvgBonus,Russell Westbrook,Al Horford,Kelly Olynyk,Marc Gasol,Ryan Anderson,Evan Turner,Jamal Crawford,Kevin Love,277.5,Win
frGameAvgBonus,Enes Kanter,Marcus Smart,Kelly Olynyk,Zach Randolph,James Harden,Mason Plumlee,DeAndre Jordan,Raymond Felton,255.5,Loss
baselineFrGameAvgBonus,Enes Kanter,Marcus Smart,Kelly Olynyk,Marcin Gortat,Mike Conley,James Harden,Mason Plumlee,Jamal Crawford,251.25,Loss
baselineFrGameAvg,Russell Westbrook,Steven Adams,Enes Kanter,Kelly Olynyk,Mike Conley,Vince Carter,Mason Plumlee,Carmelo Anthony,285.5,Win
