Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,John Wall,Paul George,Draymond Green,C.J. McCollum,Marcin Gortat,Patrick Beverley,Andrew Bogut,Patrick Patterson,262.0,None
baselineBonus,Damian Lillard,Paul George,Draymond Green,C.J. McCollum,Trevor Ariza,Patrick Beverley,Clint Capela,Zaza Pachulia,247.5,None
svnGameBonus,James Harden,C.J. McCollum,Myles Turner,Thaddeus Young,Trevor Ariza,Ryan Anderson,Allen Crabbe,Zaza Pachulia,249.0,None
baselineFloorAvgBonus,Damian Lillard,Paul George,Draymond Green,C.J. McCollum,Trevor Ariza,Patrick Beverley,Clint Capela,Zaza Pachulia,247.5,None
baselineFloorAvg,Damian Lillard,Paul George,Draymond Green,C.J. McCollum,Trevor Ariza,Patrick Beverley,Clint Capela,Zaza Pachulia,247.5,None
baselineSvnGameAvg,James Harden,C.J. McCollum,Mason Plumlee,Thaddeus Young,Trevor Ariza,Patrick Beverley,Ryan Anderson,Montrezl Harrell,241.25,None
baselineSvnGameAvgBonus,James Harden,C.J. McCollum,Mason Plumlee,Thaddeus Young,Trevor Ariza,Patrick Beverley,Ryan Anderson,Montrezl Harrell,241.25,None
frGameAvgBonus,James Harden,Kevin Durant,C.J. McCollum,Patrick Beverley,Clint Capela,Andre Iguodala,Nene Hilario,Noah Vonleh,220.0,None
baselineFrGameAvgBonus,Kevin Durant,Damian Lillard,C.J. McCollum,Thaddeus Young,Trevor Ariza,Patrick Beverley,Clint Capela,Andre Iguodala,245.5,None
baselineFrGameAvg,Kevin Durant,Damian Lillard,C.J. McCollum,Thaddeus Young,Trevor Ariza,Patrick Beverley,Clint Capela,Andre Iguodala,245.5,None
NeuralNetworkAvg,Jeff Teague,C.J. McCollum,Dwyane Wade,LaMarcus Aldridge,Nerlens Noel,Mason Plumlee,Aaron Gordon,Robin Lopez,283.25,None
RandomForestAvg,Jimmy Butler,Kawhi Leonard,C.J. McCollum,Dwyane Wade,Mason Plumlee,Jonas Valanciunas,Dante Cunningham,Patrick Patterson,273.0,None
NNRF,Jimmy Butler,C.J. McCollum,Dwyane Wade,Myles Turner,Mason Plumlee,Thaddeus Young,Ryan Anderson,DeMarre Carroll,289.5,None
