Strategy,p1,p2,p3,p4,p5,p6,p7,p8
"floorAvgBonus",John Wall,Chris Paul,DeMar DeRozan,Blake Griffin,Danilo Gallinari,Pau Gasol,Rajon Rondo,Patrick Patterson
"baselineBonus",John Wall,Chris Paul,DeMar DeRozan,Blake Griffin,Wilson Chandler,Gorgui Dieng,Rajon Rondo,Jusuf Nurkic
"svnGameBonus",John Wall,Chris Paul,Rudy Gobert,LaMarcus Aldridge,Devin Booker,DeMarre Carroll,P.J. Tucker,Jerryd Bayless
"baselineFloorAvgBonus",John Wall,Chris Paul,DeMar DeRozan,Blake Griffin,Danilo Gallinari,Pau Gasol,Rajon Rondo,Patrick Patterson
"baselineFloorAvg",John Wall,Chris Paul,DeMar DeRozan,Blake Griffin,Danilo Gallinari,Pau Gasol,Rajon Rondo,Patrick Patterson
"baselineSvnGameAvg",John Wall,DeMar DeRozan,Rudy Gobert,LaMarcus Aldridge,Danilo Gallinari,Gorgui Dieng,Pau Gasol,Jerryd Bayless
"baselineSvnGameAvgBonus",John Wall,Chris Paul,Blake Griffin,Avery Bradley,Wilson Chandler,Gorgui Dieng,Pau Gasol,Jerryd Bayless
"frGameAvgBonus",Kawhi Leonard,Eric Bledsoe,Chris Paul,Rudy Gobert,Tyson Chandler,Rodney Hood,Jeff Green,Darrell Arthur
"baselineFrGameAvgBonus",Kawhi Leonard,Chris Paul,Blake Griffin,Rudy Gobert,Otto Porter,Rodney Hood,Bismack Biyombo,Jerryd Bayless
"baselineFrGameAvg",Kawhi Leonard,Chris Paul,Blake Griffin,Rudy Gobert,Otto Porter,Rodney Hood,Bismack Biyombo,Jerryd Bayless
NeuralNetworkAvg,John Wall,Kawhi Leonard,Joel Embiid,Zach LaVine,Otto Porter,Jamal Murray,Danny Green,Joe Johnson
RandomForestAvg,John Wall,Isaiah Thomas,Kawhi Leonard,Jimmy Butler,Raul Neto,Boris Diaw,Brandon Rush,Jordan Hill
