Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,John Wall,Chris Paul,DeMar DeRozan,Blake Griffin,Danilo Gallinari,Pau Gasol,Rajon Rondo,Patrick Patterson,138.5,None
baselineBonus,John Wall,Chris Paul,DeMar DeRozan,Blake Griffin,Wilson Chandler,Gorgui Dieng,Rajon Rondo,Jusuf Nurkic,153.75,None
svnGameBonus,John Wall,Chris Paul,Rudy Gobert,LaMarcus Aldridge,Devin Booker,DeMarre Carroll,P.J. Tucker,Jerryd Bayless,188.75,None
baselineFloorAvgBonus,John Wall,Chris Paul,DeMar DeRozan,Blake Griffin,Danilo Gallinari,Pau Gasol,Rajon Rondo,Patrick Patterson,138.5,None
baselineFloorAvg,John Wall,Chris Paul,DeMar DeRozan,Blake Griffin,Danilo Gallinari,Pau Gasol,Rajon Rondo,Patrick Patterson,138.5,None
baselineSvnGameAvg,John Wall,DeMar DeRozan,Rudy Gobert,LaMarcus Aldridge,Danilo Gallinari,Gorgui Dieng,Pau Gasol,Jerryd Bayless,169.25,None
baselineSvnGameAvgBonus,John Wall,Chris Paul,Blake Griffin,Avery Bradley,Wilson Chandler,Gorgui Dieng,Pau Gasol,Jerryd Bayless,135.0,None
frGameAvgBonus,Kawhi Leonard,Eric Bledsoe,Chris Paul,Rudy Gobert,Tyson Chandler,Rodney Hood,Jeff Green,Darrell Arthur,157.5,None
baselineFrGameAvgBonus,Kawhi Leonard,Chris Paul,Blake Griffin,Rudy Gobert,Otto Porter,Rodney Hood,Bismack Biyombo,Jerryd Bayless,76.0,None
baselineFrGameAvg,Kawhi Leonard,Chris Paul,Blake Griffin,Rudy Gobert,Otto Porter,Rodney Hood,Bismack Biyombo,Jerryd Bayless,76.0,None
NeuralNetworkAvg,John Wall,Eric Bledsoe,Joel Embiid,Markieff Morris,Otto Porter,Emmanuel Mudiay,Manu Ginobili,Darrell Arthur,180.25,None
RandomForestAvg,Karl-Anthony Towns,Devin Booker,Al Horford,Bradley Beal,Markieff Morris,Otto Porter,Alex Len,Brandon Knight,245.75,None
NNRF,Eric Bledsoe,Al Horford,Bradley Beal,Markieff Morris,Otto Porter,Marcus Smart,Tyson Chandler,Kelly Oubre Jr.,259.25,None
