Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,Cameron Payne,Marcin Gortat,Vince Carter,James Harden,Maurice Harkless,Evan Turner,LeBron James,Kevin Love,243.0,None
baselineBonus,Al Horford,John Wall,Marcin Gortat,Vince Carter,Troy Daniels,Maurice Harkless,LeBron James,Kevin Love,227.5,None
svnGameBonus,Russell Westbrook,Amir Johnson,Ryan Anderson,Evan Turner,Jamal Crawford,LeBron James,Kevin Love,Justin Holiday,230.75,None
baselineFloorAvgBonus,Al Horford,John Wall,Marcin Gortat,Vince Carter,Troy Daniels,Maurice Harkless,LeBron James,Kevin Love,227.5,None
baselineFloorAvg,Russell Westbrook,John Wall,Marcin Gortat,Marc Gasol,Vince Carter,Ryan Anderson,Maurice Harkless,Evan Turner,285.25,None
baselineSvnGameAvg,Russell Westbrook,Marc Gasol,Ryan Anderson,Maurice Harkless,Evan Turner,Jamal Crawford,LeBron James,Tristan Thompson,281.25,None
baselineSvnGameAvgBonus,Russell Westbrook,Marc Gasol,Ryan Anderson,Maurice Harkless,Evan Turner,Jamal Crawford,LeBron James,Tristan Thompson,281.25,None
frGameAvgBonus,Enes Kanter,Marcus Smart,James Harden,Mason Plumlee,Al-Farouq Aminu,DeAndre Jordan,Jamal Crawford,Raymond Felton,253.5,None
baselineFrGameAvgBonus,Russell Westbrook,Enes Kanter,Marcin Gortat,Vince Carter,Maurice Harkless,Mason Plumlee,Jamal Crawford,LeBron James,258.0,None
baselineFrGameAvg,Russell Westbrook,Enes Kanter,Marc Gasol,Mike Conley,Maurice Harkless,Mason Plumlee,Al-Farouq Aminu,Jamal Crawford,281.0,None
