Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,James Harden,LeBron James,DeMar DeRozan,Marcin Gortat,Jeremy Lin,Justise Winslow,Rudy Gay,Jerryd Bayless,195.0,None
baselineBonus,LeBron James,Kyrie Irving,Kevin Love,Brook Lopez,Jeremy Lin,Tristan Thompson,Kyle Korver,Rudy Gay,185.25,None
svnGameBonus,LeBron James,Kyrie Irving,Kevin Love,Carmelo Anthony,Jeremy Lin,Iman Shumpert,Kyle Korver,Rudy Gay,206.75,None
baselineFloorAvgBonus,LeBron James,Kyrie Irving,Kevin Love,Brook Lopez,Jeremy Lin,Tristan Thompson,Kyle Korver,Rudy Gay,185.25,None
baselineFloorAvg,LeBron James,Kyrie Irving,Kevin Love,Brook Lopez,Jeremy Lin,Tristan Thompson,Kyle Korver,Rudy Gay,185.25,None
baselineSvnGameAvg,LeBron James,Kyrie Irving,Kevin Love,Brook Lopez,Jeremy Lin,Tristan Thompson,Kyle Korver,Rudy Gay,185.25,None
baselineSvnGameAvgBonus,LeBron James,Kyrie Irving,Kevin Love,Brook Lopez,Jeremy Lin,Tristan Thompson,Kyle Korver,Rudy Gay,185.25,None
frGameAvgBonus,LeBron James,Kawhi Leonard,Kyrie Irving,Brook Lopez,Jeremy Lin,Iman Shumpert,Sam Dekker,Rudy Gay,173.25,None
baselineFrGameAvgBonus,LeBron James,Kyrie Irving,Kevin Love,Brook Lopez,Jeremy Lin,Tristan Thompson,Iman Shumpert,Rudy Gay,182.5,None
baselineFrGameAvg,LeBron James,Kyrie Irving,Kevin Love,Brook Lopez,Jeremy Lin,Tristan Thompson,Iman Shumpert,Rudy Gay,182.5,None
