Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,Russell Westbrook,DeMarcus Cousins,Rudy Gay,Steven Adams,Darren Collison,JaMychal Green,Jordan Clarkson,Jerami Grant,277.0,None
baselineBonus,Russell Westbrook,DeMarcus Cousins,Victor Oladipo,Steven Adams,Darren Collison,JaMychal Green,Jordan Clarkson,James Ennis III,259.0,Loss
svnGameBonus,DeMarcus Cousins,Andre Drummond,Julius Randle,D'Angelo Russell,Enes Kanter,Steven Adams,Darren Collison,Stanley Johnson,282.5,None
baselineFloorAvgBonus,Russell Westbrook,DeMarcus Cousins,Rudy Gay,Steven Adams,Darren Collison,JaMychal Green,Jordan Clarkson,Jerami Grant,277.0,None
baselineFloorAvg,Russell Westbrook,DeMarcus Cousins,Victor Oladipo,Steven Adams,Darren Collison,JaMychal Green,Jordan Clarkson,Vince Carter,272.5,None
baselineSvnGameAvg,DeMarcus Cousins,Andre Drummond,Julius Randle,D'Angelo Russell,Victor Oladipo,Steven Adams,Darren Collison,Vince Carter,255.0,None
baselineSvnGameAvgBonus,DeMarcus Cousins,Andre Drummond,Julius Randle,D'Angelo Russell,Victor Oladipo,Steven Adams,Darren Collison,James Ennis III,241.5,None
frGameAvgBonus,DeMarcus Cousins,Andre Drummond,Mike Conley,Enes Kanter,Zach Randolph,Marcus Morris,Darren Collison,Jordan Clarkson,340.75,None
baselineFrGameAvgBonus,DeMarcus Cousins,Andre Drummond,Mike Conley,Enes Kanter,Zach Randolph,Marcus Morris,Darren Collison,Jordan Clarkson,340.75,None
baselineFrGameAvg,DeMarcus Cousins,Andre Drummond,Mike Conley,Enes Kanter,Zach Randolph,Marcus Morris,Darren Collison,Jordan Clarkson,340.75,None
