Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,Dwyane Wade,Robin Lopez,Jrue Holiday,J.J. Barea,Kristaps Porzingis,Carmelo Anthony,Derrick Rose,Karl-Anthony Towns,191.25,None
baselineBonus,Dwyane Wade,Donatas Motiejunas,J.J. Barea,Dwight Powell,Kristaps Porzingis,Carmelo Anthony,Derrick Rose,Russell Westbrook,164.5,None
svnGameBonus,Donatas Motiejunas,Deron Williams,Kristaps Porzingis,Carmelo Anthony,Derrick Rose,Enes Kanter,Zach LaVine,Karl-Anthony Towns,211.25,None
baselineFloorAvgBonus,Dwyane Wade,Robin Lopez,Jrue Holiday,J.J. Barea,Kristaps Porzingis,Carmelo Anthony,Derrick Rose,Karl-Anthony Towns,191.25,None
baselineFloorAvg,Dwyane Wade,Robin Lopez,J.J. Barea,Andrew Bogut,Dwight Powell,Carmelo Anthony,Russell Westbrook,Karl-Anthony Towns,215.0,None
baselineSvnGameAvg,Robin Lopez,Donatas Motiejunas,J.J. Barea,Dwight Powell,Carmelo Anthony,Russell Westbrook,Zach LaVine,Karl-Anthony Towns,201.75,None
baselineSvnGameAvgBonus,Dwyane Wade,Donatas Motiejunas,J.J. Barea,Dwight Powell,Kristaps Porzingis,Carmelo Anthony,Derrick Rose,Russell Westbrook,164.5,None
frGameAvgBonus,Nikola Mirotic,Buddy Hield,Donatas Motiejunas,Kristaps Porzingis,Carmelo Anthony,Courtney Lee,Russell Westbrook,Steven Adams,189.75,None
baselineFrGameAvgBonus,Dwyane Wade,Donatas Motiejunas,J.J. Barea,Dwight Powell,Kristaps Porzingis,Carmelo Anthony,Russell Westbrook,Gorgui Dieng,182.25,None
baselineFrGameAvg,Dwyane Wade,Donatas Motiejunas,J.J. Barea,Dwight Powell,Kristaps Porzingis,Carmelo Anthony,Russell Westbrook,Gorgui Dieng,182.25,None
