Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,Bismack Biyombo,Kevin Durant,Klay Thompson,Draymond Green,Kevin Love,Brandon Knight,Mike Conley,Jordan Clarkson,259.0, Loss
baselineBonus,Bismack Biyombo,Kevin Durant,Klay Thompson,Draymond Green,Kevin Love,Brandon Knight,Mike Conley,Jordan Clarkson,259.0,Loss
svnGameBonus,Bismack Biyombo,Draymond Green,DeMarcus Cousins,Ty Lawson,Devin Booker,Eric Bledsoe,Luol Deng,George Hill,269.5,Win
baselineFloorAvgBonus,Bismack Biyombo,Kevin Durant,Draymond Green,Rudy Gay,Kevin Love,Eric Bledsoe,Brandon Knight,Jordan Clarkson,283.75,Win
baselineFloorAvg,Bismack Biyombo,Draymond Green,Rudy Gay,LeBron James,Eric Bledsoe,Brandon Knight,Marc Gasol,Lou Williams,248.25,Loss
baselineSvnGameAvg,Bismack Biyombo,Draymond Green,Rudy Gay,LeBron James,Eric Bledsoe,Troy Daniels,Rudy Gobert,George Hill,263.0,Loss
baselineSvnGameAvgBonus,Bismack Biyombo,Draymond Green,LeBron James,Kevin Love,Eric Bledsoe,Tyson Chandler,Troy Daniels,George Hill,272.25,Win
frGameAvgBonus,Aaron Gordon,Matt Barnes,Kyrie Irving,Kevin Love,Eric Bledsoe,Mike Conley,Julius Randle,Joe Ingles,242.0,Loss
baselineFrGameAvgBonus,Draymond Green,Matt Barnes,Kyrie Irving,Kevin Love,Eric Bledsoe,Mike Conley,Jordan Clarkson,Nick Young,248.25,Loss
baselineFrGameAvg,Rudy Gay,Matt Barnes,Kyrie Irving,Kevin Love,Eric Bledsoe,Mike Conley,Vince Carter,Rudy Gobert,259.5,Win
