Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,Kevin Durant,Stephen Curry,Al Horford,Brook Lopez,Jae Crowder,Eric Gordon,Ryan Anderson,Allen Crabbe,275.0,None
baselineBonus,James Harden,Kevin Durant,Paul Millsap,Brook Lopez,Joakim Noah,Sergio Rodriguez,E'Twaun Moore,Dwight Powell,255.0,None
svnGameBonus,James Harden,Kevin Durant,Kyrie Irving,Greg Monroe,Ryan Anderson,Willie Reed,Allen Crabbe,Dante Cunningham,276.25,None
baselineFloorAvgBonus,James Harden,Kevin Durant,Paul Millsap,Brook Lopez,Joakim Noah,Sergio Rodriguez,E'Twaun Moore,Dwight Powell,255.0,None
baselineFloorAvg,Kevin Durant,Stephen Curry,DeMar DeRozan,Brook Lopez,Tyler Johnson,Trevor Booker,Clint Capela,Maurice Harkless,180.5,None
baselineSvnGameAvg,Kevin Durant,Kyrie Irving,DeMar DeRozan,Enes Kanter,Tyler Johnson,Trevor Booker,Greg Monroe,Ryan Anderson,208.75,None
baselineSvnGameAvgBonus,James Harden,Kevin Durant,Kyrie Irving,Greg Monroe,Ryan Anderson,Luol Deng,Sergio Rodriguez,Dwight Powell,247.75,None
frGameAvgBonus,Kevin Durant,Paul Millsap,Marc Gasol,Brook Lopez,Lou Williams,Robert Covington,Iman Shumpert,Courtney Lee,330.5,None
baselineFrGameAvgBonus,DeMarcus Cousins,Kevin Durant,Paul Millsap,Brook Lopez,Ty Lawson,Joakim Noah,Sergio Rodriguez,Courtney Lee,266.75,None
baselineFrGameAvg,Kevin Durant,DeMar DeRozan,Marc Gasol,Brook Lopez,Derrick Rose,Tyler Johnson,Frank Kaminsky,Andre Iguodala,208.25,None
NeuralNetworkAvg,Kevin Durant,Joel Embiid,Marc Gasol,Derrick Rose,Lou Williams,Robert Covington,Frank Kaminsky,Courtney Lee,255.0,None
RandomForestAvg,Kemba Walker,Draymond Green,Al Horford,Klay Thompson,Jae Crowder,Trevor Ariza,Patrick Beverley,Cody Zeller,249.75,None
NNRF,Isaiah Thomas,Nicolas Batum,Al Horford,Klay Thompson,Michael Kidd-Gilchrist,Marvin Williams,Sam Dekker,Montrezl Harrell,280.25,None
