Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,Brook Lopez,Harrison Barnes,Wesley Matthews,Carmelo Anthony,Eric Bledsoe,Draymond Green,Zaza Pachulia,Dwyane Wade,269.0,Win
baselineBonus,Brook Lopez,Wesley Matthews,Carmelo Anthony,Eric Bledsoe,Jared Dudley,Kevin Durant,Dwyane Wade,Rajon Rondo,238.5,Loss
svnGameBonus,Luol Deng,Nick Young,Carmelo Anthony,Devin Booker,Eric Bledsoe,Draymond Green,Dwyane Wade,LaMarcus Aldridge,228.75,Loss
baselineFloorAvgBonus,Jordan Clarkson,Brook Lopez,Wesley Matthews,Carmelo Anthony,Eric Bledsoe,Kevin Durant,Draymond Green,Patty Mills,252.5,Loss
baselineFloorAvg,Jordan Clarkson,Brook Lopez,Kristaps Porzingis,Eric Bledsoe,Kevin Durant,Draymond Green,E'Twaun Moore,Rajon Rondo,212.5,Loss
baselineSvnGameAvg,Luol Deng,Jordan Clarkson,Nick Young,Andre Drummond,Carmelo Anthony,Eric Bledsoe,Stephen Curry,Draymond Green,223.5,Loss
baselineSvnGameAvgBonus,Luol Deng,Jordan Clarkson,Nick Young,Brook Lopez,Carmelo Anthony,Eric Bledsoe,Kevin Durant,Draymond Green,231.0,Loss
frGameAvgBonus,D'Angelo Russell,Andre Drummond,Caris LeVert,Harrison Barnes,Eric Bledsoe,Stephen Curry,Zaza Pachulia,LaMarcus Aldridge,221.25,Loss
baselineFrGameAvgBonus,D'Angelo Russell,Andre Drummond,Caris LeVert,Harrison Barnes,Eric Bledsoe,Stephen Curry,Zaza Pachulia,LaMarcus Aldridge,221.25,Loss
baselineFrGameAvg,Andre Drummond,Justin Hamilton,Kyle O'Quinn,Eric Bledsoe,Kevin Durant,Stephen Curry,E'Twaun Moore,LaMarcus Aldridge,236.0,Loss
