Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,Kevin Durant,Draymond Green,Blake Griffin,Mike Conley,Danilo Gallinari,Will Barton,Brandon Knight,Jared Dudley,205.25,None
baselineBonus,Kevin Durant,Eric Bledsoe,Blake Griffin,Danilo Gallinari,Will Barton,Gary Harris,T.J. Warren,Alex Len,251.0,None
svnGameBonus,Kevin Durant,Draymond Green,Devin Booker,Danilo Gallinari,Tyson Chandler,Will Barton,P.J. Tucker,Jamal Murray,254.0,None
baselineFloorAvg,Kevin Durant,Draymond Green,Blake Griffin,Devin Booker,Danilo Gallinari,Gary Harris,Brandon Knight,Alex Len,223.5,None
baselineSvnGameAvg,Kevin Durant,Eric Bledsoe,Draymond Green,Danilo Gallinari,Tyson Chandler,Will Barton,Jamal Murray,Jared Dudley,256.25,None
frGameAvgBonus,Karl-Anthony Towns,Eric Bledsoe,Devin Booker,Danilo Gallinari,Tyson Chandler,P.J. Tucker,Brandon Knight,Darrell Arthur,287.5,None
baselineFrGameAvg,Kevin Durant,Eric Bledsoe,DeAndre Jordan,Danilo Gallinari,Tyson Chandler,Will Barton,Brandon Knight,Darrell Arthur,237.25,None
NeuralNetworkAvg,Eric Bledsoe,Marc Gasol,Goran Dragic,Danilo Gallinari,Zach Randolph,Jameer Nelson,T.J. Warren,Jamal Crawford,274.5,None
RandomForestAvg,Kemba Walker,Marc Gasol,Devin Booker,Danilo Gallinari,Zach Randolph,Jameer Nelson,Darren Collison,T.J. Warren,264.0,None
NNRF,Eric Bledsoe,Marc Gasol,Goran Dragic,Danilo Gallinari,Zach Randolph,Jameer Nelson,T.J. Warren,Jamal Crawford,274.5,None
