Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,LeBron James,Kyrie Irving,Hassan Whiteside,Brook Lopez,Zach Randolph,Trevor Booker,Wesley Matthews,Ish Smith,246.75,None
baselineBonus,Isaiah Thomas,Goran Dragic,Hassan Whiteside,Brook Lopez,James Johnson,Marcus Smart,Wayne Ellington,Rodney McGruder,252.75,None
svnGameBonus,Isaiah Thomas,Andre Drummond,Goran Dragic,Dion Waiters,Brook Lopez,James Johnson,Randy Foye,Rodney McGruder,309.75,None
baselineFloorAvgBonus,Isaiah Thomas,Goran Dragic,Hassan Whiteside,Brook Lopez,James Johnson,Marcus Smart,Wesley Matthews,Rodney McGruder,278.75,None
baselineFloorAvg,Isaiah Thomas,Goran Dragic,Hassan Whiteside,Brook Lopez,James Johnson,Marcus Smart,Wesley Matthews,Rodney McGruder,278.75,None
baselineSvnGameAvg,Isaiah Thomas,Andre Drummond,Goran Dragic,Brook Lopez,James Johnson,Marcus Smart,Wayne Ellington,Rodney McGruder,292.5,None
baselineSvnGameAvgBonus,Isaiah Thomas,Andre Drummond,Goran Dragic,Brook Lopez,James Johnson,Marcus Smart,Wayne Ellington,Rodney McGruder,292.5,None
frGameAvgBonus,Isaiah Thomas,Marc Gasol,Goran Dragic,Dion Waiters,Reggie Jackson,Wayne Ellington,Caris LeVert,Jonas Jerebko,239.75,None
baselineFrGameAvgBonus,Isaiah Thomas,Marc Gasol,Goran Dragic,Brook Lopez,James Johnson,Marcus Morris,Wayne Ellington,Rodney McGruder,246.0,None
baselineFrGameAvg,Isaiah Thomas,Marc Gasol,Goran Dragic,Brook Lopez,James Johnson,Marcus Morris,Wayne Ellington,Rodney McGruder,246.0,None
NeuralNetworkAvg,Kyrie Irving,Andrew Wiggins,Mike Conley,Nikola Vucevic,Harrison Barnes,Zach Randolph,Kentavious Caldwell-Pope,D.J. Augustin,292.0,None
RandomForestAvg,Isaiah Thomas,Andre Drummond,Mike Conley,Brook Lopez,Harrison Barnes,Trevor Booker,Jon Leuer,Bojan Bogdanovic,337.0,None
NNRF,Isaiah Thomas,Mike Conley,Brook Lopez,Nikola Vucevic,Harrison Barnes,Zach Randolph,Marcus Smart,Rodney McGruder,312.75,None
