Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,James Harden,John Wall,Wilson Chandler,Eric Gordon,Patrick Beverley,Clint Capela,Luol Deng,Larry Nance Jr.,222.25,None
baselineBonus,James Harden,Danilo Gallinari,D'Angelo Russell,Lou Williams,Wilson Chandler,Eric Gordon,Ryan Anderson,Clint Capela,305.75,None
svnGameBonus,James Harden,Damian Lillard,Otto Porter,Will Barton,Jusuf Nurkic,Clint Capela,Nick Young,Larry Nance Jr.,172.25,None
baselineFloorAvgBonus,James Harden,John Wall,Lou Williams,Wilson Chandler,Patrick Beverley,Clint Capela,Luol Deng,Larry Nance Jr.,239.75,None
baselineFloorAvg,James Harden,John Wall,Lou Williams,Wilson Chandler,Patrick Beverley,Clint Capela,Luol Deng,Larry Nance Jr.,239.75,None
baselineSvnGameAvg,James Harden,Otto Porter,D'Angelo Russell,Wilson Chandler,Eric Gordon,Will Barton,Patrick Beverley,Clint Capela,232.5,None
baselineSvnGameAvgBonus,James Harden,Otto Porter,D'Angelo Russell,Wilson Chandler,Eric Gordon,Will Barton,Patrick Beverley,Clint Capela,232.5,None
frGameAvgBonus,James Harden,Anthony Davis,D'Angelo Russell,Ryan Anderson,Jusuf Nurkic,Emmanuel Mudiay,Matt Barnes,Luol Deng,234.75,None
baselineFrGameAvgBonus,James Harden,Anthony Davis,D'Angelo Russell,Eric Gordon,Will Barton,Emmanuel Mudiay,Luol Deng,Larry Nance Jr.,184.5,None
baselineFrGameAvg,James Harden,Anthony Davis,D'Angelo Russell,Eric Gordon,Will Barton,Emmanuel Mudiay,Luol Deng,Larry Nance Jr.,184.5,None
NeuralNetworkAvg,Terrence Jones,Derrick Rose,Marcin Gortat,Julius Randle,Jameer Nelson,Norman Powell,Victor Oladipo,David Lee,177.0,None
RandomForestAvg,Terrence Jones,Derrick Rose,Marcin Gortat,Julius Randle,Jameer Nelson,Norman Powell,Victor Oladipo,David Lee,177.0,None
NNRF,Danilo Gallinari,Nick Young,Larry Nance Jr.,Marcelo Huertas,Mike Miller,Metta World Peace,Tarik Black,Timofey Mozgov,109.75,None
