avg_pts,date,fantasy_pts,fpts_diff,nickname,player_id,player_name,pos_main,salary,salary_change,salary_change_html,salary_diff,salary_diff_percentage
10.32,2017-12-13,23.36,+13.04,Magic,840595,Mario Hezonja,SF,"5,000",35.1,"<td class=""width-15 green"" id=""salary-col"">+$1300 (35.1%)</td>",1300,35.1
31.10,2017-12-13,29.66,-1.44,Bulls,599809,Nikola Mirotic,PF,"5,900",22.9,"<td class=""width-15 green"" id=""salary-col"">+$1100 (22.9%)</td>",1100,22.9
15.08,2017-12-13,19.52,+4.44,Heat,329670,Wayne Ellington,SG,"4,300",22.9,"<td class=""width-15 green"" id=""salary-col"">+$800 (22.9%)</td>",800,22.9
18.57,2017-12-13,19.22,+0.65,Jazz,512995,Alec Burks,SG,"4,200",-22.2,"<td class=""width-15 red"" id=""salary-col"">-$1200 (-22.2%)</td>",-1200,-22.2
9.25,2017-12-13,19.60,+10.35,Clippers,691518,Sam Dekker,SF,"4,300",19.4,"<td class=""width-15 green"" id=""salary-col"">+$700 (19.4%)</td>",700,19.4
17.76,2017-12-12,9.06,-8.70,76ers,695069,Richaun Holmes,C,"3,700",-17.8,"<td class=""width-15 red"" id=""salary-col"">-$800 (-17.8%)</td>",-800,-17.8
25.15,2017-12-13,17.94,-7.21,Jazz,603106,Rodney Hood,SG,"4,700",-17.5,"<td class=""width-15 red"" id=""salary-col"">-$1000 (-17.5%)</td>",-1000,-17.5
15.50,2017-12-13,14.73,-0.77,Nuggets,411111,Kenneth Faried,PF,"4,700",-14.5,"<td class=""width-15 red"" id=""salary-col"">-$800 (-14.5%)</td>",-800,-14.5
11.16,2017-12-13,19.19,+8.03,Clippers,880681,Jawun Evans,PG,"4,000",14.3,"<td class=""width-15 green"" id=""salary-col"">+$500 (14.3%)</td>",500,14.3
22.59,2017-12-13,27.05,+4.46,Raptors,599780,Jonas Valanciunas,C,"5,700",14.0,"<td class=""width-15 green"" id=""salary-col"">+$700 (14.0%)</td>",700,14.0
17.95,2017-12-13,17.22,-0.73,Pacers,552805,Cory Joseph,PG,"3,800",-13.6,"<td class=""width-15 red"" id=""salary-col"">-$600 (-13.6%)</td>",-600,-13.6
21.80,2017-12-12,17.30,-4.50,76ers,330453,Trevor Booker,PF,"6,000",13.2,"<td class=""width-15 green"" id=""salary-col"">+$700 (13.2%)</td>",700,13.2
21.97,2017-12-13,22.49,+0.52,Hornets,603095,Michael Kidd-Gilchrist,SF,"5,400",12.5,"<td class=""width-15 green"" id=""salary-col"">+$600 (12.5%)</td>",600,12.5
20.27,2017-12-13,23.00,+2.73,Nuggets,295941,Wilson Chandler,SF,"4,600",12.2,"<td class=""width-15 green"" id=""salary-col"">+$500 (12.2%)</td>",500,12.2
26.43,2017-12-13,29.66,+3.23,Raptors,456450,Serge Ibaka,PF,"6,500",12.1,"<td class=""width-15 green"" id=""salary-col"">+$700 (12.1%)</td>",700,12.1
24.15,2017-12-13,26.63,+2.48,Nuggets,891352,Jamal Murray,PG,"5,700",11.8,"<td class=""width-15 green"" id=""salary-col"">+$600 (11.8%)</td>",600,11.8
19.76,2017-12-13,17.82,-1.94,Rockets,329715,Ryan Anderson,PF,"4,000",11.1,"<td class=""width-15 green"" id=""salary-col"">+$400 (11.1%)</td>",400,11.1
