avg_pts,date,fantasy_pts,fpts_diff,nickname,player_id,player_name,pos_main,salary,salary_change,salary_change_html,salary_diff,salary_diff_percentage
30.15,2017-10-25,28.30,-1.85,Thunder,679478,Steven Adams,C,17,30.8,"<td class=""width-15 green"" id=""salary-col"">+$4 (30.8%)</td>",4,30.8
26.30,2017-10-25,26.96,+0.66,Nets,262890,DeMarre Carroll,SF,14,27.3,"<td class=""width-15 green"" id=""salary-col"">+$3 (27.3%)</td>",3,27.3
16.76,2017-10-25,14.98,-1.78,Thunder,548635,Andre Roberson,SG,13,-23.5,"<td class=""width-15 red"" id=""salary-col"">-$4 (-23.5%)</td>",-4,-23.5
16.68,2017-10-24,22.04,+5.36,Magic,329524,D.J. Augustin,PG,12,20.0,"<td class=""width-15 green"" id=""salary-col"">+$2 (20.0%)</td>",2,20.0
21.60,2017-10-25,26.21,+4.61,Spurs,295922,Danny Green,SG,13,18.2,"<td class=""width-15 green"" id=""salary-col"">+$2 (18.2%)</td>",2,18.2
15.76,2017-10-25,19.19,+3.43,Spurs,3361,Manu Ginobili,SG,10,-16.7,"<td class=""width-15 red"" id=""salary-col"">-$2 (-16.7%)</td>",-2,-16.7
24.60,2017-10-24,21.89,-2.71,Knicks,276755,Courtney Lee,SG,11,-15.4,"<td class=""width-15 red"" id=""salary-col"">-$2 (-15.4%)</td>",-2,-15.4
11.58,2017-10-24,5.55,-6.03,Knicks,840567,Willy Hernangomez,C,12,-14.3,"<td class=""width-15 red"" id=""salary-col"">-$2 (-14.3%)</td>",-2,-14.3
28.61,2017-10-24,32.13,+3.52,Knicks,553574,Enes Kanter,C,16,14.3,"<td class=""width-15 green"" id=""salary-col"">+$2 (14.3%)</td>",2,14.3
19.67,2017-10-24,18.93,-0.74,Knicks,483372,Kyle O'Quinn,PF,11,10.0,"<td class=""width-15 green"" id=""salary-col"">+$1 (10.0%)</td>",1,10.0
28.90,2017-10-24,27.30,-1.60,Magic,659767,Evan Fournier,SG,23,9.5,"<td class=""width-15 green"" id=""salary-col"">+$2 (9.5%)</td>",2,9.5
17.28,2017-10-25,14.86,-2.42,Nuggets,877870,Emmanuel Mudiay,PG,10,-9.1,"<td class=""width-15 red"" id=""salary-col"">-$1 (-9.1%)</td>",-1,-9.1
39.19,2017-10-24,39.38,+0.19,Magic,457598,Nikola Vucevic,C,39,8.3,"<td class=""width-15 green"" id=""salary-col"">+$3 (8.3%)</td>",3,8.3
17.10,2017-10-25,28.42,+11.32,Spurs,884168,Dejounte Murray,PG,14,7.7,"<td class=""width-15 green"" id=""salary-col"">+$1 (7.7%)</td>",1,7.7
30.57,2017-10-25,26.06,-4.51,Timberwolves,398043,Jeff Teague,PG,24,-7.7,"<td class=""width-15 red"" id=""salary-col"">-$2 (-7.7%)</td>",-2,-7.7
35.12,2017-10-24,32.83,-2.29,Magic,748788,Aaron Gordon,PF,30,7.1,"<td class=""width-15 green"" id=""salary-col"">+$2 (7.1%)</td>",2,7.1
23.62,2017-10-25,27.23,+3.61,Spurs,266358,Rudy Gay,SF,27,-6.9,"<td class=""width-15 red"" id=""salary-col"">-$2 (-6.9%)</td>",-2,-6.9
19.11,2017-10-24,18.83,-0.28,Magic,550049,Terrence Ross,SF,15,-6.3,"<td class=""width-15 red"" id=""salary-col"">-$1 (-6.3%)</td>",-1,-6.3
34.52,2017-10-25,30.46,-4.06,Nets,844038,D'Angelo Russell,PG,34,6.3,"<td class=""width-15 green"" id=""salary-col"">+$2 (6.3%)</td>",2,6.3
28.85,2017-10-25,30.16,+1.31,Timberwolves,794503,Andrew Wiggins,SF,32,-5.9,"<td class=""width-15 red"" id=""salary-col"">-$2 (-5.9%)</td>",-2,-5.9
39.61,2017-10-24,40.00,+0.39,Knicks,877869,Kristaps Porzingis,PF,38,5.6,"<td class=""width-15 green"" id=""salary-col"">+$2 (5.6%)</td>",2,5.6
18.39,2017-10-25,16.58,-1.81,Spurs,411562,Patty Mills,PG,18,-5.3,"<td class=""width-15 red"" id=""salary-col"">-$1 (-5.3%)</td>",-1,-5.3
20.27,2017-10-25,26.00,+5.73,Nuggets,295941,Wilson Chandler,SF,25,4.2,"<td class=""width-15 green"" id=""salary-col"">+$1 (4.2%)</td>",1,4.2
51.44,2017-10-25,57.37,+5.93,Thunder,329830,Russell Westbrook,PG,56,-3.4,"<td class=""width-15 red"" id=""salary-col"">-$2 (-3.4%)</td>",-2,-3.4
42.21,2017-10-25,41.24,-0.97,Timberwolves,837030,Karl-Anthony Towns,C,47,-2.1,"<td class=""width-15 red"" id=""salary-col"">-$1 (-2.1%)</td>",-1,-2.1
5.86,2017-10-24,0.51,-5.35,Magic,793863,Wes Iwundu,SG,10,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
