avg_pts,date,fantasy_pts,fpts_diff,nickname,player_id,player_name,pos_main,salary,salary_change,salary_change_html,salary_diff,salary_diff_percentage
18.12,2016-10-27,13.20,-4.92,Kings,699950,Willie Cauley-Stein,PF,"4,700",-13.0,"<td class=""width-15 red"" id=""salary-col"">-$700 (-13.0%)</td>",-700,-13.0
20.00,2016-10-27,14.12,-5.88,Hawks,329187,Thabo Sefolosha,SF,"3,900",11.4,"<td class=""width-15 green"" id=""salary-col"">+$400 (11.4%)</td>",400,11.4
10.62,2016-10-27,12.16,+1.54,Celtics,503807,Jonas Jerebko,PF,"4,200",-8.7,"<td class=""width-15 red"" id=""salary-col"">-$400 (-8.7%)</td>",-400,-8.7
21.50,2016-10-25,18.16,-3.34,Knicks,276755,Courtney Lee,SG,"3,600",-7.7,"<td class=""width-15 red"" id=""salary-col"">-$300 (-7.7%)</td>",-300,-7.7
8.75,2016-10-26,11.20,+2.45,Grizzlies,845888,Wade Baldwin IV,PG,"4,200",7.7,"<td class=""width-15 green"" id=""salary-col"">+$300 (7.7%)</td>",300,7.7
7.67,2016-10-26,7.43,-0.24,Bucks,847010,Rashad Vaughn,SG,"3,900",-7.1,"<td class=""width-15 red"" id=""salary-col"">-$300 (-7.1%)</td>",-300,-7.1
25.04,2016-10-26,33.01,+7.97,Nuggets,830642,Jusuf Nurkic,C,"4,900",6.5,"<td class=""width-15 green"" id=""salary-col"">+$300 (6.5%)</td>",300,6.5
17.85,2016-10-27,18.56,+0.71,Celtics,292407,Amir Johnson,PF,"4,700",-6.0,"<td class=""width-15 red"" id=""salary-col"">-$300 (-6.0%)</td>",-300,-6.0
14.70,2016-10-27,7.75,-6.95,Hawks,520388,Mike Muscala,PF,"3,700",5.7,"<td class=""width-15 green"" id=""salary-col"">+$200 (5.7%)</td>",200,5.7
20.41,2016-10-27,22.56,+2.15,Trail Blazers,398068,Evan Turner,SF,"5,200",-5.5,"<td class=""width-15 red"" id=""salary-col"">-$300 (-5.5%)</td>",-300,-5.5
19.03,2016-10-27,10.27,-8.76,Kings,263903,Garrett Temple,PG,"3,600",-5.3,"<td class=""width-15 red"" id=""salary-col"">-$200 (-5.3%)</td>",-200,-5.3
9.27,2016-10-27,7.92,-1.35,Celtics,292391,Gerald Green,SG,"3,600",-5.3,"<td class=""width-15 red"" id=""salary-col"">-$200 (-5.3%)</td>",-200,-5.3
17.90,2016-10-27,15.79,-2.11,Spurs,65840,David Lee,PF,"4,100",5.1,"<td class=""width-15 green"" id=""salary-col"">+$200 (5.1%)</td>",200,5.1
17.14,2016-10-27,12.88,-4.26,Spurs,606642,Dewayne Dedmon,C,"4,100",5.1,"<td class=""width-15 green"" id=""salary-col"">+$200 (5.1%)</td>",200,5.1
13.24,2016-10-27,15.63,+2.39,Trail Blazers,462458,Ed Davis,PF,"3,700",-5.1,"<td class=""width-15 red"" id=""salary-col"">-$200 (-5.1%)</td>",-200,-5.1
7.20,2016-10-26,12.24,+5.04,Bucks,467271,Miles Plumlee,C,"3,700",-5.1,"<td class=""width-15 red"" id=""salary-col"">-$200 (-5.1%)</td>",-200,-5.1
14.32,2016-10-26,15.59,+1.27,Timberwolves,697722,Shabazz Muhammad,SF,"3,800",-5.0,"<td class=""width-15 red"" id=""salary-col"">-$200 (-5.0%)</td>",-200,-5.0
