avg_pts,date,fantasy_pts,fpts_diff,nickname,player_id,player_name,pos_main,salary,salary_change,salary_change_html,salary_diff,salary_diff_percentage
25.15,2017-10-18,19.21,-5.94,Jazz,603106,Rodney Hood,SF,16,60.0,"<td class=""width-15 green"" id=""salary-col"">+$6 (60.0%)</td>",6,60.0
16.99,2017-10-18,14.85,-2.14,Suns,845574,Tyler Ulis,PG,13,-43.5,"<td class=""width-15 red"" id=""salary-col"">-$10 (-43.5%)</td>",-10,-43.5
26.67,2017-10-18,27.63,+0.96,Celtics,937647,Jayson Tatum,PF,14,40.0,"<td class=""width-15 green"" id=""salary-col"">+$4 (40.0%)</td>",4,40.0
26.13,2017-10-18,29.04,+2.91,Celtics,883436,Jaylen Brown,SG,17,30.8,"<td class=""width-15 green"" id=""salary-col"">+$4 (30.8%)</td>",4,30.8
13.72,2017-10-18,17.35,+3.63,Trail Blazers,609843,Maurice Harkless,PF,13,30.0,"<td class=""width-15 green"" id=""salary-col"">+$3 (30.0%)</td>",3,30.0
23.35,2017-10-18,21.70,-1.65,Jazz,553306,Joe Ingles,SG,13,30.0,"<td class=""width-15 green"" id=""salary-col"">+$3 (30.0%)</td>",3,30.0
21.80,2017-10-18,22.28,+0.48,Nets,330453,Trevor Booker,PF,14,27.3,"<td class=""width-15 green"" id=""salary-col"">+$3 (27.3%)</td>",3,27.3
25.49,2017-10-18,32.93,+7.44,Wizards,292408,Marcin Gortat,C,24,26.3,"<td class=""width-15 green"" id=""salary-col"">+$5 (26.3%)</td>",5,26.3
24.53,2017-10-19,27.77,+3.24,Lakers,603640,Larry Nance Jr.,PF,15,25.0,"<td class=""width-15 green"" id=""salary-col"">+$3 (25.0%)</td>",3,25.0
28.06,2017-10-18,32.00,+3.94,Nets,750654,Rondae Hollis-Jefferson,PF,15,25.0,"<td class=""width-15 green"" id=""salary-col"">+$3 (25.0%)</td>",3,25.0
44.36,2017-10-18,31.00,-13.36,76ers,886391,Ben Simmons,PF,26,23.8,"<td class=""width-15 green"" id=""salary-col"">+$5 (23.8%)</td>",5,23.8
22.01,2017-10-18,25.40,+3.39,Mavericks,295809,Wesley Matthews,SF,16,23.1,"<td class=""width-15 green"" id=""salary-col"">+$3 (23.1%)</td>",3,23.1
11.87,2017-10-18,33.65,+21.78,Mavericks,699947,Nerlens Noel,C,16,23.1,"<td class=""width-15 green"" id=""salary-col"">+$3 (23.1%)</td>",3,23.1
30.49,2017-10-19,24.02,-6.47,Lakers,887665,Brandon Ingram,SF,16,23.1,"<td class=""width-15 green"" id=""salary-col"">+$3 (23.1%)</td>",3,23.1
25.57,2017-10-18,26.24,+0.67,Jazz,502808,Derrick Favors,PF,16,23.1,"<td class=""width-15 green"" id=""salary-col"">+$3 (23.1%)</td>",3,23.1
29.02,2017-10-18,27.08,-1.94,Hawks,410764,Kent Bazemore,SG,17,21.4,"<td class=""width-15 green"" id=""salary-col"">+$3 (21.4%)</td>",3,21.4
26.02,2017-10-18,23.23,-2.79,Hawks,696209,Taurean Prince,SF,17,21.4,"<td class=""width-15 green"" id=""salary-col"">+$3 (21.4%)</td>",3,21.4
24.45,2017-10-18,23.68,-0.77,Hawks,606642,Dewayne Dedmon,C,12,20.0,"<td class=""width-15 green"" id=""salary-col"">+$2 (20.0%)</td>",2,20.0
19.43,2017-10-18,21.93,+2.50,Pacers,511057,Lance Stephenson,SG,12,-20.0,"<td class=""width-15 red"" id=""salary-col"">-$3 (-20.0%)</td>",-3,-20.0
18.77,2017-10-18,25.36,+6.59,Mavericks,698635,Yogi Ferrell,SG,12,20.0,"<td class=""width-15 green"" id=""salary-col"">+$2 (20.0%)</td>",2,20.0
23.60,2017-10-18,27.65,+4.05,Bucks,601146,Malcolm Brogdon,PG,13,-18.8,"<td class=""width-15 red"" id=""salary-col"">-$3 (-18.8%)</td>",-3,-18.8
22.31,2017-10-18,26.13,+3.82,Mavericks,3234,Dirk Nowitzki,C,20,17.6,"<td class=""width-15 green"" id=""salary-col"">+$3 (17.6%)</td>",3,17.6
18.97,2017-10-17,19.89,+0.92,Warriors,173004,Andre Iguodala,SG,14,16.7,"<td class=""width-15 green"" id=""salary-col"">+$2 (16.7%)</td>",2,16.7
28.11,2017-10-18,30.17,+2.06,Pistons,552523,Tobias Harris,PF,21,16.7,"<td class=""width-15 green"" id=""salary-col"">+$3 (16.7%)</td>",3,16.7
12.08,2017-10-18,16.66,+4.59,76ers,946824,Markelle Fultz,SG,16,-15.8,"<td class=""width-15 red"" id=""salary-col"">-$3 (-15.8%)</td>",-3,-15.8
31.10,2017-10-18,27.63,-3.47,Mavericks,552336,Harrison Barnes,PF,22,15.8,"<td class=""width-15 green"" id=""salary-col"">+$3 (15.8%)</td>",3,15.8
30.68,2017-10-18,27.99,-2.69,Wizards,609256,Otto Porter,SF,25,13.6,"<td class=""width-15 green"" id=""salary-col"">+$3 (13.6%)</td>",3,13.6
27.45,2017-10-18,27.76,+0.31,Pacers,295432,Darren Collison,PG,17,13.3,"<td class=""width-15 green"" id=""salary-col"">+$2 (13.3%)</td>",2,13.3
42.27,2017-10-18,36.18,-6.09,Pistons,614746,Andre Drummond,C,26,13.0,"<td class=""width-15 green"" id=""salary-col"">+$3 (13.0%)</td>",3,13.0
16.62,2017-10-18,15.60,-1.02,Suns,884141,Marquese Chriss,PF,14,-12.5,"<td class=""width-15 red"" id=""salary-col"">-$2 (-12.5%)</td>",-2,-12.5
12.08,2017-10-17,14.05,+1.97,Cavaliers,552806,Tristan Thompson,C,14,-12.5,"<td class=""width-15 red"" id=""salary-col"">-$2 (-12.5%)</td>",-2,-12.5
32.11,2017-10-17,30.02,-2.09,Warriors,457611,Klay Thompson,SG,27,12.5,"<td class=""width-15 green"" id=""salary-col"">+$3 (12.5%)</td>",3,12.5
23.43,2017-10-18,23.44,+0.01,Pistons,513607,Avery Bradley,SG,27,12.5,"<td class=""width-15 green"" id=""salary-col"">+$3 (12.5%)</td>",3,12.5
24.89,2017-10-19,35.31,+10.42,Lakers,330047,Brook Lopez,C,29,11.5,"<td class=""width-15 green"" id=""salary-col"">+$3 (11.5%)</td>",3,11.5
24.94,2017-10-18,19.16,-5.78,Suns,616982,Alex Len,C,11,10.0,"<td class=""width-15 green"" id=""salary-col"">+$1 (10.0%)</td>",1,10.0
17.05,2017-10-18,13.58,-3.47,Pelicans,401082,Jordan Crawford,SG,11,10.0,"<td class=""width-15 green"" id=""salary-col"">+$1 (10.0%)</td>",1,10.0
10.57,2017-10-17,6.14,-4.43,Warriors,263228,Nick Young,SG,11,10.0,"<td class=""width-15 green"" id=""salary-col"">+$1 (10.0%)</td>",1,10.0
18.12,2017-10-18,10.14,-7.98,Jazz,329187,Thabo Sefolosha,SG,11,10.0,"<td class=""width-15 green"" id=""salary-col"">+$1 (10.0%)</td>",1,10.0
36.67,2017-10-18,35.31,-1.36,Wizards,606912,Bradley Beal,SG,34,9.7,"<td class=""width-15 green"" id=""salary-col"">+$3 (9.7%)</td>",3,9.7
31.33,2017-10-18,42.91,+11.58,Jazz,739960,Rudy Gobert,C,34,9.7,"<td class=""width-15 green"" id=""salary-col"">+$3 (9.7%)</td>",3,9.7
46.31,2017-10-18,36.48,-9.83,76ers,794508,Joel Embiid,C,34,9.7,"<td class=""width-15 green"" id=""salary-col"">+$3 (9.7%)</td>",3,9.7
18.73,2017-10-18,25.60,+6.87,Hornets,263884,Marvin Williams,PF,19,-9.5,"<td class=""width-15 red"" id=""salary-col"">-$2 (-9.5%)</td>",-2,-9.5
27.79,2017-10-19,15.27,-12.52,Lakers,844476,Kyle Kuzma,SF,10,-9.1,"<td class=""width-15 red"" id=""salary-col"">-$1 (-9.1%)</td>",-1,-9.1
19.42,2017-10-18,22.05,+2.63,Kings,957489,De'Aaron Fox,PG,13,8.3,"<td class=""width-15 green"" id=""salary-col"">+$1 (8.3%)</td>",1,8.3
