avg_pts,date,fantasy_pts,fpts_diff,nickname,player_id,player_name,pos_main,salary,salary_change,salary_change_html,salary_diff,salary_diff_percentage
22.08,2017-11-19,18.46,-3.62,Bulls,552319,Jerian Grant,PG,"3,800",-11.6,"<td class=""width-15 red"" id=""salary-col"">-$500 (-11.6%)</td>",-500,-11.6
27.56,2017-11-19,27.78,+0.22,Bulls,395365,Justin Holiday,SG,"5,300",-7.0,"<td class=""width-15 red"" id=""salary-col"">-$400 (-7.0%)</td>",-400,-7.0
10.26,2017-11-19,10.95,+0.69,Bulls,839018,Cristiano Felicio,C,"3,000",-6.3,"<td class=""width-15 red"" id=""salary-col"">-$200 (-6.3%)</td>",-200,-6.3
26.26,2017-11-19,26.18,-0.08,Lakers,602730,Kentavious Caldwell-Pope,SG,"5,600",5.7,"<td class=""width-15 green"" id=""salary-col"">+$300 (5.7%)</td>",300,5.7
21.76,2017-11-19,25.04,+3.28,Bulls,712595,Denzel Valentine,SF,"5,100",-5.6,"<td class=""width-15 red"" id=""salary-col"">-$300 (-5.6%)</td>",-300,-5.6
25.50,2017-11-19,23.17,-2.33,Bulls,750703,Bobby Portis,PF,"4,200",-4.5,"<td class=""width-15 red"" id=""salary-col"">-$200 (-4.5%)</td>",-200,-4.5
24.74,2017-11-19,26.66,+1.92,Bulls,330050,Robin Lopez,C,"4,800",-4.0,"<td class=""width-15 red"" id=""salary-col"">-$200 (-4.0%)</td>",-200,-4.0
27.44,2017-11-19,28.98,+1.54,Bulls,698968,Kris Dunn,SG,"6,200",3.3,"<td class=""width-15 green"" id=""salary-col"">+$200 (3.3%)</td>",200,3.3
8.55,2017-11-19,10.81,+2.26,Lakers,263217,Corey Brewer,SF,"3,200",3.2,"<td class=""width-15 green"" id=""salary-col"">+$100 (3.2%)</td>",100,3.2
8.66,2017-11-19,5.04,-3.62,Lakers,229912,Andrew Bogut,C,"3,000",-3.2,"<td class=""width-15 red"" id=""salary-col"">-$100 (-3.2%)</td>",-100,-3.2
24.08,2017-11-19,28.23,+4.15,Lakers,786412,Julius Randle,PF,"5,300",1.9,"<td class=""width-15 green"" id=""salary-col"">+$100 (1.9%)</td>",100,1.9
28.94,2017-11-19,30.56,+1.62,Lakers,330047,Brook Lopez,C,"6,300",1.6,"<td class=""width-15 green"" id=""salary-col"">+$100 (1.6%)</td>",100,1.6
27.79,2017-11-19,28.72,+0.93,Lakers,887665,Brandon Ingram,SF,"6,200",-1.6,"<td class=""width-15 red"" id=""salary-col"">-$100 (-1.6%)</td>",-100,-1.6
30.06,2017-11-19,32.08,+2.02,Bulls,949131,Lauri Markkanen,PF,"6,200",1.6,"<td class=""width-15 green"" id=""salary-col"">+$100 (1.6%)</td>",100,1.6
26.41,2017-11-19,29.02,+2.61,Lakers,844476,Kyle Kuzma,PF,"6,500",-1.5,"<td class=""width-15 red"" id=""salary-col"">-$100 (-1.5%)</td>",-100,-1.5
32.84,2017-11-19,34.90,+2.06,Lakers,946714,Lonzo Ball,PG,"7,700",1.3,"<td class=""width-15 green"" id=""salary-col"">+$100 (1.3%)</td>",100,1.3
7.73,2017-11-19,1.16,-6.57,Bulls,789776,Kahlil Felder,PG,"3,000",0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
7.51,2017-11-19,5.70,-1.81,Lakers,741892,Josh Hart,SG,"3,000",0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
9.25,2017-11-19,10.73,+1.48,Bulls,886386,Antonio Blakeney,PG,"3,000",0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
7.49,2017-11-19,4.05,-3.44,Bulls,329825,Quincy Pondexter,SF,"3,000",0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
23.06,2017-11-19,22.30,-0.76,Lakers,551975,Jordan Clarkson,SG,"4,800",0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
5.60,2017-11-19,1.68,-3.92,Lakers,786387,Tyler Ennis,PG,"3,000",0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
10.15,2017-11-19,2.60,-7.55,Bulls,920098,Paul Zipser,SF,"3,100",0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
0.68,2017-11-19,2.12,+1.45,Lakers,552380,Vander Blue,SG,"3,000",0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
1.53,2017-11-19,2.51,+0.98,Lakers,920093,Ivica Zubac,C,"3,000",0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
1.50,2017-11-19,0.41,-1.09,Bulls,697940,Ryan Arcidiacono,PG,"3,000",0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
