avg_pts,date,fantasy_pts,fpts_diff,nickname,player_id,player_name,pos_main,salary,salary_change,salary_change_html,salary_diff,salary_diff_percentage
25.01,2017-11-13,17.25,-7.76,Pelicans,262882,Rajon Rondo,PG,"3,100",-43.6,"<td class=""width-15 red"" id=""salary-col"">-$2400 (-43.6%)</td>",-2400,-43.6
31.33,2017-11-11,27.80,-3.53,Bulls,698968,Kris Dunn,SG,"6,100",15.1,"<td class=""width-15 green"" id=""salary-col"">+$800 (15.1%)</td>",800,15.1
21.22,2017-11-12,21.75,+0.53,Heat,571786,Tyler Johnson,PG,"4,600",15.0,"<td class=""width-15 green"" id=""salary-col"">+$600 (15.0%)</td>",600,15.0
22.54,2017-11-12,23.89,+1.35,Heat,604288,Josh Richardson,SF,"4,900",14.0,"<td class=""width-15 green"" id=""salary-col"">+$600 (14.0%)</td>",600,14.0
22.82,2017-11-13,26.76,+3.94,Bucks,502871,John Henson,PF,"5,700",11.8,"<td class=""width-15 green"" id=""salary-col"">+$600 (11.8%)</td>",600,11.8
24.05,2017-11-10,22.99,-1.06,Hornets,456451,Nicolas Batum,SG,"5,400",-11.5,"<td class=""width-15 red"" id=""salary-col"">-$700 (-11.5%)</td>",-700,-11.5
10.63,2017-11-12,5.82,-4.81,Pistons,552335,Reggie Bullock,SF,"3,900",-11.4,"<td class=""width-15 red"" id=""salary-col"">-$500 (-11.4%)</td>",-500,-11.4
19.67,2017-11-13,15.64,-4.03,Knicks,483372,Kyle O'Quinn,C,"3,900",-11.4,"<td class=""width-15 red"" id=""salary-col"">-$500 (-11.4%)</td>",-500,-11.4
25.57,2017-11-13,28.93,+3.36,Jazz,502808,Derrick Favors,PF,"6,000",11.1,"<td class=""width-15 green"" id=""salary-col"">+$600 (11.1%)</td>",600,11.1
9.38,2017-11-11,5.98,-3.40,Bulls,920098,Paul Zipser,SF,"3,200",-11.1,"<td class=""width-15 red"" id=""salary-col"">-$400 (-11.1%)</td>",-400,-11.1
20.00,2017-11-13,23.26,+3.26,76ers,551787,T.J. McConnell,PG,"5,100",10.9,"<td class=""width-15 green"" id=""salary-col"">+$500 (10.9%)</td>",500,10.9
46.31,2017-11-13,42.23,-4.08,76ers,794508,Joel Embiid,C,"9,700",10.2,"<td class=""width-15 green"" id=""salary-col"">+$900 (10.2%)</td>",900,10.2
30.27,2017-11-13,26.73,-3.54,Knicks,551771,Tim Hardaway Jr.,SG,"6,600",10.0,"<td class=""width-15 green"" id=""salary-col"">+$600 (10.0%)</td>",600,10.0
11.67,2017-11-13,8.26,-3.41,Hawks,660092,Tyler Cavanaugh,PF,"3,300",10.0,"<td class=""width-15 green"" id=""salary-col"">+$300 (10.0%)</td>",300,10.0
12.17,2017-11-13,10.34,-1.83,Pelicans,469484,Darius Miller,SF,"3,300",10.0,"<td class=""width-15 green"" id=""salary-col"">+$300 (10.0%)</td>",300,10.0
29.02,2017-11-13,27.71,-1.31,Hawks,410764,Kent Bazemore,SG,"5,700",9.6,"<td class=""width-15 green"" id=""salary-col"">+$500 (9.6%)</td>",500,9.6
11.75,2017-11-13,11.91,+0.16,Grizzlies,604898,Ben McLemore,SG,"3,000",-9.1,"<td class=""width-15 red"" id=""salary-col"">-$300 (-9.1%)</td>",-300,-9.1
18.40,2017-11-13,27.76,+9.36,Grizzlies,296572,Mario Chalmers,PG,"3,600",9.1,"<td class=""width-15 green"" id=""salary-col"">+$300 (9.1%)</td>",300,9.1
24.81,2017-11-13,24.84,+0.03,Cavaliers,61849,Dwyane Wade,SG,"4,800",9.1,"<td class=""width-15 green"" id=""salary-col"">+$400 (9.1%)</td>",400,9.1
11.80,2017-11-13,11.34,-0.46,Hawks,795435,Isaiah Taylor,PG,"3,100",-8.8,"<td class=""width-15 red"" id=""salary-col"">-$300 (-8.8%)</td>",-300,-8.8
16.35,2017-11-13,15.39,-0.96,Cavaliers,58293,Kyle Korver,SG,"3,700",8.8,"<td class=""width-15 green"" id=""salary-col"">+$300 (8.8%)</td>",300,8.8
24.40,2017-11-11,27.74,+3.34,Bulls,330050,Robin Lopez,C,"5,400",-8.5,"<td class=""width-15 red"" id=""salary-col"">-$500 (-8.5%)</td>",-500,-8.5
31.58,2017-11-13,31.51,-0.07,76ers,525052,Robert Covington,SF,"6,800",7.9,"<td class=""width-15 green"" id=""salary-col"">+$500 (7.9%)</td>",500,7.9
19.94,2017-11-13,17.82,-2.12,Knicks,178537,Jarrett Jack,PG,"3,500",-7.9,"<td class=""width-15 red"" id=""salary-col"">-$300 (-7.9%)</td>",-300,-7.9
28.07,2017-11-11,25.30,-2.77,Bulls,949131,Lauri Markkanen,PF,"5,800",-7.9,"<td class=""width-15 red"" id=""salary-col"">-$500 (-7.9%)</td>",-500,-7.9
19.39,2017-11-13,19.77,+0.38,Hawks,393434,Marco Belinelli,SG,"4,300",7.5,"<td class=""width-15 green"" id=""salary-col"">+$300 (7.5%)</td>",300,7.5
24.37,2017-11-12,28.83,+4.46,Heat,552007,Dion Waiters,SG,"5,800",7.4,"<td class=""width-15 green"" id=""salary-col"">+$400 (7.4%)</td>",400,7.4
18.12,2017-11-13,16.82,-1.30,Jazz,329187,Thabo Sefolosha,SF,"4,400",7.3,"<td class=""width-15 green"" id=""salary-col"">+$300 (7.3%)</td>",300,7.3
38.58,2017-11-13,38.42,-0.16,Timberwolves,458730,Jimmy Butler,SF,"7,600",7.0,"<td class=""width-15 green"" id=""salary-col"">+$500 (7.0%)</td>",500,7.0
24.89,2017-11-13,29.99,+5.10,Lakers,330047,Brook Lopez,C,"6,100",7.0,"<td class=""width-15 green"" id=""salary-col"">+$400 (7.0%)</td>",400,7.0
29.54,2017-11-13,30.06,+0.52,Jazz,879707,Donovan Mitchell,SG,"6,200",6.9,"<td class=""width-15 green"" id=""salary-col"">+$400 (6.9%)</td>",400,6.9
26.53,2017-11-10,24.48,-2.05,Hornets,552980,Jeremy Lamb,SG,"5,500",-6.8,"<td class=""width-15 red"" id=""salary-col"">-$400 (-6.8%)</td>",-400,-6.8
21.78,2017-11-13,19.25,-2.53,Pelicans,398424,E'Twaun Moore,SG,"4,700",6.8,"<td class=""width-15 green"" id=""salary-col"">+$300 (6.8%)</td>",300,6.8
11.50,2017-11-12,7.73,-3.77,Pistons,887661,Luke Kennard,SG,"3,200",6.7,"<td class=""width-15 green"" id=""salary-col"">+$200 (6.7%)</td>",200,6.7
14.41,2017-11-13,21.10,+6.69,Jazz,503807,Jonas Jerebko,PF,"3,200",6.7,"<td class=""width-15 green"" id=""salary-col"">+$200 (6.7%)</td>",200,6.7
17.95,2017-11-12,18.05,+0.10,Pacers,552805,Cory Joseph,PG,"4,200",-6.7,"<td class=""width-15 red"" id=""salary-col"">-$300 (-6.7%)</td>",-300,-6.7
13.51,2017-11-13,0.76,-12.75,Wizards,659772,Tomas Satoransky,PG,"3,200",6.7,"<td class=""width-15 green"" id=""salary-col"">+$200 (6.7%)</td>",200,6.7
9.47,2017-11-13,8.94,-0.53,Cavaliers,65871,Channing Frye,C,"3,200",6.7,"<td class=""width-15 green"" id=""salary-col"">+$200 (6.7%)</td>",200,6.7
25.57,2017-11-13,30.42,+4.85,Jazz,503689,Ricky Rubio,PG,"7,000",-6.7,"<td class=""width-15 red"" id=""salary-col"">-$500 (-6.7%)</td>",-500,-6.7
23.60,2017-11-13,23.86,+0.26,Bucks,601146,Malcolm Brogdon,SG,"5,700",-6.6,"<td class=""width-15 red"" id=""salary-col"">-$400 (-6.6%)</td>",-400,-6.6
12.41,2017-11-13,13.32,+0.91,Magic,599797,Bismack Biyombo,C,"3,300",6.5,"<td class=""width-15 green"" id=""salary-col"">+$200 (6.5%)</td>",200,6.5
17.95,2017-11-12,18.53,+0.58,Heat,842298,Justise Winslow,SF,"4,400",-6.4,"<td class=""width-15 red"" id=""salary-col"">-$300 (-6.4%)</td>",-300,-6.4
20.71,2017-11-12,21.34,+0.63,Pacers,599812,Bojan Bogdanovic,SF,"4,400",-6.4,"<td class=""width-15 red"" id=""salary-col"">-$300 (-6.4%)</td>",-300,-6.4
9.49,2017-11-13,9.50,+0.01,76ers,697982,Justin Anderson,SF,"3,000",-6.3,"<td class=""width-15 red"" id=""salary-col"">-$200 (-6.3%)</td>",-200,-6.3
15.08,2017-11-12,8.62,-6.46,Heat,329670,Wayne Ellington,SG,"3,000",-6.3,"<td class=""width-15 red"" id=""salary-col"">-$200 (-6.3%)</td>",-200,-6.3
11.03,2017-11-13,9.79,-1.24,Magic,330421,Marreese Speights,C,"3,400",6.3,"<td class=""width-15 green"" id=""salary-col"">+$200 (6.3%)</td>",200,6.3
11.48,2017-11-13,3.14,-8.34,Grizzlies,744245,Jarell Martin,PF,"3,100",-6.1,"<td class=""width-15 red"" id=""salary-col"">-$200 (-6.1%)</td>",-200,-6.1
27.64,2017-11-14,25.77,-1.87,Spurs,3494,Pau Gasol,C,"6,200",-6.1,"<td class=""width-15 red"" id=""salary-col"">-$400 (-6.1%)</td>",-400,-6.1
23.77,2017-11-11,27.40,+3.63,Bulls,750703,Bobby Portis,PF,"5,300",6.0,"<td class=""width-15 green"" id=""salary-col"">+$300 (6.0%)</td>",300,6.0
19.43,2017-11-12,15.26,-4.17,Pacers,511057,Lance Stephenson,SF,"3,600",5.9,"<td class=""width-15 green"" id=""salary-col"">+$200 (5.9%)</td>",200,5.9
18.56,2017-11-13,20.45,+1.89,Wizards,469085,Markieff Morris,PF,"5,100",-5.6,"<td class=""width-15 red"" id=""salary-col"">-$300 (-5.6%)</td>",-300,-5.6
19.90,2017-11-13,20.98,+1.08,Kings,277552,George Hill,PG,"3,800",5.6,"<td class=""width-15 green"" id=""salary-col"">+$200 (5.6%)</td>",200,5.6
27.45,2017-11-12,25.17,-2.28,Pacers,295432,Darren Collison,PG,"5,200",-5.5,"<td class=""width-15 red"" id=""salary-col"">-$300 (-5.5%)</td>",-300,-5.5
44.36,2017-11-13,43.48,-0.88,76ers,886391,Ben Simmons,PF,"9,800",5.4,"<td class=""width-15 green"" id=""salary-col"">+$500 (5.4%)</td>",500,5.4
17.05,2017-11-13,18.78,+1.73,Kings,398066,Kosta Koufos,C,"3,500",-5.4,"<td class=""width-15 red"" id=""salary-col"">-$200 (-5.4%)</td>",-200,-5.4
18.73,2017-11-13,18.12,-0.61,Kings,830648,Bogdan Bogdanovic,SG,"3,600",-5.3,"<td class=""width-15 red"" id=""salary-col"">-$200 (-5.3%)</td>",-200,-5.3
18.36,2017-11-10,18.82,+0.46,Hornets,606731,Frank Kaminsky,PF,"4,000",5.3,"<td class=""width-15 green"" id=""salary-col"">+$200 (5.3%)</td>",200,5.3
35.25,2017-11-14,33.71,-1.54,Raptors,266394,Kyle Lowry,PG,"7,300",-5.2,"<td class=""width-15 red"" id=""salary-col"">-$400 (-5.2%)</td>",-400,-5.2
42.27,2017-11-12,43.02,+0.75,Pistons,614746,Andre Drummond,C,"9,400",-5.1,"<td class=""width-15 red"" id=""salary-col"">-$500 (-5.1%)</td>",-500,-5.1
19.13,2017-11-13,17.92,-1.21,Cavaliers,266367,Jeff Green,SF,"3,800",-5.0,"<td class=""width-15 red"" id=""salary-col"">-$200 (-5.0%)</td>",-200,-5.0
