avg_pts,date,fantasy_pts,fpts_diff,nickname,player_id,player_name,pos_main,salary,salary_change,salary_change_html,salary_diff,salary_diff_percentage
8.75,2017-04-20,2.17,-6.58,Grizzlies,845888,Wade Baldwin IV,PG,"1,400",-60.0,"<td class=""width-15 red"" id=""salary-col"">-$2100 (-60.0%)</td>",-2100,-60.0
6.78,2017-04-20,1.80,-4.98,Raptors,707832,Fred Van Vleet,PG,"1,400",-60.0,"<td class=""width-15 red"" id=""salary-col"">-$2100 (-60.0%)</td>",-2100,-60.0
16.93,2017-04-20,8.39,-8.54,Bucks,405345,Michael Beasley,SF,"1,800",-59.1,"<td class=""width-15 red"" id=""salary-col"">-$2600 (-59.1%)</td>",-2600,-59.1
19.18,2017-04-20,2.80,-16.38,Bucks,502871,John Henson,PF,"1,500",-58.3,"<td class=""width-15 red"" id=""salary-col"">-$2100 (-58.3%)</td>",-2100,-58.3
3.05,2017-04-19,0.84,-2.21,Wizards,697949,Daniel Ochefu,PF,"1,500",-57.1,"<td class=""width-15 red"" id=""salary-col"">-$2000 (-57.1%)</td>",-2000,-57.1
17.20,2017-04-20,1.27,-15.93,Raptors,639296,Lucas Nogueira,C,"1,500",-57.1,"<td class=""width-15 red"" id=""salary-col"">-$2000 (-57.1%)</td>",-2000,-57.1
11.21,2017-04-19,1.45,-9.76,Hawks,229649,Kris Humphries,PF,"1,500",-57.1,"<td class=""width-15 red"" id=""salary-col"">-$2000 (-57.1%)</td>",-2000,-57.1
10.10,2017-04-20,0.37,-9.73,Grizzlies,744245,Jarell Martin,PF,"1,500",-57.1,"<td class=""width-15 red"" id=""salary-col"">-$2000 (-57.1%)</td>",-2000,-57.1
8.98,2017-04-20,4.07,-4.91,Spurs,599814,Dave Bertans,SF,"1,500",-57.1,"<td class=""width-15 red"" id=""salary-col"">-$2000 (-57.1%)</td>",-2000,-57.1
6.67,2017-04-20,0.14,-6.53,Spurs,884168,Dejounte Murray,PG,"1,500",-57.1,"<td class=""width-15 red"" id=""salary-col"">-$2000 (-57.1%)</td>",-2000,-57.1
5.56,2017-04-19,0.91,-4.65,Warriors,745922,Damian Jones,C,"1,500",-57.1,"<td class=""width-15 red"" id=""salary-col"">-$2000 (-57.1%)</td>",-2000,-57.1
4.56,2017-04-20,0.18,-4.38,Spurs,265013,Joel Anthony,C,"1,500",-57.1,"<td class=""width-15 red"" id=""salary-col"">-$2000 (-57.1%)</td>",-2000,-57.1
5.22,2017-04-20,1.58,-3.64,Grizzlies,891177,Deyonta Davis,PF,"1,500",-57.1,"<td class=""width-15 red"" id=""salary-col"">-$2000 (-57.1%)</td>",-2000,-57.1
