avg_pts,date,fantasy_pts,fpts_diff,nickname,player_id,player_name,pos_main,salary,salary_change,salary_change_html,salary_diff,salary_diff_percentage
17.00,2017-12-19,20.83,+3.83,76ers,695069,Richaun Holmes,C,"5,900",51.3,"<td class=""width-15 green"" id=""salary-col"">+$2000 (51.3%)</td>",2000,51.3
10.85,2017-12-20,14.04,+3.19,Suns,513526,Troy Daniels,SG,"4,800",29.7,"<td class=""width-15 green"" id=""salary-col"">+$1100 (29.7%)</td>",1100,29.7
24.71,2017-12-20,20.04,-4.67,Suns,616982,Alex Len,C,"6,600",15.8,"<td class=""width-15 green"" id=""salary-col"">+$900 (15.8%)</td>",900,15.8
10.30,2017-12-19,13.00,+2.70,76ers,920091,Timothe Luwawu,SG,"4,000",14.3,"<td class=""width-15 green"" id=""salary-col"">+$500 (14.3%)</td>",500,14.3
24.02,2017-12-20,17.49,-6.53,Spurs,697720,Kyle Anderson,SF,"4,600",-13.2,"<td class=""width-15 red"" id=""salary-col"">-$700 (-13.2%)</td>",-700,-13.2
24.76,2017-12-19,26.38,+1.62,Cavaliers,61849,Dwyane Wade,SG,"5,400",12.5,"<td class=""width-15 green"" id=""salary-col"">+$600 (12.5%)</td>",600,12.5
15.35,2017-12-19,22.93,+7.58,76ers,395391,Jerryd Bayless,PG,"3,900",11.4,"<td class=""width-15 green"" id=""salary-col"">+$400 (11.4%)</td>",400,11.4
11.78,2017-12-20,18.41,+6.63,Jazz,3501,Joe Johnson,SF,"3,900",11.4,"<td class=""width-15 green"" id=""salary-col"">+$400 (11.4%)</td>",400,11.4
21.67,2017-12-20,17.09,-4.58,Suns,509094,Isaiah Canaan,PG,"3,700",-9.8,"<td class=""width-15 red"" id=""salary-col"">-$400 (-9.8%)</td>",-400,-9.8
19.76,2017-12-20,19.61,-0.15,Grizzlies,460833,JaMychal Green,PF,"5,600",9.8,"<td class=""width-15 green"" id=""salary-col"">+$500 (9.8%)</td>",500,9.8
14.77,2017-12-20,20.00,+5.23,Celtics,296379,Aron Baynes,C,"3,700",-9.8,"<td class=""width-15 red"" id=""salary-col"">-$400 (-9.8%)</td>",-400,-9.8
22.89,2017-12-20,29.22,+6.33,Suns,467468,Greg Monroe,C,"5,900",9.3,"<td class=""width-15 green"" id=""salary-col"">+$500 (9.3%)</td>",500,9.3
38.04,2017-12-20,41.12,+3.08,Celtics,551768,Kyrie Irving,PG,"8,700",8.8,"<td class=""width-15 green"" id=""salary-col"">+$700 (8.8%)</td>",700,8.8
24.99,2017-12-18,25.87,+0.88,Knicks,276755,Courtney Lee,SF,"5,500",-8.3,"<td class=""width-15 red"" id=""salary-col"">-$500 (-8.3%)</td>",-500,-8.3
20.34,2017-12-20,15.01,-5.33,Bulls,552319,Jerian Grant,PG,"4,000",8.1,"<td class=""width-15 green"" id=""salary-col"">+$300 (8.1%)</td>",300,8.1
14.03,2017-12-18,16.17,+2.14,Knicks,554804,Doug McDermott,SF,"3,500",-7.9,"<td class=""width-15 red"" id=""salary-col"">-$300 (-7.9%)</td>",-300,-7.9
22.77,2017-12-20,26.74,+3.97,Raptors,599780,Jonas Valanciunas,C,"5,900",7.3,"<td class=""width-15 green"" id=""salary-col"">+$400 (7.3%)</td>",400,7.3
22.67,2017-12-20,24.30,+1.63,Spurs,266358,Rudy Gay,SF,"5,200",-7.1,"<td class=""width-15 red"" id=""salary-col"">-$400 (-7.1%)</td>",-400,-7.1
20.38,2017-12-19,20.74,+0.36,76ers,330453,Trevor Booker,PF,"5,200",-7.1,"<td class=""width-15 red"" id=""salary-col"">-$400 (-7.1%)</td>",-400,-7.1
18.32,2017-12-18,16.31,-2.01,Knicks,405345,Michael Beasley,PF,"6,300",6.8,"<td class=""width-15 green"" id=""salary-col"">+$400 (6.8%)</td>",400,6.8
