avg_pts,date,fantasy_pts,fpts_diff,nickname,player_id,player_name,pos_main,salary,salary_change,salary_change_html,salary_diff,salary_diff_percentage
31.37,2016-05-08,34.61,+3.24,Hawks,739958,Dennis Schroder,PG,21,50.0,"<td class=""width-15 green"" id=""salary-col"">+$7 (50.0%)</td>",7,50.0
19.54,2016-04-29,13.13,-6.41,Clippers,601139,Austin Rivers,PG,10,-44.4,"<td class=""width-15 red"" id=""salary-col"">-$8 (-44.4%)</td>",-8,-44.4
15.87,2016-04-25,17.93,+2.06,Clippers,174063,Raymond Felton,PG,12,-40.0,"<td class=""width-15 red"" id=""salary-col"">-$8 (-40.0%)</td>",-8,-40.0
40.49,2016-04-29,30.64,-9.85,Clippers,399725,Blake Griffin,PF,41,36.7,"<td class=""width-15 green"" id=""salary-col"">+$11 (36.7%)</td>",11,36.7
13.83,2016-04-13,14.85,+1.03,Bulls,750703,Bobby Portis,PF,11,-26.7,"<td class=""width-15 red"" id=""salary-col"">-$4 (-26.7%)</td>",-4,-26.7
17.02,2016-10-26,16.52,-0.50,Bulls,609790,Michael Carter-Williams,PG,17,-26.1,"<td class=""width-15 red"" id=""salary-col"">-$6 (-26.1%)</td>",-6,-26.1
17.90,2016-10-25,12.44,-5.46,Spurs,65840,David Lee,PF,13,18.2,"<td class=""width-15 green"" id=""salary-col"">+$2 (18.2%)</td>",2,18.2
19.15,2016-04-29,19.90,+0.75,Clippers,3388,Jamal Crawford,SG,19,-17.4,"<td class=""width-15 red"" id=""salary-col"">-$4 (-17.4%)</td>",-4,-17.4
18.77,2016-10-26,17.39,-1.38,Kings,168051,Matt Barnes,SF,15,-16.7,"<td class=""width-15 red"" id=""salary-col"">-$3 (-16.7%)</td>",-3,-16.7
13.80,2016-04-13,13.88,+0.08,Bulls,554804,Doug McDermott,SF,11,-15.4,"<td class=""width-15 red"" id=""salary-col"">-$2 (-15.4%)</td>",-2,-15.4
17.85,2016-10-26,20.64,+2.79,Celtics,292407,Amir Johnson,C,16,14.3,"<td class=""width-15 green"" id=""salary-col"">+$2 (14.3%)</td>",2,14.3
27.53,2016-04-13,25.28,-2.25,Wizards,469085,Markieff Morris,PF,17,13.3,"<td class=""width-15 green"" id=""salary-col"">+$2 (13.3%)</td>",2,13.3
34.12,2016-04-13,26.86,-7.26,Wizards,606912,Bradley Beal,SG,28,12.0,"<td class=""width-15 green"" id=""salary-col"">+$3 (12.0%)</td>",3,12.0
22.31,2016-04-13,22.94,+0.63,Bulls,599809,Nikola Mirotic,PF,19,11.8,"<td class=""width-15 green"" id=""salary-col"">+$2 (11.8%)</td>",2,11.8
34.94,2016-04-27,35.11,+0.17,Hawks,253975,Dwight Howard,C,29,11.5,"<td class=""width-15 green"" id=""salary-col"">+$3 (11.5%)</td>",3,11.5
27.74,2016-04-13,27.91,+0.17,Wizards,292408,Marcin Gortat,C,29,11.5,"<td class=""width-15 green"" id=""salary-col"">+$3 (11.5%)</td>",3,11.5
28.76,2016-04-13,20.04,-8.72,Wizards,609256,Otto Porter,SF,20,11.1,"<td class=""width-15 green"" id=""salary-col"">+$2 (11.1%)</td>",2,11.1
36.39,2016-04-29,33.74,-2.65,Clippers,398142,DeAndre Jordan,C,33,-10.8,"<td class=""width-15 red"" id=""salary-col"">-$4 (-10.8%)</td>",-4,-10.8
44.38,2016-04-13,29.99,-14.39,Bulls,458730,Jimmy Butler,SF,43,10.3,"<td class=""width-15 green"" id=""salary-col"">+$4 (10.3%)</td>",4,10.3
26.42,2016-04-13,26.11,-0.31,Bulls,262882,Rajon Rondo,PG,33,10.0,"<td class=""width-15 green"" id=""salary-col"">+$3 (10.0%)</td>",3,10.0
9.02,2016-10-26,9.69,+0.67,Celtics,462461,Tyler Zeller,C,11,10.0,"<td class=""width-15 green"" id=""salary-col"">+$1 (10.0%)</td>",1,10.0
13.33,2016-10-26,12.55,-0.78,Celtics,786293,Terry Rozier,PG,11,10.0,"<td class=""width-15 green"" id=""salary-col"">+$1 (10.0%)</td>",1,10.0
11.48,2016-10-25,18.06,+6.58,Spurs,697720,Kyle Anderson,SG,11,10.0,"<td class=""width-15 green"" id=""salary-col"">+$1 (10.0%)</td>",1,10.0
20.00,2016-05-08,13.53,-6.47,Hawks,329187,Thabo Sefolosha,SF,11,10.0,"<td class=""width-15 green"" id=""salary-col"">+$1 (10.0%)</td>",1,10.0
10.62,2016-10-26,14.55,+3.93,Celtics,503807,Jonas Jerebko,PF,11,10.0,"<td class=""width-15 green"" id=""salary-col"">+$1 (10.0%)</td>",1,10.0
29.58,2016-10-26,24.99,-4.59,Celtics,513607,Avery Bradley,SG,22,10.0,"<td class=""width-15 green"" id=""salary-col"">+$2 (10.0%)</td>",2,10.0
13.63,2016-10-26,18.70,+5.07,Kings,263229,Arron Afflalo,SG,12,9.1,"<td class=""width-15 green"" id=""salary-col"">+$1 (9.1%)</td>",1,9.1
16.83,2016-05-28,3.59,-13.24,Clippers,330421,Marreese Speights,C,10,-9.1,"<td class=""width-15 red"" id=""salary-col"">-$1 (-9.1%)</td>",-1,-9.1
20.41,2016-10-25,22.49,+2.08,Trail Blazers,398068,Evan Turner,SF,21,-8.7,"<td class=""width-15 red"" id=""salary-col"">-$2 (-8.7%)</td>",-2,-8.7
26.90,2016-10-26,27.41,+0.51,Celtics,552381,Jae Crowder,SF,26,8.3,"<td class=""width-15 green"" id=""salary-col"">+$2 (8.3%)</td>",2,8.3
12.48,2016-10-26,9.14,-3.34,Celtics,883436,Jaylen Brown,SF,11,-8.3,"<td class=""width-15 red"" id=""salary-col"">-$1 (-8.3%)</td>",-1,-8.3
13.24,2016-10-25,15.89,+2.65,Trail Blazers,462458,Ed Davis,PF,11,-8.3,"<td class=""width-15 red"" id=""salary-col"">-$1 (-8.3%)</td>",-1,-8.3
21.86,2016-10-25,16.04,-5.82,Trail Blazers,609843,Maurice Harkless,SF,13,-7.1,"<td class=""width-15 red"" id=""salary-col"">-$1 (-7.1%)</td>",-1,-7.1
34.16,2016-10-26,31.93,-2.23,Celtics,280587,Al Horford,PF,31,6.9,"<td class=""width-15 green"" id=""salary-col"">+$2 (6.9%)</td>",2,6.9
11.89,2016-10-26,11.38,-0.51,Kings,503779,Omri Casspi,PF,16,-5.9,"<td class=""width-15 red"" id=""salary-col"">-$1 (-5.9%)</td>",-1,-5.9
22.56,2016-04-13,15.38,-7.18,Bulls,330057,Taj Gibson,PF,18,5.9,"<td class=""width-15 green"" id=""salary-col"">+$1 (5.9%)</td>",1,5.9
33.47,2016-05-15,31.10,-2.37,Bulls,61849,Dwyane Wade,SG,34,-5.6,"<td class=""width-15 red"" id=""salary-col"">-$2 (-5.6%)</td>",-2,-5.6
28.45,2016-10-25,32.20,+3.75,Spurs,3494,Pau Gasol,C,35,-5.4,"<td class=""width-15 red"" id=""salary-col"">-$2 (-5.4%)</td>",-2,-5.4
23.48,2016-04-12,24.75,+1.27,Bulls,330050,Robin Lopez,C,21,5.0,"<td class=""width-15 green"" id=""salary-col"">+$1 (5.0%)</td>",1,5.0
23.68,2016-10-25,26.68,+3.00,Trail Blazers,457688,Al-Farouq Aminu,PF,19,-5.0,"<td class=""width-15 red"" id=""salary-col"">-$1 (-5.0%)</td>",-1,-5.0
41.51,2016-10-26,37.78,-3.73,Celtics,457605,Isaiah Thomas,PG,43,4.9,"<td class=""width-15 green"" id=""salary-col"">+$2 (4.9%)</td>",2,4.9
48.05,2016-04-13,41.99,-6.06,Wizards,509456,John Wall,PG,49,4.3,"<td class=""width-15 green"" id=""salary-col"">+$2 (4.3%)</td>",2,4.3
34.90,2016-10-25,31.44,-3.46,Trail Blazers,522878,C.J. McCollum,SG,32,-3.0,"<td class=""width-15 red"" id=""salary-col"">-$1 (-3.0%)</td>",-1,-3.0
42.57,2016-10-25,40.39,-2.18,Trail Blazers,463121,Damian Lillard,PG,46,2.2,"<td class=""width-15 green"" id=""salary-col"">+$1 (2.2%)</td>",1,2.2
41.82,2016-04-29,39.46,-2.36,Clippers,229598,Chris Paul,PG,47,2.2,"<td class=""width-15 green"" id=""salary-col"">+$1 (2.2%)</td>",1,2.2
51.55,2016-10-26,38.72,-12.83,Kings,509450,DeMarcus Cousins,PF,52,2.0,"<td class=""width-15 green"" id=""salary-col"">+$1 (2.0%)</td>",1,2.0
11.21,2016-05-08,11.15,-0.06,Hawks,229649,Kris Humphries,PF,10,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
12.42,2016-04-13,10.92,-1.50,Wizards,398590,Marcus Thornton,SG,10,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
