avg_pts,date,fantasy_pts,fpts_diff,nickname,player_id,player_name,pos_main,salary,salary_change,salary_change_html,salary_diff,salary_diff_percentage
8.68,2017-04-05,17.17,+8.49,Lakers,786387,Tyler Ennis,PG,"5,000",56.3,"<td class=""width-15 green"" id=""salary-col"">+$1800 (56.3%)</td>",1800,56.3
31.00,2017-04-05,36.62,+5.62,Lakers,786412,Julius Randle,PF,"7,300",21.7,"<td class=""width-15 green"" id=""salary-col"">+$1300 (21.7%)</td>",1300,21.7
24.41,2017-04-05,29.92,+5.51,Lakers,551975,Jordan Clarkson,PG,"6,200",17.0,"<td class=""width-15 green"" id=""salary-col"">+$900 (17.0%)</td>",900,17.0
13.35,2017-04-04,17.85,+4.50,Kings,920078,Georgios Papagiannis,C,"3,800",15.2,"<td class=""width-15 green"" id=""salary-col"">+$500 (15.2%)</td>",500,15.2
13.16,2017-04-04,16.30,+3.14,Kings,604898,Ben McLemore,SG,"3,800",15.2,"<td class=""width-15 green"" id=""salary-col"">+$500 (15.2%)</td>",500,15.2
18.52,2017-04-05,21.36,+2.84,Suns,607118,Alan Williams,C,"4,800",14.3,"<td class=""width-15 green"" id=""salary-col"">+$600 (14.3%)</td>",600,14.3
14.17,2017-04-05,10.23,-3.94,Grizzlies,786409,Andrew Harrison,PG,"4,000",14.3,"<td class=""width-15 green"" id=""salary-col"">+$500 (14.3%)</td>",500,14.3
17.66,2017-04-04,32.59,+14.93,Kings,699950,Willie Cauley-Stein,PF,"6,700",13.6,"<td class=""width-15 green"" id=""salary-col"">+$800 (13.6%)</td>",800,13.6
13.03,2017-04-05,12.55,-0.48,Grizzlies,329675,Brandan Wright,PF,"3,600",-12.2,"<td class=""width-15 red"" id=""salary-col"">-$500 (-12.2%)</td>",-500,-12.2
19.50,2017-04-05,15.40,-4.10,Raptors,552805,Cory Joseph,PG,"4,600",-11.5,"<td class=""width-15 red"" id=""salary-col"">-$600 (-11.5%)</td>",-600,-11.5
34.21,2017-04-06,33.01,-1.20,Timberwolves,794503,Andrew Wiggins,SF,"6,200",-11.4,"<td class=""width-15 red"" id=""salary-col"">-$800 (-11.4%)</td>",-800,-11.4
12.55,2017-04-06,10.45,-2.10,Timberwolves,698968,Kris Dunn,PG,"3,100",-11.4,"<td class=""width-15 red"" id=""salary-col"">-$400 (-11.4%)</td>",-400,-11.4
22.38,2017-04-05,19.29,-3.09,Thunder,330057,Taj Gibson,PF,"3,900",11.4,"<td class=""width-15 green"" id=""salary-col"">+$400 (11.4%)</td>",400,11.4
36.51,2017-04-04,36.75,+0.24,Jazz,477667,Gordon Hayward,SF,"7,400",10.4,"<td class=""width-15 green"" id=""salary-col"">+$700 (10.4%)</td>",700,10.4
65.89,2017-04-05,72.45,+6.56,Thunder,329830,Russell Westbrook,PG,"14,000",10.2,"<td class=""width-15 green"" id=""salary-col"">+$1300 (10.2%)</td>",1300,10.2
12.89,2017-04-05,18.71,+5.82,Lakers,513057,Thomas Robinson,PF,"4,400",10.0,"<td class=""width-15 green"" id=""salary-col"">+$400 (10.0%)</td>",400,10.0
28.18,2017-04-05,29.75,+1.57,Heat,398037,James Johnson,PF,"6,600",10.0,"<td class=""width-15 green"" id=""salary-col"">+$600 (10.0%)</td>",600,10.0
29.24,2017-04-05,25.19,-4.05,Raptors,456450,Serge Ibaka,PF,"5,400",-10.0,"<td class=""width-15 red"" id=""salary-col"">-$600 (-10.0%)</td>",-600,-10.0
10.63,2017-04-05,13.81,+3.18,Lakers,263217,Corey Brewer,SF,"3,300",10.0,"<td class=""width-15 green"" id=""salary-col"">+$300 (10.0%)</td>",300,10.0
25.26,2017-04-05,25.90,+0.64,Mavericks,295809,Wesley Matthews,SG,"4,600",-9.8,"<td class=""width-15 red"" id=""salary-col"">-$500 (-9.8%)</td>",-500,-9.8
48.88,2017-04-06,43.15,-5.73,Timberwolves,837030,Karl-Anthony Towns,PF,"9,200",-9.8,"<td class=""width-15 red"" id=""salary-col"">-$1000 (-9.8%)</td>",-1000,-9.8
15.29,2017-04-05,10.85,-4.44,Grizzlies,602135,James Ennis,SG,"3,900",-9.3,"<td class=""width-15 red"" id=""salary-col"">-$400 (-9.3%)</td>",-400,-9.3
33.17,2017-04-06,36.80,+3.63,Timberwolves,503689,Ricky Rubio,PG,"6,900",-9.2,"<td class=""width-15 red"" id=""salary-col"">-$700 (-9.2%)</td>",-700,-9.2
17.79,2017-04-04,23.29,+5.50,Jazz,553306,Joe Ingles,SG,"4,800",9.1,"<td class=""width-15 green"" id=""salary-col"">+$400 (9.1%)</td>",400,9.1
28.04,2017-04-05,32.16,+4.12,Grizzlies,3512,Zach Randolph,PF,"6,000",-9.1,"<td class=""width-15 red"" id=""salary-col"">-$600 (-9.1%)</td>",-600,-9.1
27.64,2017-04-05,28.17,+0.53,Mavericks,3234,Dirk Nowitzki,PF,"5,200",-8.8,"<td class=""width-15 red"" id=""salary-col"">-$500 (-8.8%)</td>",-500,-8.8
17.30,2017-04-04,29.56,+12.26,Kings,891349,Skal Labissiere,PF,"5,000",8.7,"<td class=""width-15 green"" id=""salary-col"">+$400 (8.7%)</td>",400,8.7
22.55,2017-04-04,23.64,+1.09,Pelicans,401082,Jordan Crawford,SG,"4,200",-8.7,"<td class=""width-15 red"" id=""salary-col"">-$400 (-8.7%)</td>",-400,-8.7
29.63,2017-04-05,28.56,-1.07,Mavericks,552336,Harrison Barnes,SF,"5,300",-8.6,"<td class=""width-15 red"" id=""salary-col"">-$500 (-8.6%)</td>",-500,-8.6
26.52,2017-04-05,22.79,-3.73,Rockets,401085,Eric Gordon,SG,"5,300",-8.6,"<td class=""width-15 red"" id=""salary-col"">-$500 (-8.6%)</td>",-500,-8.6
12.73,2017-04-05,27.36,+14.63,Spurs,553548,Jonathon Simmons,SG,"3,900",8.3,"<td class=""width-15 green"" id=""salary-col"">+$300 (8.3%)</td>",300,8.3
22.84,2017-04-05,22.39,-0.45,Mavericks,173520,J.J. Barea,PG,"4,500",-8.2,"<td class=""width-15 red"" id=""salary-col"">-$400 (-8.2%)</td>",-400,-8.2
27.59,2017-04-05,29.19,+1.60,Rockets,292401,Lou Williams,PG,"5,700",-8.1,"<td class=""width-15 red"" id=""salary-col"">-$500 (-8.1%)</td>",-500,-8.1
17.40,2017-04-04,20.00,+2.60,Jazz,3501,Joe Johnson,SF,"4,200",7.7,"<td class=""width-15 green"" id=""salary-col"">+$300 (7.7%)</td>",300,7.7
22.88,2017-04-05,21.74,-1.14,Nuggets,411111,Kenneth Faried,PF,"4,800",-7.7,"<td class=""width-15 red"" id=""salary-col"">-$400 (-7.7%)</td>",-400,-7.7
22.43,2017-04-05,15.66,-6.77,Nuggets,877870,Emmanuel Mudiay,PG,"3,800",-7.3,"<td class=""width-15 red"" id=""salary-col"">-$300 (-7.3%)</td>",-300,-7.3
12.53,2017-04-05,5.20,-7.33,Rockets,786399,Troy Williams,SF,"3,800",-7.3,"<td class=""width-15 red"" id=""salary-col"">-$300 (-7.3%)</td>",-300,-7.3
27.08,2017-04-05,25.57,-1.51,Heat,571786,Tyler Johnson,PG,"5,100",-7.3,"<td class=""width-15 red"" id=""salary-col"">-$400 (-7.3%)</td>",-400,-7.3
18.34,2017-04-04,25.66,+7.32,Kings,697086,Buddy Hield,SG,"6,000",7.1,"<td class=""width-15 green"" id=""salary-col"">+$400 (7.1%)</td>",400,7.1
38.52,2017-04-05,35.80,-2.72,Grizzlies,393441,Marc Gasol,C,"7,500",7.1,"<td class=""width-15 green"" id=""salary-col"">+$500 (7.1%)</td>",500,7.1
15.82,2017-04-05,19.04,+3.22,Suns,241712,Jared Dudley,SF,"4,700",6.8,"<td class=""width-15 green"" id=""salary-col"">+$300 (6.8%)</td>",300,6.8
39.60,2017-04-05,37.39,-2.21,Cavaliers,395374,Kevin Love,PF,"7,900",6.8,"<td class=""width-15 green"" id=""salary-col"">+$500 (6.8%)</td>",500,6.8
27.43,2017-04-05,25.79,-1.64,Raptors,599780,Jonas Valanciunas,C,"5,500",-6.8,"<td class=""width-15 red"" id=""salary-col"">-$400 (-6.8%)</td>",-400,-6.8
4.94,2017-04-05,6.03,+1.09,Lakers,3321,Metta World Peace,SF,"3,200",6.7,"<td class=""width-15 green"" id=""salary-col"">+$200 (6.7%)</td>",200,6.7
26.84,2017-04-06,24.84,-2.00,Timberwolves,553158,Gorgui Dieng,PF,"5,700",-6.6,"<td class=""width-15 red"" id=""salary-col"">-$400 (-6.6%)</td>",-400,-6.6
16.22,2017-04-05,33.14,+16.92,Suns,845574,Tyler Ulis,PG,"7,100",-6.6,"<td class=""width-15 red"" id=""salary-col"">-$500 (-6.6%)</td>",-500,-6.6
15.04,2017-04-04,21.05,+6.01,Pelicans,295799,Dante Cunningham,SF,"3,000",-6.3,"<td class=""width-15 red"" id=""salary-col"">-$200 (-6.3%)</td>",-200,-6.3
21.55,2017-04-05,25.15,+3.60,Mavericks,699947,Nerlens Noel,C,"4,500",-6.3,"<td class=""width-15 red"" id=""salary-col"">-$300 (-6.3%)</td>",-300,-6.3
41.17,2017-04-05,38.22,-2.95,Raptors,457594,DeMar DeRozan,SG,"7,800",-6.0,"<td class=""width-15 red"" id=""salary-col"">-$500 (-6.0%)</td>",-500,-6.0
21.95,2017-04-05,24.72,+2.77,Heat,604288,Josh Richardson,SG,"5,700",5.6,"<td class=""width-15 green"" id=""salary-col"">+$300 (5.6%)</td>",300,5.6
28.34,2017-04-05,31.09,+2.75,Thunder,553166,Victor Oladipo,SG,"5,900",5.4,"<td class=""width-15 green"" id=""salary-col"">+$300 (5.4%)</td>",300,5.4
27.17,2017-04-05,26.04,-1.13,Rockets,332691,Patrick Beverley,PG,"5,400",-5.3,"<td class=""width-15 red"" id=""salary-col"">-$300 (-5.3%)</td>",-300,-5.3
42.95,2017-04-05,35.11,-7.84,Raptors,266394,Kyle Lowry,PG,"7,900",5.3,"<td class=""width-15 green"" id=""salary-col"">+$400 (5.3%)</td>",400,5.3
14.80,2017-04-06,12.78,-2.02,Timberwolves,697722,Shabazz Muhammad,SG,"3,700",-5.1,"<td class=""width-15 red"" id=""salary-col"">-$200 (-5.1%)</td>",-200,-5.1
22.59,2017-04-05,32.59,+10.00,Pistons,329873,Ish Smith,PG,"6,200",5.1,"<td class=""width-15 green"" id=""salary-col"">+$300 (5.1%)</td>",300,5.1
37.84,2017-04-05,36.96,-0.88,Grizzlies,329468,Mike Conley,PG,"7,600",-5.0,"<td class=""width-15 red"" id=""salary-col"">-$400 (-5.0%)</td>",-400,-5.0
10.86,2017-04-06,22.82,+11.96,Knicks,618971,Ron Baker,PG,"4,200",5.0,"<td class=""width-15 green"" id=""salary-col"">+$200 (5.0%)</td>",200,5.0
41.05,2017-04-05,37.64,-3.41,Cavaliers,551768,Kyrie Irving,PG,"7,700",-4.9,"<td class=""width-15 red"" id=""salary-col"">-$400 (-4.9%)</td>",-400,-4.9
18.09,2017-04-05,24.88,+6.79,Rockets,168013,Nene Hilario,C,"4,300",4.9,"<td class=""width-15 green"" id=""salary-col"">+$200 (4.9%)</td>",200,4.9
17.58,2017-04-05,18.38,+0.80,Cavaliers,253997,J.R. Smith,SG,"4,400",4.8,"<td class=""width-15 green"" id=""salary-col"">+$200 (4.8%)</td>",200,4.8
18.95,2017-04-05,33.81,+14.86,Spurs,411562,Patty Mills,PG,"4,000",-4.8,"<td class=""width-15 red"" id=""salary-col"">-$200 (-4.8%)</td>",-200,-4.8
30.30,2017-04-05,37.16,+6.86,Lakers,844038,D'Angelo Russell,PG,"6,500",4.8,"<td class=""width-15 green"" id=""salary-col"">+$300 (4.8%)</td>",300,4.8
38.47,2017-04-04,41.83,+3.36,Jazz,739960,Rudy Gobert,C,"8,700",4.8,"<td class=""width-15 green"" id=""salary-col"">+$400 (4.8%)</td>",400,4.8
17.46,2017-04-05,20.98,+3.52,Cavaliers,65871,Channing Frye,PF,"4,600",4.5,"<td class=""width-15 green"" id=""salary-col"">+$200 (4.5%)</td>",200,4.5
21.44,2017-04-05,15.59,-5.85,Grizzlies,460833,JaMychal Green,PF,"4,300",-4.4,"<td class=""width-15 red"" id=""salary-col"">-$200 (-4.4%)</td>",-200,-4.4
28.65,2017-04-05,19.22,-9.43,Nuggets,510790,Mason Plumlee,PF,"4,400",-4.3,"<td class=""width-15 red"" id=""salary-col"">-$200 (-4.3%)</td>",-200,-4.3
25.07,2017-04-04,28.72,+3.65,Kings,295432,Darren Collison,PG,"4,900",4.3,"<td class=""width-15 green"" id=""salary-col"">+$200 (4.3%)</td>",200,4.3
25.94,2017-04-05,31.74,+5.80,Suns,660085,T.J. Warren,SF,"6,800",-4.2,"<td class=""width-15 red"" id=""salary-col"">-$300 (-4.2%)</td>",-300,-4.2
20.45,2017-04-05,26.17,+5.72,Lakers,603640,Larry Nance Jr.,SF,"5,000",4.2,"<td class=""width-15 green"" id=""salary-col"">+$200 (4.2%)</td>",200,4.2
54.13,2017-04-05,56.44,+2.32,Cavaliers,214152,LeBron James,SF,"10,600",3.9,"<td class=""width-15 green"" id=""salary-col"">+$400 (3.9%)</td>",400,3.9
25.36,2017-04-06,35.56,+10.20,Hawks,292396,Ersan Ilyasova,PF,"4,900",-3.9,"<td class=""width-15 red"" id=""salary-col"">-$200 (-3.9%)</td>",-200,-3.9
26.21,2017-04-05,28.68,+2.47,Nuggets,712593,Gary Harris,SG,"5,800",3.6,"<td class=""width-15 green"" id=""salary-col"">+$200 (3.6%)</td>",200,3.6
29.44,2017-04-05,24.83,-4.61,Nuggets,295941,Wilson Chandler,SF,"5,700",-3.4,"<td class=""width-15 red"" id=""salary-col"">-$200 (-3.4%)</td>",-200,-3.4
23.55,2017-04-06,41.46,+17.91,Hawks,551771,Tim Hardaway Jr.,SG,"5,600",-3.4,"<td class=""width-15 red"" id=""salary-col"">-$200 (-3.4%)</td>",-200,-3.4
14.09,2017-04-04,6.65,-7.44,Kings,263229,Arron Afflalo,SF,"3,000",-3.2,"<td class=""width-15 red"" id=""salary-col"">-$100 (-3.2%)</td>",-100,-3.2
60.77,2017-04-05,60.39,-0.38,Rockets,395388,James Harden,PG,"12,100",-3.2,"<td class=""width-15 red"" id=""salary-col"">-$400 (-3.2%)</td>",-400,-3.2
53.26,2017-04-04,59.67,+6.41,Pelicans,603096,Anthony Davis,PF,"10,400",3.0,"<td class=""width-15 green"" id=""salary-col"">+$300 (3.0%)</td>",300,3.0
10.93,2017-04-05,32.60,+21.67,Spurs,697720,Kyle Anderson,SF,"3,600",2.9,"<td class=""width-15 green"" id=""salary-col"">+$100 (2.9%)</td>",100,2.9
