team,odds,overUnder
UTA,6.500,200.500
HOU,-6.500,200.500
BOS,2.000,199.000
DET,-2.000,199.000
DAL,7.500,179.500
ORL,-7.500,179.500
MIA,4.500,198.500
WAS,-4.500,198.500
CHA,-2.000,205.500
NO,2.000,205.500
PHO,-2.000,211.000
PHI,2.000,211.000
MIN,-1.000,200.000
MEM,1.000,200.000
GS,-9.000,218.000
MIL,9.000,218.000
CHI,8.000,203.500
LAC,-8.000,203.500
