overUnder,odds,team
213.000,6.000,WAS
213.000,-6.000,CHA
205.500,7.000,SAC
205.500,-7.000,DET
215.000,-8.500,SA
215.000,8.500,BKN
218.500,-11.000,GS
218.500,11.000,MIA
206.500,7.500,LAC
206.500,-7.500,ATL
226.500,-5.000,HOU
226.500,5.000,MIL
216.000,-10.000,CLE
216.000,10.000,NO
217.500,5.500,NY
217.500,-5.500,IND
203.000,5.000,OKC
203.000,-5.000,UTA
