odds,overUnder,team
-5,214.5,TOR
+5,214.5,PHI
+2,206.5,MEM
-2,206.5,WAS
+5,217.5,POR
-5,217.5,CHA
+9.5,221,NY
-9.5,221,BOS
+5,209.5,ORL
-5,209.5,NO
+6.5,226.5,MIL
-6.5,226.5,HOU
-2,202,ATL
+2,202,DET
+13.5,230,OKC
-13.5,230,GS
+2,214.5,IND
-2,214.5,SAC
