odds,overUnder,team
+12.5,220.5,PHO
-12.5,220.5,CLE
+2.5,198.5,DAL
-2.5,198.5,MIA
-2.5,220,WAS
+2.5,220,NY
+12,219,DEN
-12,219,SA
-1,208,MIN
1,208,LAC
