odds,overUnder,team
-4.500,226.000,IND
4.500,226.000,DEN
2.500,214.500,NO
-2.500,214.500,BKN
3.000,207.500,CHI
-3.000,207.500,NY
14.000,212.000,LAL
-14.000,212.000,SA
-2.000,207.500,DAL
2.000,207.500,PHO
13.500,218.500,DET
-13.500,218.500,GS
