team,odds,overUnder
ATL,1.500,205.500
WAS,-1.500,205.500
CHA,-6.500,203.000
BKN,6.500,203.000
MIA,7.000,202.500
TOR,-7.000,202.500
NY,7.500,209.500
CHI,-7.500,209.500
PHO,2.500,210.500
NO,-2.500,210.500
LAC,-5.500,197.500
MEM,5.500,197.500
POR,-2.500,208.000
DAL,2.500,208.000
SA,-3.500,184.000
UTA,3.500,184.000
GS,-11.500,229.000
LAL,11.500,229.000
