odds,overUnder,team
+12,216,SAC
-12,216,CLE
-4,229,HOU
+4,229,BOS
-3,215.5,MIA
+3,215.5,BKN
-1.5,202.5,ATL
+1.5,202.5,CHI
+10.5,207.5,PHI
-10.5,207.5,MIL
+5,202,TOR
-5,202,MEM
-1.5,216.5,OKC
+1.5,216.5,NO
-10,223.5,GS
+10,223.5,CHA
+4,201.5,NY
-4,201.5,DAL
+8.5,220,LAL
-8.5,220,POR
