odds,team,overUnder
-2.000,MEM,195.500
2.000,SAC,195.500
-1.000,CLE,210.500
1.000,CHA,210.500
3.000,MIL,204.000
-3.000,CHI,204.000
12.500,NY,224.500
-12.500,HOU,224.500
11.500,PHO,207.500
-11.500,UTA,207.500
9.000,LAC,209.500
-9.000,OKC,209.500
