overUnder,odds,team
211.000,5.000,WAS
211.000,-5.000,IND
211.500,3.000,ATL
211.500,-3.000,OKC
196.500,2.500,DET
196.500,-2.500,CHI
213.000,6.000,PHO
213.000,-6.000,MIN
207.000,8.000,DAL
207.000,-8.000,DEN
