team,odds,overUnder
BKN,8.500,218.000
MIA,-8.500,218.000
ORL,9.500,210.500
MIN,-9.500,210.500
DET,6.000,215.000
BOS,-6.000,215.000
CLE,-4.500,208.000
DAL,4.500,208.000
MEM,-3.500,208.500
PHO,3.500,208.500
SAC,-1.500,205.000
PHI,1.500,205.000
