overUnder,odds,team
210.000,-4.000,DEN
210.000,4.000,PHI
212.500,4.000,OKC
212.500,-4.000,ATL
214.500,2.000,CLE
214.500,-2.000,TOR
218.500,-6.500,WAS
218.500,6.500,BKN
196.000,4.500,MEM
196.000,-4.500,NO
212.500,4.000,POR
212.500,-4.000,CHI
203.000,-6.500,SA
203.000,6.500,MIL
218.000,5.500,BOS
218.000,-5.500,HOU
194.000,-3.500,CHA
194.000,3.500,DAL
198.000,-4.500,UTA
198.000,4.500,LAL
224.500,15.000,IND
224.500,-15.000,GS
