"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Alex Len",3200,"Mem@Pho 10:30PM ET",19.583,"Pho"
"PF","Marquese Chriss",3100,"Mem@Pho 10:30PM ET",14.362,"Pho"
"PG","Beno Udrih",3000,"Det@Bos 08:00PM ET",13.278,"Det"
"PG","Ish Smith",3000,"Det@Bos 08:00PM ET",20.255,"Det"
"PG","Demetrius Jackson",3000,"Det@Bos 08:00PM ET",5.000,"Bos"
"PG","Terry Rozier",3000,"Det@Bos 08:00PM ET",13.875,"Bos"
"SG","Darrun Hilliard",3000,"Det@Bos 08:00PM ET",6.413,"Det"
"SG","James Young",3000,"Det@Bos 08:00PM ET",3.893,"Bos"
"SF","Gerald Green",3000,"Det@Bos 08:00PM ET",9.926,"Bos"
"SF","Michael Gbinije",3000,"Det@Bos 08:00PM ET",1.344,"Det"
"PF","Jordan Mickey",3000,"Det@Bos 08:00PM ET",5.750,"Bos"
"PF","Henry Ellenson",3000,"Det@Bos 08:00PM ET",2.964,"Det"
"C","Tyler Zeller",3000,"Det@Bos 08:00PM ET",10.853,"Bos"
"C","Boban Marjanovic",3000,"Det@Bos 08:00PM ET",9.488,"Det"
"PG","Tyus Jones",3000,"Orl@Min 08:00PM ET",8.875,"Min"
"SG","Brandon Rush",3000,"Orl@Min 08:00PM ET",7.938,"Min"
"SG","C.J. Wilcox",3000,"Orl@Min 08:00PM ET",2.609,"Orl"
"SF/PF","Nemanja Bjelica",3000,"Orl@Min 08:00PM ET",12.728,"Min"
"SF","Anthony Brown",3000,"Orl@Min 08:00PM ET",9.886,"Orl"
"SF","Damjan Rudez",3000,"Orl@Min 08:00PM ET",4.633,"Orl"
"SF","Mario Hezonja",3000,"Orl@Min 08:00PM ET",7.150,"Orl"
"PF","Jordan Hill",3000,"Orl@Min 08:00PM ET",5.350,"Min"
"PF","Adreian Payne",3000,"Orl@Min 08:00PM ET",8.295,"Min"
"PF","Stephen Zimmerman Jr.",3000,"Orl@Min 08:00PM ET",4.125,"Orl"
"C","Cole Aldrich",3000,"Orl@Min 08:00PM ET",8.589,"Min"
"C","Nikola Pekovic",3000,"Orl@Min 08:00PM ET",0,"Min"
"PG","Randy Foye",3000,"Bkn@Mia 07:30PM ET",12.684,"Bkn"
"SG/SF","Rodney McGruder",3000,"Bkn@Mia 07:30PM ET",14.051,"Mia"
"SF","Derrick Williams",3000,"Bkn@Mia 07:30PM ET",11.813,"Mia"
"SF","Joe Harris",3000,"Bkn@Mia 07:30PM ET",15.806,"Bkn"
"PF","Chris Bosh",3000,"Bkn@Mia 07:30PM ET",0,"Mia"
"PF","Josh McRoberts",3000,"Bkn@Mia 07:30PM ET",13.523,"Mia"
"PF","Luke Babbitt",3000,"Bkn@Mia 07:30PM ET",9.353,"Mia"
"PF","Quincy Acy",3000,"Bkn@Mia 07:30PM ET",9.266,"Bkn"
"PF","Justise Winslow",3000,"Bkn@Mia 07:30PM ET",25.833,"Mia"
"PF","Chris McCullough",3000,"Bkn@Mia 07:30PM ET",4.981,"Bkn"
"C","Luis Scola",3000,"Bkn@Mia 07:30PM ET",12.463,"Bkn"
"C","Udonis Haslem",3000,"Bkn@Mia 07:30PM ET",5.517,"Mia"
"PG","Kay Felder",3000,"Cle@Dal 08:30PM ET",9.167,"Cle"
"SG","James Jones",3000,"Cle@Dal 08:30PM ET",4.893,"Cle"
"SG","DeAndre Liggins",3000,"Cle@Dal 08:30PM ET",8.388,"Cle"
"SG","Jordan McRae",3000,"Cle@Dal 08:30PM ET",7.425,"Cle"
"SG","Nicolas Brussino",3000,"Cle@Dal 08:30PM ET",5.024,"Dal"
"SF/PF","Richard Jefferson",3000,"Cle@Dal 08:30PM ET",10.261,"Cle"
"C","Chris Andersen",3000,"Cle@Dal 08:30PM ET",7.979,"Cle"
"C","Salah Mejri",3000,"Cle@Dal 08:30PM ET",10.573,"Dal"
"C","A.J. Hammons",3000,"Cle@Dal 08:30PM ET",3.794,"Dal"
"PG","Ronnie Price",3000,"Mem@Pho 10:30PM ET",0,"Pho"
"PG","Tyler Ulis",3000,"Mem@Pho 10:30PM ET",6.542,"Pho"
"PG","Wade Baldwin IV",3000,"Mem@Pho 10:30PM ET",9.402,"Mem"
"SG","Leandro Barbosa",3000,"Mem@Pho 10:30PM ET",10.216,"Pho"
"SG","Troy Daniels",3000,"Mem@Pho 10:30PM ET",13.949,"Mem"
"SG","Troy Williams",3000,"Mem@Pho 10:30PM ET",10.720,"Mem"
"SF/PF","Dragan Bender",3000,"Mem@Pho 10:30PM ET",7.872,"Pho"
"SF","Derrick Jones Jr.",3000,"Mem@Pho 10:30PM ET",1.500,"Pho"
"PF","Jared Dudley",3000,"Mem@Pho 10:30PM ET",16.141,"Pho"
"PF","Jarell Martin",3000,"Mem@Pho 10:30PM ET",9.944,"Mem"
"PF","Deyonta Davis",3000,"Mem@Pho 10:30PM ET",5.677,"Mem"
"C","Brandan Wright",3000,"Mem@Pho 10:30PM ET",0,"Mem"
"C","Alan Williams",3000,"Mem@Pho 10:30PM ET",8.162,"Pho"
