Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,617127060,dfsxpress (1/50),0,328.25,PG Kyrie Irving SG Devin Booker SF Joe Ingles PF LeBron James C Montrezl Harrell F Taj Gibson G Deron Williams UTIL Damian Lillard,,Joe Ingles,73.25%,26.5
1,617127189,dfsxpress (4/50),0,328.25,PG Kyrie Irving SG Devin Booker SF Joe Ingles PF LeBron James C Montrezl Harrell F Taj Gibson G Deron Williams UTIL Damian Lillard,,Paul Millsap,48.68%,46.5
1,617127240,dfsxpress (5/50),0,328.25,PG Kyrie Irving SG Devin Booker SF Joe Ingles PF LeBron James C Montrezl Harrell F Taj Gibson G Deron Williams UTIL Damian Lillard,,LeBron James,46.03%,50.25
1,617127278,dfsxpress (7/50),0,328.25,PG Kyrie Irving SG Devin Booker SF Joe Ingles PF LeBron James C Montrezl Harrell F Taj Gibson G Deron Williams UTIL Damian Lillard,,Russell Westbrook,41.43%,67.5
1,617127622,dfsxpress (11/50),0,328.25,PG Kyrie Irving SG Devin Booker SF Joe Ingles PF LeBron James C Montrezl Harrell F Taj Gibson G Deron Williams UTIL Damian Lillard,,Gordon Hayward,30.63%,46
1,617131610,dfsxpress (17/50),0,328.25,PG Kyrie Irving SG Devin Booker SF Joe Ingles PF LeBron James C Montrezl Harrell F Taj Gibson G Deron Williams UTIL Damian Lillard,,Mason Plumlee,28.84%,27.25
1,617131853,dfsxpress (23/50),0,328.25,PG Kyrie Irving SG Devin Booker SF Joe Ingles PF LeBron James C Montrezl Harrell F Taj Gibson G Deron Williams UTIL Damian Lillard,,DeAndre Liggins,28.31%,12
1,617131931,dfsxpress (26/50),0,328.25,PG Kyrie Irving SG Devin Booker SF Joe Ingles PF LeBron James C Montrezl Harrell F Taj Gibson G Deron Williams UTIL Damian Lillard,,Montrezl Harrell,28.03%,29.75
1,617131945,dfsxpress (27/50),0,328.25,PG Kyrie Irving SG Devin Booker SF Joe Ingles PF LeBron James C Montrezl Harrell F Taj Gibson G Deron Williams UTIL Damian Lillard,,Giannis Antetokounmpo,27.00%,47.75
1,617132245,dfsxpress (32/50),0,328.25,PG Kyrie Irving SG Devin Booker SF Joe Ingles PF LeBron James C Montrezl Harrell F Taj Gibson G Deron Williams UTIL Damian Lillard,,Dennis Schroder,23.64%,32.75
1,617132308,dfsxpress (34/50),0,328.25,PG Kyrie Irving SG Devin Booker SF Joe Ingles PF LeBron James C Montrezl Harrell F Taj Gibson G Deron Williams UTIL Damian Lillard,,Ricky Rubio,21.48%,30.25
