Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,619967341,ChicagoBeers85 (1/10),0,330.25,PG Patty Mills SG Jodie Meeks SF Nicolas Batum PF Paul Millsap C Dewayne Dedmon F Anthony Davis G Giannis Antetokounmpo UTIL Thomas Robinson,,Jodie Meeks,50.30%,21.25
1,619967366,ChicagoBeers85 (2/10),0,330.25,PG Patty Mills SG Jodie Meeks SF Nicolas Batum PF Paul Millsap C Dewayne Dedmon F Anthony Davis G Giannis Antetokounmpo UTIL Thomas Robinson,,Kawhi Leonard,45.69%,43.25
1,619972349,ChicagoBeers85 (3/10),0,330.25,PG Patty Mills SG Jodie Meeks SF Nicolas Batum PF Paul Millsap C Dewayne Dedmon F Anthony Davis G Giannis Antetokounmpo UTIL Thomas Robinson,,Timofey Mozgov,39.25%,12.25
1,619972382,ChicagoBeers85 (4/10),0,330.25,PG Patty Mills SG Jodie Meeks SF Nicolas Batum PF Paul Millsap C Dewayne Dedmon F Anthony Davis G Giannis Antetokounmpo UTIL Thomas Robinson,,Giannis Antetokounmpo,36.55%,63.5
1,619972400,ChicagoBeers85 (5/10),0,330.25,PG Patty Mills SG Jodie Meeks SF Nicolas Batum PF Paul Millsap C Dewayne Dedmon F Anthony Davis G Giannis Antetokounmpo UTIL Thomas Robinson,,Thomas Robinson,35.34%,23.75
1,619982719,ChicagoBeers85 (6/10),0,330.25,PG Patty Mills SG Jodie Meeks SF Nicolas Batum PF Paul Millsap C Dewayne Dedmon F Anthony Davis G Giannis Antetokounmpo UTIL Thomas Robinson,,Paul Millsap,30.98%,39
1,619982738,ChicagoBeers85 (7/10),0,330.25,PG Patty Mills SG Jodie Meeks SF Nicolas Batum PF Paul Millsap C Dewayne Dedmon F Anthony Davis G Giannis Antetokounmpo UTIL Thomas Robinson,,Anthony Davis,28.37%,68
1,619982747,ChicagoBeers85 (8/10),0,330.25,PG Patty Mills SG Jodie Meeks SF Nicolas Batum PF Paul Millsap C Dewayne Dedmon F Anthony Davis G Giannis Antetokounmpo UTIL Thomas Robinson,,David Lee,25.67%,18.25
1,619990951,ChicagoBeers85 (9/10),0,330.25,PG Patty Mills SG Jodie Meeks SF Nicolas Batum PF Paul Millsap C Dewayne Dedmon F Anthony Davis G Giannis Antetokounmpo UTIL Thomas Robinson,,Dewayne Dedmon,21.15%,18.75
1,619990961,ChicagoBeers85 (10/10),0,330.25,PG Patty Mills SG Jodie Meeks SF Nicolas Batum PF Paul Millsap C Dewayne Dedmon F Anthony Davis G Giannis Antetokounmpo UTIL Thomas Robinson,,Damian Lillard,16.88%,40.25
