Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
23,577271278,pjcrz,0,319.75,PG Stephen Curry SG J.R. Smith SF LeBron James PF Luol Deng C Nikola Vucevic F DeMarre Carroll G Kyrie Irving UTIL LaMarcus Aldridge,,Serge Ibaka,7.75%,15.5
23,577272277,Rookie2442,0,319.75,PG Tim Frazier SG Darren Collison SF Wilson Chandler PF LeBron James C Al Horford F Kevin Love G Jamal Murray UTIL Nicolas Batum,,Brook Lopez,7.62%,26.25
31,577041618,oshkoshjeff,0,319.5,PG Darren Collison SG Jordan Clarkson SF Thabo Sefolosha PF Kevin Love C Marc Gasol F LeBron James G Tim Frazier UTIL Joel Embiid,,Eric Bledsoe,7.53%,37.75
32,576690721,DavidCoppafeel,0,318.25,PG José Calderón SG Evan Fournier SF Andrew Wiggins PF LeBron James C Alex Len F DeMarre Carroll G Russell Westbrook UTIL JaMychal Green,,Nicolas Batum,7.44%,27.75
32,577057908,cliassyfp,0,318.25,PG Russell Westbrook SG Evan Fournier SF Andrew Wiggins PF LeBron James C Alex Len F JaMychal Green G José Calderón UTIL DeMarre Carroll,,DeMarre Carroll,7.14%,40.75
34,576782427,ditkadude,0,318,PG Mike Conley SG Victor Oladipo SF Nicolas Batum PF Kevin Love C LaMarcus Aldridge F Zach Randolph G Evan Fournier UTIL Zach LaVine,,Rudy Gay,7.14%,34.75
35,577027241,arod6903,0,317.75,PG José Calderón SG Tony Allen SF LeBron James PF Kevin Love C Marc Gasol F Wilson Chandler G Tim Frazier UTIL DeMar DeRozan,,Blake Griffin,7.05%,32.5
36,576415734,flipmac540,0,317,PG Stephen Curry SG Klay Thompson SF LeBron James PF Kevin Love C Pau Gasol F Larry Nance Jr. G Patty Mills UTIL Jamal Crawford,,Elfrid Payton,6.48%,27.5
37,576853410,Dubbzz,0,316.25,PG Tim Frazier SG Evan Fournier SF Thabo Sefolosha PF JaMychal Green C Alex Len F Draymond Green G Stephen Curry UTIL LeBron James,,Ricky Rubio,6.44%,12.25
37,576996484,Rotobenchot,0,316.25,PG Jordan Clarkson SG Tony Allen SF LeBron James PF DeMarcus Cousins C Alex Len F Thabo Sefolosha G Darren Collison UTIL Kevin Love,,Vince Carter,6.31%,11.5
37,577063037,mpolaa,0,316.25,PG Jordan Clarkson SG Tony Allen SF LeBron James PF DeMarcus Cousins C Alex Len F Thabo Sefolosha G Darren Collison UTIL Kevin Love,,Stephen Curry,6.09%,55.75
37,577128227,thewayofwade,0,316.25,PG Jordan Clarkson SG Tony Allen SF LeBron James PF DeMarcus Cousins C Alex Len F Thabo Sefolosha G Darren Collison UTIL Kevin Love,,Jrue Holiday,6.05%,23.25
41,577268367,spikefork,0,316,PG Kyrie Irving SG Marco Belinelli SF Wilson Chandler PF LeBron James C Kevin Love F Gordon Hayward G Jamal Murray UTIL Tim Frazier,,Marc Gasol,6.01%,48.5
42,577012079,Amywoods,0,315.25,PG José Calderón SG Tony Allen SF Kevin Durant PF Kevin Love C Alex Len F DeMarcus Cousins G Jamal Murray UTIL Al Horford,,Nick Young,5.53%,11.75
42,577137751,dtllerkillers,0,315.25,PG Sean Kilpatrick SG Monta Ellis SF Kevin Durant PF LaMarcus Aldridge C Marreese Speights F LeBron James G Tim Frazier UTIL Wilson Chandler,,José Calderón,5.31%,20.5
42,577209732,Excossack10,0,315.25,PG Mike Conley SG Darren Collison SF Wilson Chandler PF LaMarcus Aldridge C DeMarcus Cousins F Kevin Love G Ty Lawson UTIL JaMychal Green,,Zach Randolph,5.22%,26
45,576630434,sayitaintdan,0,315,PG Stephen Curry SG Victor Oladipo SF LeBron James PF Terrence Jones C Nikola Jokic F Devin Booker G Kentavious Caldwell-Pope UTIL DeMarre Carroll,,Kyle Lowry,5.22%,33.25
46,576964590,Kin3tic,0,314.75,PG Tim Frazier SG Evan Fournier SF LeBron James PF Kevin Durant C Kevin Love F Matt Barnes G Tony Allen UTIL Alex Len,,Evan Fournier,5.22%,40.5
47,576544813,lowen.saunders,0,314,PG Mike Conley SG Darren Collison SF DeMarre Carroll PF LaMarcus Aldridge C Marc Gasol F Kevin Love G Goran Dragic UTIL Brook Lopez,,JaMychal Green,5.13%,28.75
47,576707831,Sptroester426,0,314,PG Danté Exum SG Nick Young SF Gordon Hayward PF LeBron James C Joel Embiid F Paul Millsap G Jamal Murray UTIL Kevin Love,,Trevor Ariza,5.05%,21.5
47,576907455,thefantasykid13,0,314,PG Isaiah Thomas SG DeMar DeRozan SF DeMarre Carroll PF Gorgui Dieng C Kevin Love F Thabo Sefolosha G Mike Conley UTIL Tim Frazier,,Draymond Green,4.83%,36.75
50,576948895,wakecitysuhnami,0,313.5,PG Eric Bledsoe SG Hollis Thompson SF LeBron James PF Kevin Love C Marc Gasol F DeMarre Carroll G Tony Allen UTIL Hassan Whiteside,,Jusuf Nurkic,4.74%,11
51,576599869,PhoneSurgeons,0,313.25,PG Mike Conley SG James Harden SF Larry Nance Jr. PF JaMychal Green C Alex Len F Kevin Love G Evan Fournier UTIL Tristan Thompson,,Lou Williams,4.70%,20.5
51,576893273,studstable,0,313.25,PG Kemba Walker SG Dion Waiters SF DeMarre Carroll PF Frank Kaminsky C Anthony Davis F JaMychal Green G Eric Bledsoe UTIL Al Horford,,Victor Oladipo,4.53%,35
53,576736652,Seb1975,0,313,PG Isaiah Thomas SG Tony Allen SF LeBron James PF DeMarcus Cousins C Nikola Vucevic F Larry Nance Jr. G Andrew Harrison UTIL LaMarcus Aldridge,,Joel Embiid,4.44%,36.75
53,577021035,jfmann0,0,313,PG Tim Frazier SG Zach LaVine SF Trevor Ariza PF Kevin Love C Andre Drummond F LaMarcus Aldridge G Eric Bledsoe UTIL Alex Len,,Devin Booker,4.26%,21.75
53,577134125,Bcorsey,0,313,PG Mike Conley SG Tony Allen SF Wilson Chandler PF LeBron James C Marc Gasol F Gordon Hayward G Tim Frazier UTIL Darren Collison,,Klay Thompson,4.22%,33
56,576425261,WillPower23,0,312.25,PG Elfrid Payton SG Klay Thompson SF LeBron James PF Kevin Love C Alex Len F Serge Ibaka G Danny Green UTIL Jonas Valanciunas,,Anthony Davis,4.00%,68.5
