Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,638421236,jammings,0,351.5,PG Kyle Lowry SG Jimmy Butler SF Jeremy Lamb PF Gorgui Dieng C Jusuf Nurkic F Marcus Smart G Isaiah Thomas UTIL Al Horford,,Jeremy Lamb,66.81%,29
2,638691011,j_ragans,0,348.25,PG Russell Westbrook SG Jeremy Lamb SF Wilson Chandler PF Amir Johnson C Jusuf Nurkic F Marcus Smart G Kyle Lowry UTIL Rudy Gobert,,Jusuf Nurkic,66.38%,32
3,638289156,mthomas2499,0,346,PG Isaiah Thomas SG Jeremy Lamb SF Marcus Smart PF LaMarcus Aldridge C Jusuf Nurkic F Anthony Davis G Kyle Lowry UTIL Jameer Nelson,,Isaiah Thomas,54.15%,50.25
4,638273726,biggiestdoogie,0,340.5,PG Russell Westbrook SG Jeremy Lamb SF Tim Hardaway Jr. PF Kristaps Porzingis C Jusuf Nurkic F Marcus Smart G Isaiah Thomas UTIL Thaddeus Young,,Marcus Smart,53.71%,44.25
5,638445799,loeffler8888,0,339,PG Isaiah Thomas SG Marcus Smart SF Jeremy Lamb PF Thaddeus Young C Jusuf Nurkic F Gorgui Dieng G DeMar DeRozan UTIL Anthony Davis,,Russell Westbrook,35.37%,81.25
6,638572639,winningwyatt,0,332.75,PG Russell Westbrook SG Jeremy Lamb SF Doug McDermott PF Paul Millsap C Rudy Gobert F Marcus Smart G Dennis Schroder UTIL Jusuf Nurkic,,Kristaps Porzingis,28.82%,35
7,638491814,rnrppr1997,0,332.25,PG Russell Westbrook SG Jeremy Lamb SF Jimmy Butler PF Gorgui Dieng C Jusuf Nurkic F Danilo Gallinari G Marcus Smart UTIL Jae Crowder,,Anthony Davis,27.07%,62.25
8,638789553,wvgolf22,0,331,PG Kyle Lowry SG Marcus Smart SF Jeremy Lamb PF Dirk Nowitzki C Jusuf Nurkic F Danilo Gallinari G Isaiah Thomas UTIL Anthony Davis,,Danilo Gallinari,24.02%,25.75
9,638553012,wildflower_67,0,327.5,PG Russell Westbrook SG Marcus Smart SF Jeremy Lamb PF Wilson Chandler C Jusuf Nurkic F Amir Johnson G Isaiah Thomas UTIL Kristaps Porzingis,,Amir Johnson,23.14%,16
10,638612669,Dino1124,0,326.75,PG Isaiah Thomas SG Marcus Smart SF Danilo Gallinari PF Anthony Davis C Jusuf Nurkic F Jeremy Lamb G Buddy Hield UTIL Kyle Lowry,,Al Horford,18.34%,32.25
11,638250531,ifeedurfam,0,326,PG Kyle Lowry SG DeMar DeRozan SF Marcus Smart PF Paul George C Jusuf Nurkic F Jae Crowder G Isaiah Thomas UTIL Lucas Nogueira,,Kawhi Leonard,17.90%,28.5
