Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final
PG,Russell Westbrook,12100,OKC@GS 10:30PM ET,63.866,OKC,0,0,60.286,52.413,59.375,15.967,-15.211,11.000,72.600,230.000,13.500,73.250
PG/SG,James Harden,11700,Mil@Hou 08:00PM ET,60.977,HOU,1,0,68.071,53.240,61.125,15.244,-6.098,8.500,70.200,226.500,-6.500,62.500
PF/C,Anthony Davis,11000,Orl@NO 08:00PM ET,54.891,NO,1,1,55.786,40.514,56.438,0.000,-5499.500,16.500,66.000,209.500,-5.000,47.000
PF/C,DeMarcus Cousins,10600,Ind@Sac 10:30PM ET,52.519,SAC,1,0,50.464,40.156,53.125,13.130,-0.311,23.000,63.600,214.500,-2.000,63.500
PG/SF,Giannis Antetokounmpo,10400,Mil@Hou 08:00PM ET,50.045,MIL,0,0,48.179,40.125,37.375,12.511,-5.005,18.000,62.400,226.500,6.500,62.750
SF,Kevin Durant,9900,OKC@GS 10:30PM ET,49.677,GS,1,0,47.071,41.562,48.938,0.000,-11.591,3.000,59.400,230.000,-13.500,70.000
PG,Stephen Curry,9000,OKC@GS 10:30PM ET,43.335,GS,1,0,45.393,37.080,48.250,0.000,-4.333,25.000,54.000,230.000,-13.500,46.500
PG,Isaiah Thomas,8700,NY@Bos 07:30PM ET,43.250,BOS,1,0,48.000,36.075,46.938,4.325,-4.325,15.000,52.200,221.000,-9.500,49.250
PG,John Wall,8600,Mem@Was 07:00PM ET,48.520,WAS,1,0,52.857,41.208,47.625,0.000,-7.631,7.000,51.600,206.500,-2.000,53.000
PG,Kyle Lowry,8500,Tor@Phi 07:00PM ET,43.538,TOR,0,1,48.750,35.264,41.688,4.354,-4353.622,13.500,51.000,214.500,-5.000,46.000
PF/C,Joel Embiid,8400,Tor@Phi 07:00PM ET,37.893,PHI,1,1,38.357,29.521,44.312,3.789,-3789.145,15.000,50.400,214.500,5.000,45.250
SG,DeMar DeRozan,8300,Tor@Phi 07:00PM ET,42.762,TOR,0,0,45.500,35.350,48.812,0.000,-0.253,17.500,49.800,214.500,-5.000,38.750
PG,Damian Lillard,8200,Por@Cha 07:00PM ET,43.493,POR,0,0,45.429,34.288,37.375,0.000,-0.000,20.000,49.200,217.500,5.000,42.250
SF,Carmelo Anthony,8000,NY@Bos 07:30PM ET,37.213,NY,0,0,31.929,27.726,38.062,3.721,-3.721,20.000,48.000,221.000,9.500,25.500
PF/C,Draymond Green,7900,OKC@GS 10:30PM ET,39.891,GS,1,0,41.643,34.833,43.750,3.989,-3.989,15.500,47.400,230.000,-13.500,40.750
PF,Paul Millsap,7800,Atl@Det 08:00PM ET,38.789,ATL,0,0,36.464,28.050,40.875,3.879,-2.477,12.500,46.800,202.000,-2.000,36.500
PG,Kemba Walker,7700,Por@Cha 07:00PM ET,39.631,CHA,1,0,40.571,32.693,35.625,0.000,-0.000,11.000,46.200,217.500,-5.000,40.500
SF/PF,Paul George,7700,Ind@Sac 10:30PM ET,38.606,IND,0,0,37.036,32.765,33.812,3.861,-0.229,17.000,46.200,214.500,2.000,34.500
C,Andre Drummond,7600,Atl@Det 08:00PM ET,38.643,DET,1,1,36.321,30.076,39.875,0.000,-3866.381,4.000,45.600,202.000,2.000,40.250
PG,Jeff Teague,7600,Ind@Sac 10:30PM ET,35.994,IND,0,0,36.786,27.075,40.125,0.000,-0.213,21.000,45.600,214.500,2.000,51.750
PG,Mike Conley,7500,Mem@Was 07:00PM ET,36.605,MEM,0,0,39.286,28.471,43.062,0.000,-6.048,4.500,45.000,206.500,2.000,31.250
SG/SF,Nicolas Batum,7400,Por@Cha 07:00PM ET,36.224,CHA,1,0,43.786,27.987,32.750,3.622,-0.000,13.000,44.400,217.500,-5.000,38.250
PG/SG,C.J. McCollum,7300,Por@Cha 07:00PM ET,37.238,POR,0,0,39.643,29.062,36.625,3.724,-4.307,20.000,43.800,217.500,5.000,31.000
PG,Jrue Holiday,7300,Orl@NO 08:00PM ET,31.620,NO,1,0,37.286,25.900,26.688,0.000,-3.346,16.000,43.800,209.500,-5.000,38.000
C,Marc Gasol,7200,Mem@Was 07:00PM ET,38.220,MEM,0,0,35.714,29.087,35.875,9.555,-1.643,11.000,43.200,206.500,2.000,42.500
SF/PF,Jabari Parker,7100,Mil@Hou 08:00PM ET,34.644,MIL,0,0,37.250,25.819,35.938,3.464,-3.464,17.500,42.600,226.500,6.500,27.750
PF/C,Enes Kanter,7000,OKC@GS 10:30PM ET,26.227,OKC,0,0,32.071,17.125,37.250,0.000,-2.623,15.000,42.000,230.000,13.500,35.250
PG,Reggie Jackson,7000,Atl@Det 08:00PM ET,28.409,DET,1,0,35.036,21.292,21.625,2.841,-1.814,23.500,42.000,202.000,2.000,37.750
C,Dwight Howard,7000,Atl@Det 08:00PM ET,36.639,ATL,0,1,37.857,26.266,35.875,0.000,-3665.873,5.000,42.000,202.000,-2.000,15.750
SF,Rudy Gay,7000,Ind@Sac 10:30PM ET,35.310,SAC,1,0,34.893,27.517,40.375,0.000,-0.209,11.500,42.000,214.500,-2.000,32.000
C,Myles Turner,7000,Ind@Sac 10:30PM ET,32.846,IND,0,0,31.464,24.961,37.438,0.000,-0.195,13.500,42.000,214.500,2.000,24.250
C,Al Horford,6900,NY@Bos 07:30PM ET,36.331,BOS,1,0,36.107,29.234,34.625,3.633,-3.633,25.000,41.400,221.000,-9.500,33.250
PF,Kristaps Porzingis,6800,NY@Bos 07:30PM ET,36.847,NY,0,1,34.179,27.819,27.625,3.685,-3692.286,26.000,40.800,221.000,9.500,0.000
PF/C,Terrence Jones,6700,Orl@NO 08:00PM ET,23.244,NO,1,0,24.071,14.726,30.938,2.324,-0.676,16.500,40.200,209.500,-5.000,22.250
C,Nikola Vucevic,6600,Orl@NO 08:00PM ET,34.444,ORL,0,0,40.179,26.148,40.250,3.444,-1.002,20.500,39.600,209.500,5.000,26.500
SG,Klay Thompson,6500,OKC@GS 10:30PM ET,32.156,GS,1,0,35.250,25.087,31.562,0.000,-3.216,10.500,39.000,230.000,-13.500,28.500
SF/PF,Tobias Harris,6400,Atl@Det 08:00PM ET,28.395,DET,1,0,32.536,20.438,29.250,0.000,-1.813,20.500,38.400,202.000,2.000,28.750
SG,Bradley Beal,6400,Mem@Was 07:00PM ET,34.403,WAS,1,0,34.893,26.044,37.125,3.440,-6.066,3.000,38.400,206.500,-2.000,20.250
PG,Derrick Rose,6300,NY@Bos 07:30PM ET,30.101,NY,0,0,31.714,23.821,30.375,3.010,-3.010,19.000,37.800,221.000,9.500,57.500
PG,Elfrid Payton,6200,Orl@NO 08:00PM ET,28.686,ORL,0,0,33.464,20.317,37.562,0.000,-0.835,27.000,37.200,209.500,5.000,22.500
SF/PF,Markieff Morris,6100,Mem@Was 07:00PM ET,26.891,WAS,1,0,29.071,20.396,36.625,0.000,-4.614,3.500,36.600,206.500,-2.000,40.000
PG,Dennis Schroder,6000,Atl@Det 08:00PM ET,31.598,ATL,0,0,34.679,23.158,25.938,0.000,-2.018,23.500,36.000,202.000,-2.000,21.000
PF/C,Zach Randolph,6000,Mem@Was 07:00PM ET,28.042,MEM,0,0,30.786,23.113,35.000,2.804,-1.206,16.750,36.000,206.500,2.000,17.250
SG,Avery Bradley,5900,NY@Bos 07:30PM ET,33.458,BOS,1,0,29.429,26.044,29.125,3.346,-6.408,26.500,35.400,221.000,-9.500,0.000
C,Jonas Valanciunas,5900,Tor@Phi 07:00PM ET,27.622,TOR,0,0,22.143,20.212,34.688,2.762,-0.164,26.500,35.400,214.500,-5.000,33.000
SG/SF,Tyreke Evans,5900,Orl@NO 08:00PM ET,21.089,NO,1,0,17.036,13.393,30.375,2.109,-0.614,17.750,35.400,209.500,-5.000,38.000
SF/PF,Otto Porter,5800,Mem@Was 07:00PM ET,29.563,WAS,1,0,28.857,21.227,26.125,0.000,-5.072,3.500,34.800,206.500,-2.000,38.750
PF/C,Serge Ibaka,5800,Orl@NO 08:00PM ET,30.500,ORL,0,0,31.000,22.864,28.625,0.000,-0.887,22.250,34.800,209.500,5.000,33.250
C,Marcin Gortat,5700,Mem@Was 07:00PM ET,31.425,WAS,1,0,31.321,25.443,24.312,0.000,-10.211,1.000,34.200,206.500,-2.000,22.250
SG,Eric Gordon,5700,Mil@Hou 08:00PM ET,28.381,HOU,1,0,28.500,22.095,22.938,0.000,-5.193,15.000,34.200,226.500,-6.500,33.000
C,Greg Monroe,5700,Mil@Hou 08:00PM ET,25.955,MIL,0,0,27.500,16.842,25.062,0.000,-2.595,23.000,34.200,226.500,6.500,10.000
SF,Jae Crowder,5600,NY@Bos 07:30PM ET,26.129,BOS,1,0,26.750,19.357,28.500,0.000,-2.613,11.500,33.600,221.000,-9.500,29.750
