Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PG,Russell Westbrook,12600,OKC@Cha 07:00PM ET,63.700,OKC,0,0,53.857,52.735,52.562,52.250,13.000,75.600,0.202,2.000,208.500
PF/C,DeMarcus Cousins,11500,Mia@Sac 10:30PM ET,52.894,Sac,1,0,61.357,40.786,52.438,51.000,12.250,69.000,0.116,0.000,204.000
SF,LeBron James,10500,Chi@Cle 08:00PM ET,52.292,Cle,1,1,50.821,43.117,55.125,47.750,12.000,63.000,0.181,0.000,204.000
PG,Giannis Antetokounmpo,10400,Mil@NY 07:30PM ET,51.379,Mil,0,0,53.250,42.350,53.500,51.500,14.000,62.400,0.160,0.000,213.000
SF,Kevin Durant,9600,Por@GS 10:30PM ET,49.529,GS,1,0,46.393,40.691,53.000,31.250,18.500,57.600,0.225,0.000,222.500
PG,Chris Paul,9200,Mem@LAC 10:30PM ET,43.927,LAC,1,1,47.679,36.653,43.500,42.500,8.000,55.200,0.148,1.500,197.000
SG/SF,Jimmy Butler,9000,Chi@Cle 08:00PM ET,44.229,Chi,0,0,38.964,35.100,60.312,85.000,27.500,54.000,0.233,4.000,204.000
PF/C,Kevin Love,8800,Chi@Cle 08:00PM ET,42.308,Cle,1,1,44.821,34.406,44.250,33.250,13.750,52.800,0.159,0.000,204.000
PG/SG,C.J. McCollum,8600,Por@GS 10:30PM ET,36.104,Por,0,0,40.714,28.619,43.875,61.750,13.500,51.600,0.093,16.000,222.500
PG,Stephen Curry,8300,Por@GS 10:30PM ET,42.093,GS,1,0,37.571,36.158,34.812,33.250,10.000,49.800,0.187,0.000,222.500
PG,Kemba Walker,8200,OKC@Cha 07:00PM ET,39.897,Cha,1,0,40.143,33.475,45.250,57.750,20.500,49.200,0.170,0.000,208.500
PG,Damian Lillard,8000,Por@GS 10:30PM ET,44.398,Por,0,1,45.250,34.188,40.000,40.250,15.000,48.000,0.387,16.000,222.500
SG/SF,Nicolas Batum,8000,OKC@Cha 07:00PM ET,36.632,Cha,1,0,45.964,28.176,42.250,35.500,9.000,48.000,0.137,0.000,208.500
C,Hassan Whiteside,7900,Mia@Sac 10:30PM ET,42.316,Mia,0,1,33.429,30.109,28.625,26.000,7.500,47.400,0.355,7.500,204.000
PG,Kyrie Irving,7800,Chi@Cle 08:00PM ET,40.069,Cle,1,1,48.464,32.383,52.312,62.750,11.500,46.800,0.266,0.000,204.000
C,Marc Gasol,7800,Mem@LAC 10:30PM ET,38.421,Mem,0,0,41.357,28.078,38.000,41.500,14.000,46.800,0.248,0.000,197.000
PF/C,Blake Griffin,7700,Mem@LAC 10:30PM ET,41.942,LAC,1,1,45.679,35.625,41.750,46.250,1.750,46.200,0.307,1.500,197.000
PF,Paul Millsap,7600,Atl@Orl 07:00PM ET,38.444,Atl,0,0,35.786,26.712,37.812,56.750,11.000,45.600,0.279,0.000,207.000
PF/C,Draymond Green,7500,Por@GS 10:30PM ET,39.689,GS,1,0,39.821,34.211,38.250,49.500,28.500,45.000,0.269,0.000,222.500
C,Dwight Howard,7300,Atl@Orl 07:00PM ET,36.925,Atl,0,0,38.286,24.521,37.312,18.500,18.000,43.800,0.290,0.000,207.000
SF/PF,Jabari Parker,7200,Mil@NY 07:30PM ET,34.000,Mil,0,0,36.464,25.779,41.000,30.500,17.500,43.200,0.186,0.000,213.000
SF,Carmelo Anthony,7100,Mil@NY 07:30PM ET,36.508,NY,1,0,37.321,27.972,29.625,39.750,29.000,42.600,0.305,3.500,213.000
