Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final,NN2,RF2
SF/PF,Markieff Morris,6200,Was@Det 06:00PM ET,27.311,WAS,0,0,28.071,20.396,37.000,0.000,-0.962,8.000,37.200,208.000,1.000,38.750,27.642,30.158
PG,Dennis Schroder,6100,Phi@Atl 07:00PM ET,31.506,ATL,1,0,28.821,23.050,27.500,0.000,-7.087,12.500,36.600,198.500,-10.000,35.750,30.108,26.454
SF/PF,Tobias Harris,6100,Was@Det 06:00PM ET,28.403,DET,1,0,33.107,20.438,28.625,0.000,-1.000,19.750,36.600,208.000,-1.000,36.250,29.386,30.666
SG,Avery Bradley,6000,Por@Bos 05:00PM ET,33.458,BOS,1,1,29.429,26.044,29.125,0.000,-3377.454,9.000,36.000,218.000,-8.000,0.000,29.644,15.337
SF/PF,Otto Porter,6000,Was@Det 06:00PM ET,30.042,WAS,0,0,30.250,21.609,30.062,0.000,-1.058,8.000,36.000,208.000,1.000,28.750,26.794,26.462
PG/SG,Austin Rivers,5900,LAC@Den 09:00PM ET,19.304,LAC,0,0,20.750,11.100,25.375,0.000,1.964,29.000,35.400,222.500,5.000,27.000,25.380,26.793
PF,Ersan Ilyasova,5800,Phi@Atl 07:00PM ET,27.037,PHI,0,0,32.321,19.500,30.625,0.000,-6.082,17.500,34.800,198.500,10.000,33.750,25.399,25.019
SF/PF,Wilson Chandler,5800,LAC@Den 09:00PM ET,30.169,DEN,1,1,29.964,21.289,34.375,0.000,-3013.528,9.500,34.800,222.500,-5.000,28.250,28.238,29.321
PF/C,Zach Randolph,5800,Hou@Mem 08:00PM ET,28.007,MEM,1,0,32.500,22.833,33.312,0.000,0.998,18.750,34.800,215.500,1.500,22.500,27.656,26.304
PF,James Johnson,5800,Mil@Mia 07:30PM ET,25.579,MIA,1,0,29.643,15.906,30.625,0.000,-1.384,19.000,34.800,206.000,-1.500,20.750,27.625,31.883
PG,Raymond Felton,5700,LAC@Den 09:00PM ET,16.435,LAC,0,0,20.714,9.950,25.125,0.000,1.672,29.000,34.200,222.500,5.000,23.250,24.253,19.160
SF,Danilo Gallinari,5700,LAC@Den 09:00PM ET,28.743,DEN,1,1,29.429,23.550,27.750,2.874,-2871.088,15.000,34.200,222.500,-5.000,27.000,27.674,27.334
SF,Marcus Morris,5700,Was@Det 06:00PM ET,24.349,DET,1,0,26.929,17.136,32.438,0.000,-0.857,16.000,34.200,208.000,-1.000,47.750,27.021,27.726
SF,Jae Crowder,5600,Por@Bos 05:00PM ET,26.235,BOS,1,0,26.964,19.357,32.312,0.000,-1.069,23.000,33.600,218.000,-8.000,27.000,27.315,26.337
PF/C,Kenneth Faried,5600,LAC@Den 09:00PM ET,23.878,DEN,1,0,21.393,14.486,28.125,0.000,-0.325,6.500,33.600,222.500,-5.000,24.750,26.940,26.158
C,Marcin Gortat,5600,Was@Det 06:00PM ET,31.196,WAS,0,0,29.571,25.542,24.438,0.000,-4.842,5.000,33.600,208.000,1.000,27.250,24.883,28.204
SF,Robert Covington,5500,Phi@Atl 07:00PM ET,25.046,PHI,0,0,25.643,17.500,25.000,0.000,-5.634,23.000,33.000,198.500,10.000,36.500,23.873,25.802
C,Mason Plumlee,5500,Por@Bos 05:00PM ET,30.478,POR,0,0,31.214,23.250,30.688,0.000,-1.242,20.500,33.000,218.000,8.000,37.750,23.885,19.859
