Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,NN,RF,Final
PG,Malik Beasley,3000,Uta@Den 09:00PM ET,4.333,DEN,1,0,2.714,0.969,4.500,0.000,-390.781,6.500,18.000,211.000,-2.500,2.037,0.984,0.000
SG,Mike Miller,3000,Uta@Den 09:00PM ET,4.938,DEN,1,0,5.800,1.312,4.625,0.000,-445.345,1.000,18.000,211.000,-2.500,2.768,4.223,0.000
SG,Alec Burks,3000,Uta@Den 09:00PM ET,8.325,UTA,0,0,3.375,2.042,13.000,0.000,-1.559,29.000,18.000,211.000,2.500,5.216,9.500,21.000
PF/C,Boris Diaw,3000,Uta@Den 09:00PM ET,11.027,UTA,0,0,10.607,5.989,16.750,0.000,-2.065,13.500,18.000,211.000,2.500,7.413,6.921,22.750
PF,Darrell Arthur,3000,Uta@Den 09:00PM ET,12.118,DEN,1,0,12.000,6.727,20.062,0.000,-1092.889,1.000,18.000,211.000,-2.500,8.583,9.582,31.000
PF,Joel Bolomboy,3000,Uta@Den 09:00PM ET,2.833,UTA,0,0,3.550,1.050,2.812,0.000,-255.501,8.500,18.000,211.000,2.500,0.867,0.280,0.000
PF,Trey Lyles,3000,Uta@Den 09:00PM ET,16.516,UTA,0,0,10.500,9.905,11.562,0.000,-1489.533,8.500,18.000,211.000,2.500,10.967,10.457,13.250
C,Jeff Withey,3000,Uta@Den 09:00PM ET,7.380,UTA,0,0,9.714,3.058,2.125,0.000,-5.366,18.500,18.000,211.000,2.500,4.484,5.995,0.000
C,Jusuf Nurkic,3000,Uta@Den 09:00PM ET,20.566,DEN,1,0,14.571,11.562,10.625,0.000,-1854.792,1.000,18.000,211.000,-2.500,12.940,15.043,7.500
PG/SG,Tomas Satoransky,3000,Bos@Was 07:00PM ET,9.545,WAS,1,0,9.107,4.250,12.562,0.000,-7.035,17.500,18.000,217.000,1.000,6.014,10.829,4.750
PG,Trey Burke,3000,Bos@Was 07:00PM ET,8.500,WAS,1,0,12.571,4.477,9.688,0.000,0.595,22.000,18.000,217.000,1.000,5.053,6.394,12.500
PG,Demetrius Jackson,3000,Bos@Was 07:00PM ET,5.000,BOS,0,1,2.375,1.583,5.000,0.000,-499.600,3.000,18.000,217.000,-1.000,2.645,0.783,0.000
