Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final
PG/SG,James Harden,12200,Hou@Mia 07:30PM ET,60.593,HOU,0,0,58.143,53.240,61.688,0.000,-6.059,8.000,73.200,221.500,-8.000,77.500
PF/C,Karl-Anthony Towns,9300,Min@SA 08:30PM ET,45.677,MIN,0,0,44.143,38.390,55.312,0.000,-14.665,2.000,55.800,200.000,12.000,49.000
SG/SF,Jimmy Butler,9100,Dal@Chi 08:00PM ET,44.256,CHI,1,0,53.643,34.739,45.125,0.000,-9.072,5.000,54.600,197.000,-6.000,55.250
SF,Kawhi Leonard,8800,Min@SA 08:30PM ET,41.789,SA,1,0,41.214,32.417,43.438,0.000,-12.372,4.000,52.800,200.000,-12.000,52.750
PG,Kyle Lowry,8600,Tor@Bkn 07:30PM ET,43.538,TOR,0,0,48.750,35.264,41.688,0.000,-100.354,29.000,51.600,227.500,-11.500,0.000
SG,DeMar DeRozan,8500,Tor@Bkn 07:30PM ET,42.313,TOR,0,0,42.536,35.350,46.125,0.000,-4.231,30.000,51.000,227.500,-11.500,60.750
C,Hassan Whiteside,8400,Hou@Mia 07:30PM ET,42.385,MIA,1,0,46.857,30.653,38.875,0.000,-4.239,23.000,50.400,221.500,8.000,37.750
C,Nikola Jokic,8100,Den@LAL 10:30PM ET,32.250,DEN,0,0,38.786,21.145,46.875,0.000,-0.000,29.000,48.600,230.500,-1.000,56.250
PF/C,Julius Randle,7200,Den@LAL 10:30PM ET,31.663,LAL,1,0,34.500,22.263,23.875,0.000,-3.515,12.500,43.200,230.500,1.000,25.750
PG,D'Angelo Russell,7000,Den@LAL 10:30PM ET,29.633,LAL,1,0,38.179,22.472,25.875,0.000,-0.000,30.000,42.000,230.500,1.000,14.000
PG,Goran Dragic,6800,Hou@Mia 07:30PM ET,34.758,MIA,1,0,40.643,27.566,30.625,0.000,-3.476,12.000,40.800,221.500,8.000,42.500
SF/PF,Wilson Chandler,6700,Den@LAL 10:30PM ET,30.097,DEN,0,0,26.071,20.806,33.062,0.000,-0.000,27.500,40.200,230.500,-1.000,30.000
PF/C,LaMarcus Aldridge,6600,Min@SA 08:30PM ET,32.479,SA,1,0,34.464,24.650,29.312,0.000,-8.936,9.750,39.600,200.000,-12.000,42.000
SG,Dwyane Wade,6500,Dal@Chi 08:00PM ET,33.338,CHI,1,1,33.571,26.153,37.375,0.000,-3336.300,4.500,39.000,197.000,-6.000,26.250
SF/PF,Harrison Barnes,6400,Dal@Chi 08:00PM ET,31.800,DAL,0,0,35.214,24.611,31.938,0.000,-5.308,15.750,38.400,197.000,6.000,26.500
C,Brook Lopez,6300,Tor@Bkn 07:30PM ET,34.583,BKN,1,1,33.214,27.500,34.062,0.000,-3461.412,8.000,37.800,227.500,11.500,43.500
C,Jonas Valanciunas,6200,Tor@Bkn 07:30PM ET,27.809,TOR,0,0,23.036,20.575,33.500,0.000,-2.781,30.000,37.200,227.500,-11.500,20.500
PF/C,Dirk Nowitzki,6100,Dal@Chi 08:00PM ET,25.033,DAL,0,0,25.179,18.833,32.000,0.000,-2.128,14.750,36.600,197.000,6.000,29.000
PF,James Johnson,6100,Hou@Mia 07:30PM ET,25.347,MIA,1,0,28.929,15.667,32.188,0.000,-2.535,12.500,36.600,221.500,8.000,38.000
SG,Zach LaVine,6000,Min@SA 08:30PM ET,31.421,MIN,0,0,29.143,23.292,26.562,0.000,-5.375,22.000,36.000,200.000,12.000,26.500
SF,Andrew Wiggins,6000,Min@SA 08:30PM ET,32.378,MIN,0,0,35.607,23.132,30.125,0.000,-10.395,2.000,36.000,200.000,12.000,18.750
SF,Danilo Gallinari,6000,Den@LAL 10:30PM ET,28.660,DEN,0,0,30.750,23.550,25.000,0.000,-99.000,28.000,36.000,230.500,-1.000,31.750
PG,Deron Williams,5900,Dal@Chi 08:00PM ET,28.617,DAL,0,0,32.964,20.554,32.312,0.000,-2.432,9.000,35.400,197.000,6.000,32.500
PG,Ricky Rubio,5900,Min@SA 08:30PM ET,27.625,MIN,0,0,30.250,20.560,43.062,0.000,-8.179,4.000,35.400,200.000,12.000,48.500
SG,Eric Gordon,5800,Hou@Mia 07:30PM ET,28.811,HOU,0,0,32.536,22.663,27.812,0.000,-2.881,8.000,34.800,221.500,-8.000,10.750
PF/C,Taj Gibson,5700,Dal@Chi 08:00PM ET,25.488,CHI,1,0,21.607,19.938,30.812,0.000,-2.166,9.750,34.200,197.000,-6.000,0.000
C,Pau Gasol,5700,Min@SA 08:30PM ET,29.171,SA,1,0,28.393,21.988,27.062,0.000,-7.891,12.500,34.200,200.000,-12.000,10.250
PG,Tyler Johnson,5600,Hou@Mia 07:30PM ET,28.395,MIA,1,0,29.393,22.038,29.312,0.000,-2.840,12.000,33.600,221.500,8.000,29.500
SF,Trevor Ariza,5600,Hou@Mia 07:30PM ET,28.244,HOU,0,0,26.429,21.886,30.062,0.000,-2.824,10.000,33.600,221.500,-8.000,23.500
SG/SF,Will Barton,5600,Den@LAL 10:30PM ET,25.398,DEN,0,0,28.714,16.635,23.188,0.000,-0.000,23.000,33.600,230.500,-1.000,45.000
