Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
SF,Rudy Gay,6000,LAC@Sac 10:30PM ET,34.740,Sac,1,1,29.000,26.542,28.125,31.750,20.000,36.000,0.451,2.500,212.500
SF,Trevor Ariza,5900,Hou@Orl 07:00PM ET,27.953,Hou,0,0,24.429,21.181,32.375,20.250,23.000,35.400,0.175,0.000,224.000
C,Greg Monroe,5800,NY@Mil 08:00PM ET,25.235,Mil,1,0,27.536,16.485,30.125,41.750,21.500,34.800,0.193,0.000,213.500
PF/C,Gorgui Dieng,5800,Min@Was 07:00PM ET,27.364,Min,0,0,27.179,20.188,29.188,28.500,16.250,34.800,0.190,5.000,211.500
SG/SF,Evan Fournier,5800,Hou@Orl 07:00PM ET,28.430,Orl,1,0,32.500,20.350,29.125,18.750,25.500,34.800,0.244,5.000,224.000
SG,Eric Gordon,5800,Hou@Orl 07:00PM ET,28.919,Hou,0,0,31.893,23.000,32.938,34.750,24.500,34.800,0.233,0.000,224.000
PG,Tyler Johnson,5800,Mia@LAL 10:30PM ET,28.287,Mia,0,0,32.786,21.708,35.250,39.500,28.000,34.800,0.224,2.500,213.500
PG/SG,Malcolm Brogdon,5700,NY@Mil 08:00PM ET,19.265,Mil,1,0,21.250,12.618,31.375,31.500,19.250,34.200,0.063,0.000,213.500
PF,Trevor Booker,5700,Cle@Bkn 07:30PM ET,28.633,Bkn,1,0,31.107,20.422,30.438,23.500,14.000,34.200,0.279,13.000,221.000
PF,James Johnson,5700,Mia@LAL 10:30PM ET,24.555,Mia,0,0,29.643,15.667,33.125,36.000,26.000,34.200,0.172,2.500,213.500
PF,Ryan Anderson,5600,Hou@Orl 07:00PM ET,24.500,Hou,0,0,35.214,17.784,22.562,19.500,11.000,33.600,0.177,0.000,224.000
SF,Josh Richardson,5600,Mia@LAL 10:30PM ET,22.944,Mia,0,0,28.321,15.875,33.562,28.000,28.000,33.600,0.146,2.500,213.500
PG,T.J. McConnell,5500,Phi@Bos 07:30PM ET,17.220,Phi,0,0,21.821,12.137,22.188,29.750,24.000,33.000,0.033,11.000,212.500
C,Joakim Noah,5500,NY@Mil 08:00PM ET,23.089,NY,0,0,24.357,14.676,30.000,33.000,13.000,33.000,0.183,5.000,213.500
PF/C,Zach Randolph,5500,Mem@GS 10:30PM ET,26.395,Mem,0,0,25.714,21.518,25.250,15.750,15.750,33.000,0.156,14.000,216.000
PG,Ricky Rubio,5500,Min@Was 07:00PM ET,25.792,Min,0,0,30.607,19.397,26.375,19.250,3.000,33.000,0.205,5.000,211.500
PF/C,Montrezl Harrell,5500,Hou@Orl 07:00PM ET,16.920,Hou,0,0,18.714,7.768,28.938,22.000,14.500,33.000,0.076,0.000,224.000
PG,Patrick Beverley,5400,Hou@Orl 07:00PM ET,27.848,Hou,0,0,28.464,21.325,29.625,30.500,17.000,32.400,0.284,0.000,224.000
SG/SF,Robert Covington,5300,Phi@Bos 07:30PM ET,24.317,Phi,0,1,26.429,15.786,27.188,39.500,13.000,31.800,0.238,11.000,212.500
SG,Sean Kilpatrick,5300,Cle@Bkn 07:30PM ET,26.221,Bkn,1,0,29.607,17.417,22.938,34.500,28.000,31.800,0.314,13.000,221.000
PG,Austin Rivers,5300,LAC@Sac 10:30PM ET,18.223,LAC,0,0,21.179,10.697,25.375,46.500,19.000,31.800,0.087,0.000,212.500
SF,Jae Crowder,5200,Phi@Bos 07:30PM ET,26.380,Bos,1,0,23.857,20.045,27.500,30.750,18.500,31.200,0.240,0.000,212.500
SG/SF,J.J. Redick,5200,LAC@Sac 10:30PM ET,21.157,LAC,0,0,19.393,14.103,18.438,26.250,18.500,31.200,0.125,0.000,212.500
PG,Jeremy Lin,5100,Cle@Bkn 07:30PM ET,30.146,Bkn,1,1,33.250,25.472,29.125,26.500,23.000,30.600,0.480,13.000,221.000
PF,JaMychal Green,5000,Mem@GS 10:30PM ET,23.459,Mem,0,1,23.250,15.618,25.812,12.500,10.000,30.000,0.227,14.000,216.000
SF/PF,Markieff Morris,4900,Min@Was 07:00PM ET,25.386,Was,1,0,28.821,19.000,21.750,19.750,6.750,29.400,0.339,0.000,211.500
SF/PF,Aaron Gordon,4900,Hou@Orl 07:00PM ET,21.919,Orl,1,0,26.286,15.100,27.250,32.000,19.750,29.400,0.213,5.000,224.000
C,Clint Capela,4900,Hou@Orl 07:00PM ET,26.804,Hou,0,1,24.286,20.607,20.062,14.500,18.000,29.400,0.362,0.000,224.000
SG,Jamal Crawford,4900,LAC@Sac 10:30PM ET,19.875,LAC,0,0,13.821,13.455,23.312,31.250,22.000,29.400,0.146,0.000,212.500
SG,Lou Williams,4800,Mia@LAL 10:30PM ET,28.186,LAL,1,0,26.500,20.013,15.188,15.750,3.000,28.800,0.475,0.000,213.500
SG,Tony Allen,4700,Mem@GS 10:30PM ET,22.234,Mem,0,0,20.071,15.891,21.062,25.000,12.000,28.200,0.236,14.000,216.000
PG/SG,Raymond Felton,4700,LAC@Sac 10:30PM ET,15.229,LAC,0,0,20.214,9.352,32.438,32.000,20.500,28.200,0.097,0.000,212.500
SG,Jordan McRae,4600,Cle@Bkn 07:30PM ET,9.364,Cle,0,0,12.542,3.773,20.375,31.250,30.000,27.600,0.021,0.000,221.000
SG,Nick Young,4600,Mia@LAL 10:30PM ET,22.164,LAL,1,0,24.179,14.661,26.250,18.500,3.000,27.600,0.270,0.000,213.500
SF/PF,Dario Saric,4500,Phi@Bos 07:30PM ET,20.674,Phi,0,0,23.357,12.969,27.188,22.750,18.000,27.000,0.254,11.000,212.500
C,Tristan Thompson,4500,Cle@Bkn 07:30PM ET,23.846,Cle,0,0,25.464,18.100,19.188,18.250,29.500,27.000,0.356,0.000,221.000
PG,Darren Collison,4500,LAC@Sac 10:30PM ET,22.917,Sac,1,0,21.821,16.917,24.188,19.000,2.000,27.000,0.273,2.500,212.500
PG,Sergio Rodriguez,4400,Phi@Bos 07:30PM ET,24.125,Phi,0,1,22.321,15.950,24.312,7.500,24.000,26.400,0.409,11.000,212.500
SG/SF,Marcus Smart,4400,Phi@Bos 07:30PM ET,23.617,Bos,1,0,20.000,18.485,22.000,15.750,19.750,26.400,0.350,0.000,212.500
C,Jahlil Okafor,4400,Phi@Bos 07:30PM ET,20.652,Phi,0,0,17.536,12.068,13.875,8.500,21.500,26.400,0.238,11.000,212.500
SF/PF,Matt Barnes,4400,LAC@Sac 10:30PM ET,19.492,Sac,1,0,19.036,12.816,26.688,29.250,14.500,26.400,0.238,2.500,212.500
PG/SG,Jordan Clarkson,4400,Mia@LAL 10:30PM ET,23.615,LAL,1,0,19.036,16.097,22.125,32.250,5.000,26.400,0.374,0.000,213.500
PF/C,Channing Frye,4300,Cle@Bkn 07:30PM ET,16.954,Cle,0,0,14.357,10.964,16.438,24.750,29.750,25.800,0.127,0.000,221.000
PG,Andrew Harrison,4200,Mem@GS 10:30PM ET,18.466,Mem,0,0,22.429,11.964,18.875,24.250,15.000,25.200,0.226,14.000,216.000
SG/SF,Bojan Bogdanovic,4200,Cle@Bkn 07:30PM ET,20.956,Bkn,1,0,23.964,15.412,14.062,7.250,27.500,25.200,0.310,13.000,221.000
SF,Luol Deng,4200,Mia@LAL 10:30PM ET,20.467,LAL,1,0,23.357,13.511,16.125,19.500,8.000,25.200,0.309,0.000,213.500
C,Willie Reed,4200,Mia@LAL 10:30PM ET,12.293,Mia,0,0,23.464,7.300,24.250,16.500,29.500,25.200,0.116,2.500,213.500
SG,Dion Waiters,4100,Mia@LAL 10:30PM ET,25.794,Mia,0,0,25.464,14.375,24.750,5.250,19.500,24.600,0.538,2.500,213.500
PG,Ty Lawson,4000,LAC@Sac 10:30PM ET,19.809,Sac,1,0,22.107,11.667,17.188,24.500,2.000,24.000,0.319,2.500,212.500
PF/C,Marreese Speights,4000,LAC@Sac 10:30PM ET,19.145,LAC,0,0,22.071,13.375,22.250,15.500,15.750,24.000,0.281,0.000,212.500
PF,Justise Winslow,4000,Mia@LAL 10:30PM ET,25.833,Mia,0,1,24.143,20.250,23.875,32.750,26.000,24.000,0.574,2.500,213.500
C,Nerlens Noel,3900,Phi@Bos 07:30PM ET,11.938,Phi,0,0,13.250,9.100,13.312,11.250,21.500,23.400,0.036,11.000,212.500
PG/SG,Brandon Jennings,3900,NY@Mil 08:00PM ET,20.971,NY,0,0,25.857,14.592,24.312,9.500,10.500,23.400,0.400,5.000,213.500
SG,Courtney Lee,3900,NY@Mil 08:00PM ET,19.175,NY,0,0,18.179,13.462,21.188,23.500,16.000,23.400,0.258,5.000,213.500
SG/SF,Nik Stauskas,3800,Phi@Bos 07:30PM ET,17.161,Phi,0,0,18.929,11.018,16.438,15.250,13.000,22.800,0.212,11.000,212.500
PF/C,Amir Johnson,3800,Phi@Bos 07:30PM ET,16.950,Bos,1,0,20.107,9.647,18.750,20.750,16.000,22.800,0.263,0.000,212.500
SF,James Ennis III,3800,Mem@GS 10:30PM ET,17.594,Mem,0,0,15.893,11.404,13.375,26.500,9.500,22.800,0.261,14.000,216.000
PG/SG,Garrett Temple,3800,LAC@Sac 10:30PM ET,17.329,Sac,1,0,17.143,11.618,21.688,23.500,4.250,22.800,0.245,2.500,212.500
PF,Richaun Holmes,3700,Phi@Bos 07:30PM ET,16.393,Phi,0,1,17.107,7.667,16.438,10.750,23.000,22.200,0.251,11.000,212.500
PG/SG,Justin Holiday,3700,NY@Mil 08:00PM ET,15.421,NY,0,0,23.107,10.091,19.125,11.750,10.500,22.200,0.216,5.000,213.500
PG/SG,Matthew Dellavedova,3700,NY@Mil 08:00PM ET,20.517,Mil,1,0,20.000,15.397,18.188,17.000,19.250,22.200,0.408,0.000,213.500
PG,Kay Felder,3700,Cle@Bkn 07:30PM ET,11.456,Cle,0,0,14.393,4.778,18.812,16.750,30.000,22.200,0.106,0.000,221.000
SF,Rondae Hollis-Jefferson,3700,Cle@Bkn 07:30PM ET,19.308,Bkn,1,1,17.571,13.132,18.312,13.250,27.000,22.200,0.377,13.000,221.000
SG,Jodie Meeks,3700,Hou@Orl 07:00PM ET,16.603,Orl,1,0,15.393,9.000,21.000,16.000,27.000,22.200,0.272,5.000,224.000
SF/PF,Anthony Tolliver,3700,LAC@Sac 10:30PM ET,12.815,Sac,1,0,14.929,6.385,18.375,20.750,14.500,22.200,0.155,2.500,212.500
SG/SF,Wayne Ellington,3700,Mia@LAL 10:30PM ET,19.824,Mia,0,0,18.464,15.341,21.000,19.000,23.750,22.200,0.383,2.500,213.500
PF/C,Kyle O'Quinn,3600,NY@Mil 08:00PM ET,17.205,NY,0,0,20.607,9.684,11.188,12.000,15.000,21.600,0.353,5.000,213.500
PG,Shaun Livingston,3600,Mem@GS 10:30PM ET,11.050,GS,1,0,12.714,7.806,11.812,14.500,8.000,21.600,0.010,0.000,216.000
PG/SG,Iman Shumpert,3600,Cle@Bkn 07:30PM ET,15.508,Cle,0,0,15.536,11.069,11.750,10.250,30.000,21.600,0.158,0.000,221.000
C,Bismack Biyombo,3600,Hou@Orl 07:00PM ET,20.667,Orl,1,0,20.929,14.579,12.250,5.500,26.000,21.600,0.453,5.000,224.000
SF,Andre Iguodala,3500,Mem@GS 10:30PM ET,17.529,GS,1,0,17.607,12.676,18.188,25.750,5.000,21.000,0.271,0.000,216.000
PG,Isaiah Whitehead,3500,Cle@Bkn 07:30PM ET,15.731,Bkn,1,0,19.607,10.911,15.312,13.000,23.000,21.000,0.206,13.000,221.000
SG,J.R. Smith,3500,Cle@Bkn 07:30PM ET,17.321,Cle,0,1,13.429,11.300,19.688,8.250,30.000,21.000,0.317,0.000,221.000
SF/PF,Richard Jefferson,3500,Cle@Bkn 07:30PM ET,10.684,Cle,0,0,7.929,6.776,15.688,9.250,30.000,21.000,0.051,0.000,221.000
PF/C,Justin Hamilton,3500,Cle@Bkn 07:30PM ET,16.043,Bkn,1,0,10.607,9.268,19.312,32.000,10.000,21.000,0.285,13.000,221.000
SG/SF,Kelly Oubre Jr.,3500,Min@Was 07:00PM ET,12.820,Was,1,0,18.393,6.889,9.562,15.750,5.500,21.000,0.181,0.000,211.500
C,Nene Hilario,3500,Hou@Orl 07:00PM ET,15.031,Hou,0,0,15.286,9.422,14.688,25.250,18.000,21.000,0.184,0.000,224.000
C,Kosta Koufos,3500,LAC@Sac 10:30PM ET,16.007,Sac,1,0,14.429,9.861,20.062,17.500,14.000,21.000,0.279,2.500,212.500
SF/PF,Larry Nance Jr.,3500,Mia@LAL 10:30PM ET,19.214,LAL,1,0,21.929,12.214,21.000,21.500,7.750,21.000,0.414,0.000,213.500
PF/C,Kelly Olynyk,3400,Phi@Bos 07:30PM ET,17.853,Bos,1,0,17.143,10.019,16.312,23.750,16.000,20.400,0.382,0.000,212.500
C,John Henson,3400,NY@Mil 08:00PM ET,18.453,Mil,1,0,22.036,10.922,11.062,4.500,21.500,20.400,0.419,0.000,213.500
SG/SF,Vince Carter,3400,Mem@GS 10:30PM ET,18.234,Mem,0,0,16.000,13.500,22.500,26.250,10.750,20.400,0.380,14.000,216.000
SF,Chandler Parsons,3400,Mem@GS 10:30PM ET,11.188,Mem,0,1,9.786,6.667,7.875,6.000,9.500,20.400,0.069,14.000,216.000
C,Zaza Pachulia,3400,Mem@GS 10:30PM ET,17.313,GS,1,0,17.464,11.987,18.625,25.750,1.000,20.400,0.360,0.000,216.000
C,Cole Aldrich,3400,Min@Was 07:00PM ET,10.024,Min,0,0,15.143,5.109,6.375,6.000,7.500,20.400,0.090,5.000,211.500
SF/PF,Sam Dekker,3400,Hou@Orl 07:00PM ET,15.446,Hou,0,0,18.071,10.417,12.062,15.500,17.000,20.400,0.245,0.000,224.000
SF/PF,Luc Richard Mbah a Moute,3400,LAC@Sac 10:30PM ET,13.701,LAC,0,0,14.536,9.443,14.312,19.500,19.500,20.400,0.149,0.000,212.500
SG/SF,Tony Snell,3300,NY@Mil 08:00PM ET,16.470,Mil,1,0,14.964,11.125,8.375,7.750,19.750,19.800,0.319,0.000,213.500
PG,Tomas Satoransky,3300,Min@Was 07:00PM ET,8.826,Was,1,0,7.107,3.865,3.125,3.000,22.000,19.800,0.078,0.000,211.500
SG/SF,Shabazz Muhammad,3300,Min@Was 07:00PM ET,12.148,Min,0,0,13.429,7.059,17.875,17.750,12.000,19.800,0.115,5.000,211.500
SF,Omri Casspi,3300,LAC@Sac 10:30PM ET,13.813,Sac,1,0,13.417,7.361,9.625,9.750,20.000,19.800,0.203,2.500,212.500
C,Timofey Mozgov,3300,Mia@LAL 10:30PM ET,16.382,LAL,1,0,16.464,11.545,14.188,13.250,17.000,19.800,0.314,0.000,213.500
SG,Gerald Henderson,3200,Phi@Bos 07:30PM ET,16.750,Phi,0,1,9.286,9.404,16.875,10.000,13.000,19.200,0.374,11.000,212.500
SF/PF,Lance Thomas,3200,NY@Mil 08:00PM ET,9.167,NY,0,0,7.321,5.365,14.812,21.500,23.000,19.200,0.040,5.000,213.500
SF/PF,Michael Beasley,3200,NY@Mil 08:00PM ET,15.143,Mil,1,0,17.750,8.607,14.562,9.000,17.500,19.200,0.307,0.000,213.500
SG,Joe Harris,3200,Cle@Bkn 07:30PM ET,16.578,Bkn,1,0,15.750,11.681,9.125,19.500,28.000,19.200,0.360,13.000,221.000
PG,Kris Dunn,3200,Min@Was 07:00PM ET,12.964,Min,0,0,10.929,7.588,12.125,6.500,3.000,19.200,0.209,5.000,211.500
PG,D.J. Augustin,3200,Hou@Orl 07:00PM ET,15.953,Orl,1,0,16.536,11.262,11.250,11.000,11.500,19.200,0.297,5.000,224.000
SF/PF,Jeff Green,3200,Hou@Orl 07:00PM ET,16.167,Orl,1,0,11.571,9.486,16.125,15.250,19.750,19.200,0.351,5.000,224.000
SF,Brandon Ingram,3200,Mia@LAL 10:30PM ET,16.622,LAL,1,0,13.893,12.024,14.625,19.500,8.000,19.200,0.348,0.000,213.500
SF,Mindaugas Kuzminskas,3100,NY@Mil 08:00PM ET,9.336,NY,0,0,7.429,4.656,15.438,28.000,29.000,18.600,0.092,5.000,213.500
SG,Troy Daniels,3100,Mem@GS 10:30PM ET,15.398,Mem,0,0,14.429,7.578,19.625,15.000,12.000,18.600,0.394,14.000,216.000
SG,Arron Afflalo,3100,LAC@Sac 10:30PM ET,13.054,Sac,1,0,13.250,6.354,16.312,17.750,6.500,18.600,0.211,2.500,212.500
SG/SF,Rodney McGruder,3100,Mia@LAL 10:30PM ET,14.470,Mia,0,0,16.714,7.732,15.938,15.500,23.750,18.600,0.278,2.500,213.500
PF,Thomas Robinson,3100,Mia@LAL 10:30PM ET,12.106,LAL,1,0,14.857,4.673,17.875,19.250,7.500,18.600,0.235,0.000,213.500
PG,Jerryd Bayless,3000,Phi@Bos 07:30PM ET,21.333,Phi,0,1,0.000,15.750,21.333,18.500,24.000,18.000,0.635,11.000,212.500
PG,Demetrius Jackson,3000,Phi@Bos 07:30PM ET,5.000,Bos,1,0,7.625,1.583,5.000,2.750,17.000,18.000,0.082,0.000,212.500
PG,Terry Rozier,3000,Phi@Bos 07:30PM ET,14.371,Bos,1,0,13.143,9.083,6.375,12.250,17.000,18.000,0.312,0.000,212.500
PG,Ben Simmons,3000,Phi@Bos 07:30PM ET,0.000,Phi,0,1,0.000,0.000,0.000,0.000,24.000,18.000,,11.000,212.500
SG,Gerald Green,3000,Phi@Bos 07:30PM ET,10.412,Bos,1,0,12.643,5.400,16.750,4.750,21.000,18.000,0.162,0.000,212.500
SG,James Young,3000,Phi@Bos 07:30PM ET,3.523,Bos,1,1,2.500,0.594,2.125,1.250,21.000,18.000,0.033,0.000,212.500
SG,Timothe Luwawu-Cabarrot,3000,Phi@Bos 07:30PM ET,4.738,Phi,0,0,5.393,1.795,4.500,9.000,13.000,18.000,0.002,11.000,212.500
SF,Jaylen Brown,3000,Phi@Bos 07:30PM ET,9.507,Bos,1,0,7.500,4.737,9.250,16.750,18.500,18.000,0.127,0.000,212.500
PF,Jonas Jerebko,3000,Phi@Bos 07:30PM ET,11.493,Bos,1,0,12.000,6.847,12.250,0.750,5.000,18.000,0.143,0.000,212.500
PF,Jordan Mickey,3000,Phi@Bos 07:30PM ET,5.306,Bos,1,0,4.188,1.812,5.500,7.750,5.000,18.000,0.014,0.000,212.500
C,Tyler Zeller,3000,Phi@Bos 07:30PM ET,10.454,Bos,1,1,3.893,3.650,3.125,8.000,27.000,18.000,0.215,0.000,212.500
PG,Jason Terry,3000,NY@Mil 08:00PM ET,8.034,Mil,1,0,7.893,3.946,10.750,16.750,14.000,18.000,0.030,0.000,213.500
SG,Sasha Vujacic,3000,NY@Mil 08:00PM ET,5.202,NY,0,0,5.071,0.591,5.688,0.000,16.000,18.000,0.017,5.000,213.500
SG,Khris Middleton,3000,NY@Mil 08:00PM ET,0.000,Mil,1,0,0.000,0.000,0.000,0.000,24.500,18.000,,0.000,213.500
SG,Ron Baker,3000,NY@Mil 08:00PM ET,6.727,NY,0,0,8.125,2.917,8.750,3.500,16.000,18.000,0.043,5.000,213.500
SG,Rashad Vaughn,3000,NY@Mil 08:00PM ET,7.839,Mil,1,0,11.458,1.406,4.125,11.250,24.500,18.000,0.153,0.000,213.500
SF,Steve Novak,3000,NY@Mil 08:00PM ET,1.156,Mil,1,0,0.417,0.000,1.688,2.000,15.000,18.000,0.003,0.000,213.500
PF,Mirza Teletovic,3000,NY@Mil 08:00PM ET,14.000,Mil,1,0,13.000,8.339,14.312,14.750,20.000,18.000,0.298,0.000,213.500
PF,Maurice Ndour,3000,NY@Mil 08:00PM ET,5.067,NY,0,0,5.179,2.714,5.438,2.000,17.000,18.000,0.002,5.000,213.500
PF,Thon Maker,3000,NY@Mil 08:00PM ET,4.250,Mil,1,0,7.562,1.531,3.250,3.500,20.000,18.000,0.004,0.000,213.500
C,Miles Plumlee,3000,NY@Mil 08:00PM ET,6.250,Mil,1,0,7.250,1.964,1.812,0.750,21.500,18.000,0.040,0.000,213.500
C,Marshall Plumlee,3000,NY@Mil 08:00PM ET,5.000,NY,0,0,6.875,0.625,5.000,0.000,13.000,18.000,0.105,5.000,213.500
C,Guillermo Hernangomez,3000,NY@Mil 08:00PM ET,13.083,NY,0,0,16.821,5.125,7.875,1.250,13.000,18.000,0.312,5.000,213.500
PG/SG,Ian Clark,3000,Mem@GS 10:30PM ET,12.280,GS,1,0,16.179,7.702,13.625,7.000,8.000,18.000,0.239,0.000,216.000
PG,Wade Baldwin IV,3000,Mem@GS 10:30PM ET,9.402,Mem,0,0,5.000,3.327,3.125,6.250,15.000,18.000,0.179,14.000,216.000
SG/SF,Patrick McCaw,3000,Mem@GS 10:30PM ET,6.741,GS,1,0,6.321,3.162,1.438,1.250,6.500,18.000,0.035,0.000,216.000
SG,Troy Williams,3000,Mem@GS 10:30PM ET,10.720,Mem,0,0,11.821,2.729,4.188,0.000,12.000,18.000,0.234,14.000,216.000
PF/C,Jarell Martin,3000,Mem@GS 10:30PM ET,10.520,Mem,0,0,8.464,4.816,4.750,9.250,15.750,18.000,0.158,14.000,216.000
PF,David West,3000,Mem@GS 10:30PM ET,12.299,GS,1,0,11.786,7.461,11.625,12.000,2.500,18.000,0.177,0.000,216.000
PF,Brandan Wright,3000,Mem@GS 10:30PM ET,0.000,Mem,0,1,0.000,0.000,0.000,0.000,10.000,18.000,,14.000,216.000
PF,James Michael McAdoo,3000,Mem@GS 10:30PM ET,3.036,GS,1,0,4.167,1.333,1.375,0.000,2.500,18.000,0.001,0.000,216.000
