Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PF/C,Karl-Anthony Towns,10500,Min@Pho 09:00PM ET,46.597,Min,0,0,47.286,38.683,53.062,64.000,21.750,63.000,0.083,0.000,215.500
PG,John Wall,9400,Bos@Was 07:00PM ET,48.661,Was,1,0,52.964,41.350,50.000,39.000,22.000,56.400,0.206,0.000,217.000
PG,Isaiah Thomas,9300,Bos@Was 07:00PM ET,43.647,Bos,0,0,45.536,36.075,49.438,52.750,3.000,55.800,0.103,1.000,217.000
SF,Kawhi Leonard,9200,SA@Tor 07:00PM ET,42.732,SA,0,1,44.250,33.544,53.250,58.500,12.000,55.200,0.101,2.500,203.000
SG/SF,Jimmy Butler,9000,Chi@Orl 07:00PM ET,43.936,Chi,0,0,35.857,34.510,39.875,39.250,20.500,54.000,0.239,0.000,204.500
PG,Eric Bledsoe,8900,Min@Pho 09:00PM ET,39.858,Pho,1,0,45.429,29.818,54.625,68.500,19.500,53.400,0.139,1.500,215.500
PG,Kyle Lowry,8800,SA@Tor 07:00PM ET,43.041,Tor,1,0,42.893,33.972,36.562,30.500,4.500,52.800,0.171,0.000,203.000
C,Nikola Jokic,8600,Uta@Den 09:00PM ET,33.885,Den,1,0,44.536,21.775,48.875,41.250,1.000,51.600,0.126,0.000,210.500
C,DeAndre Jordan,8100,LAC@Phi 07:00PM ET,36.141,LAC,0,0,36.607,29.750,45.625,34.000,27.000,48.600,0.101,0.000,203.500
C,Joel Embiid,8000,LAC@Phi 07:00PM ET,38.375,Phi,1,1,43.464,30.192,47.125,45.000,11.000,48.000,0.145,4.500,203.500
PG,Chris Paul,7900,LAC@Phi 07:00PM ET,43.917,LAC,0,1,41.250,36.188,43.312,22.250,11.000,47.400,0.374,0.000,203.500
SG,DeMar DeRozan,7700,SA@Tor 07:00PM ET,42.170,Tor,1,1,40.036,34.864,40.750,34.750,18.000,46.200,0.332,0.000,203.000
PF,Blake Griffin,7600,LAC@Phi 07:00PM ET,41.942,LAC,0,1,38.143,35.625,41.750,46.250,6.000,45.600,0.332,0.000,203.500
C,Rudy Gobert,7300,Uta@Den 09:00PM ET,36.685,Uta,0,0,43.000,28.920,46.812,35.000,18.500,43.800,0.238,2.000,210.500
SF,Gordon Hayward,7200,Uta@Den 09:00PM ET,37.160,Uta,0,0,33.286,29.158,33.312,29.000,18.500,43.200,0.264,2.000,210.500
SF,Andrew Wiggins,7000,Min@Pho 09:00PM ET,32.358,Min,0,0,33.143,22.913,33.312,38.500,25.500,42.000,0.199,0.000,215.500
PG,George Hill,6900,Uta@Den 09:00PM ET,31.398,Uta,0,0,33.071,22.075,28.688,19.000,29.000,41.400,0.176,2.000,210.500
PF,LaMarcus Aldridge,6900,SA@Tor 07:00PM ET,33.069,SA,0,0,38.643,24.631,38.375,42.250,22.000,41.400,0.212,2.500,203.000
SG,Devin Booker,6900,Min@Pho 09:00PM ET,30.616,Pho,1,0,39.250,23.000,33.000,33.500,8.500,41.400,0.143,1.500,215.500
C,Al Horford,6800,Bos@Was 07:00PM ET,36.235,Bos,0,0,33.393,29.047,33.875,36.250,8.000,40.800,0.306,1.000,217.000
SG,Dwyane Wade,6800,Chi@Orl 07:00PM ET,33.238,Chi,0,0,29.179,25.512,34.438,58.500,21.000,40.800,0.230,0.000,204.500
SG,Bradley Beal,6700,Bos@Was 07:00PM ET,33.594,Was,1,0,30.107,25.637,26.312,32.250,13.000,40.200,0.253,0.000,217.000
