"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","A.J. Hammons",3000,"Min@Dal 02:00PM ET",3.794,"Dal"
"PG","Ron Baker",3000,"NY@Tor 03:00PM ET",7.917,"NY"
"PG","Fred VanVleet",3000,"NY@Tor 03:00PM ET",4.475,"Tor"
"PG","Delon Wright",3000,"NY@Tor 03:00PM ET",0,"Tor"
"SG","Sasha Vujacic",3000,"NY@Tor 03:00PM ET",5.398,"NY"
"SG","Justin Holiday",3000,"NY@Tor 03:00PM ET",14.344,"NY"
"SF/PF","Lance Thomas",3000,"NY@Tor 03:00PM ET",9.466,"NY"
"SF","Bruno Caboclo",3000,"NY@Tor 03:00PM ET",2.643,"Tor"
"PF","Jared Sullinger",3000,"NY@Tor 03:00PM ET",0,"Tor"
"PF","Maurice Ndour",3000,"NY@Tor 03:00PM ET",5.078,"NY"
"PF","Pascal Siakam",3000,"NY@Tor 03:00PM ET",12.049,"Tor"
"C","Marshall Plumlee",3000,"NY@Tor 03:00PM ET",5.000,"NY"
"C","Guillermo Hernangomez",3000,"NY@Tor 03:00PM ET",12.456,"NY"
"C","Jakob Poeltl",3000,"NY@Tor 03:00PM ET",7.500,"Tor"
