"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Trey Lyles",3100,"Uta@Pho 09:00PM ET",16.940,"Uta"
"C","Alex Len",3100,"Uta@Pho 09:00PM ET",20.849,"Pho"
"PG","Brian Roberts",3000,"Cha@Bos 07:30PM ET",3.150,"Cha"
"PG","Demetrius Jackson",3000,"Cha@Bos 07:30PM ET",5.000,"Bos"
"PG","Terry Rozier",3000,"Cha@Bos 07:30PM ET",13.806,"Bos"
"SG","James Young",3000,"Cha@Bos 07:30PM ET",3.523,"Bos"
"SF","Treveon Graham",3000,"Cha@Bos 07:30PM ET",3.500,"Cha"
"SF","Jaylen Brown",3000,"Cha@Bos 07:30PM ET",9.013,"Bos"
"PF","Jonas Jerebko",3000,"Cha@Bos 07:30PM ET",11.294,"Bos"
"PF","Jordan Mickey",3000,"Cha@Bos 07:30PM ET",5.675,"Bos"
"PF","Christian Wood",3000,"Cha@Bos 07:30PM ET",2.500,"Cha"
"C","Roy Hibbert",3000,"Cha@Bos 07:30PM ET",12.875,"Cha"
"C","Tyler Zeller",3000,"Cha@Bos 07:30PM ET",10.454,"Bos"
"PG","Kay Felder",3000,"Cle@GS 08:00PM ET",9.841,"Cle"
"SG/SF","Patrick McCaw",3000,"Cle@GS 08:00PM ET",6.258,"GS"
"SG","James Jones",3000,"Cle@GS 08:00PM ET",4.552,"Cle"
"SG","DeAndre Liggins",3000,"Cle@GS 08:00PM ET",9.306,"Cle"
"SG","Jordan McRae",3000,"Cle@GS 08:00PM ET",8.308,"Cle"
"SF/PF","Richard Jefferson",3000,"Cle@GS 08:00PM ET",10.032,"Cle"
"PF","David West",3000,"Cle@GS 08:00PM ET",12.269,"GS"
"PF","James Michael McAdoo",3000,"Cle@GS 08:00PM ET",2.833,"GS"
"PF","Kevon Looney",3000,"Cle@GS 08:00PM ET",8.025,"GS"
"C","Chris Andersen",3000,"Cle@GS 08:00PM ET",7.979,"Cle"
"C","Anderson Varejao",3000,"Cle@GS 08:00PM ET",5.825,"GS"
"C","JaVale McGee",3000,"Cle@GS 08:00PM ET",10.111,"GS"
"C","Damian Jones",3000,"Cle@GS 08:00PM ET",-1.000,"GS"
"PG","Semaj Christon",3000,"OKC@LAC 10:30PM ET",9.081,"OKC"
"PG","Cameron Payne",3000,"OKC@LAC 10:30PM ET",9.800,"OKC"
"SG/SF","Alex Abrines",3000,"OKC@LAC 10:30PM ET",9.407,"OKC"
"SG","Alan Anderson",3000,"OKC@LAC 10:30PM ET",5.250,"LAC"
"SG","Anthony Morrow",3000,"OKC@LAC 10:30PM ET",8.759,"OKC"
"SF/PF","Jerami Grant",3000,"OKC@LAC 10:30PM ET",12.951,"OKC"
"SF","Paul Pierce",3000,"OKC@LAC 10:30PM ET",6.917,"LAC"
"SF","Wesley Johnson",3000,"OKC@LAC 10:30PM ET",10.444,"LAC"
"SF","Kyle Singler",3000,"OKC@LAC 10:30PM ET",4.131,"OKC"
"SF","Josh Huestis",3000,"OKC@LAC 10:30PM ET",0,"OKC"
"PF","Brandon Bass",3000,"OKC@LAC 10:30PM ET",9.279,"LAC"
"PF","Luc Richard Mbah a Moute",3000,"OKC@LAC 10:30PM ET",13.531,"LAC"
"PF","Brice Johnson",3000,"OKC@LAC 10:30PM ET",0,"LAC"
"C","Nick Collison",3000,"OKC@LAC 10:30PM ET",3.818,"OKC"
"C","Joffrey Lauvergne",3000,"OKC@LAC 10:30PM ET",11.729,"OKC"
"C","Diamond Stone",3000,"OKC@LAC 10:30PM ET",2.813,"LAC"
"PG/SG","Leandro Barbosa",3000,"Uta@Pho 09:00PM ET",10.545,"Pho"
"PG","Raul Neto",3000,"Uta@Pho 09:00PM ET",5.738,"Uta"
"PG","Dante Exum",3000,"Uta@Pho 09:00PM ET",12.097,"Uta"
"PG","Tyler Ulis",3000,"Uta@Pho 09:00PM ET",7.240,"Pho"
"SF/PF","Dragan Bender",3000,"Uta@Pho 09:00PM ET",8.061,"Pho"
"SF","Derrick Jones Jr.",3000,"Uta@Pho 09:00PM ET",1.500,"Pho"
"PF/C","Boris Diaw",3000,"Uta@Pho 09:00PM ET",10.333,"Uta"
"PF","Jared Dudley",3000,"Uta@Pho 09:00PM ET",16.858,"Pho"
"PF","Joel Bolomboy",3000,"Uta@Pho 09:00PM ET",2.833,"Uta"
"C","Jeff Withey",3000,"Uta@Pho 09:00PM ET",7.615,"Uta"
"C","Alan Williams",3000,"Uta@Pho 09:00PM ET",9.768,"Pho"
