"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","DeMarcus Cousins",11400,"Sac@Por 10:00PM ET",53.017,"Sac"
"PF/C","Anthony Davis",11100,"LAC@NO 08:00PM ET",55.605,"NO"
"PG","Giannis Antetokounmpo",10000,"Mil@Det 07:30PM ET",51.095,"Mil"
"SF","Kevin Durant",9800,"Tor@GS 10:30PM ET",49.602,"GS"
"PG","John Wall",9500,"Ind@Was 07:00PM ET",48.527,"Was"
"PG","Chris Paul",9000,"LAC@NO 08:00PM ET",43.975,"LAC"
"PF/C","Karl-Anthony Towns",8700,"Min@Den 09:00PM ET",44.444,"Min"
"PG","Damian Lillard",8500,"Sac@Por 10:00PM ET",44.398,"Por"
"SG/SF","Jimmy Butler",8400,"Bkn@Chi 08:00PM ET",42.089,"Chi"
"SF","Kawhi Leonard",8300,"Pho@SA 08:30PM ET",41.879,"SA"
"PG","Kyle Lowry",8200,"Tor@GS 10:30PM ET",42.525,"Tor"
"PG","Stephen Curry",8100,"Tor@GS 10:30PM ET",42.586,"GS"
"PG","Kemba Walker",8000,"Cha@Orl 07:00PM ET",39.050,"Cha"
"SG/SF","Nicolas Batum",7900,"Cha@Orl 07:00PM ET",35.883,"Cha"
"PF/C","Blake Griffin",7900,"LAC@NO 08:00PM ET",41.942,"LAC"
"SG","DeMar DeRozan",7800,"Tor@GS 10:30PM ET",41.967,"Tor"
"PF/C","Draymond Green",7700,"Tor@GS 10:30PM ET",39.425,"GS"
"SF/PF","Paul George",7700,"Ind@Was 07:00PM ET",38.830,"Ind"
"SF","Carmelo Anthony",7600,"NY@Atl 07:30PM ET",37.457,"NY"
"PG/SG","C.J. McCollum",7600,"Sac@Por 10:00PM ET",35.424,"Por"
"PF","Kristaps Porzingis",7500,"NY@Atl 07:30PM ET",37.433,"NY"
"PF","Paul Millsap",7400,"NY@Atl 07:30PM ET",37.670,"Atl"
"C","Dwight Howard",7300,"NY@Atl 07:30PM ET",37.176,"Atl"
"PG","Jeff Teague",7200,"Ind@Was 07:00PM ET",35.375,"Ind"
"C","Andre Drummond",7100,"Mil@Det 07:30PM ET",37.719,"Det"
"C","DeAndre Jordan",7000,"LAC@NO 08:00PM ET",33.220,"LAC"
"PG","Eric Bledsoe",7000,"Pho@SA 08:30PM ET",37.919,"Pho"
"PG","Dennis Schroder",6900,"NY@Atl 07:30PM ET",31.710,"Atl"
"SF/PF","Jabari Parker",6900,"Mil@Det 07:30PM ET",33.034,"Mil"
"PF/C","LaMarcus Aldridge",6900,"Pho@SA 08:30PM ET",31.946,"SA"
"C","Brook Lopez",6800,"Bkn@Chi 08:00PM ET",35.778,"Bkn"
"SG","Dwyane Wade",6600,"Bkn@Chi 08:00PM ET",33.750,"Chi"
"SF","Andrew Wiggins",6500,"Min@Den 09:00PM ET",32.105,"Min"
"SG","Klay Thompson",6500,"Tor@GS 10:30PM ET",31.656,"GS"
"SG","Zach LaVine",6400,"Min@Den 09:00PM ET",32.192,"Min"
"C","Nikola Jokic",6400,"Min@Den 09:00PM ET",28.866,"Den"
"SG","Bradley Beal",6400,"Ind@Was 07:00PM ET",34.176,"Was"
"PG","Derrick Rose",6300,"NY@Atl 07:30PM ET",29.913,"NY"
"C","Myles Turner",6300,"Ind@Was 07:00PM ET",31.992,"Ind"
"PG","Jrue Holiday",6300,"LAC@NO 08:00PM ET",32.069,"NO"
"SF","Rudy Gay",6300,"Sac@Por 10:00PM ET",34.740,"Sac"
"PF/C","Serge Ibaka",6200,"Cha@Orl 07:00PM ET",30.485,"Orl"
"SG","Devin Booker",6200,"Pho@SA 08:30PM ET",29.367,"Pho"
"C","Nikola Vucevic",6100,"Cha@Orl 07:00PM ET",33.258,"Orl"
"PG","Elfrid Payton",6000,"Cha@Orl 07:00PM ET",28.091,"Orl"
"SG/SF","Evan Fournier",6000,"Cha@Orl 07:00PM ET",28.742,"Orl"
"PG","Ricky Rubio",5900,"Min@Den 09:00PM ET",25.750,"Min"
"SF","Danilo Gallinari",5900,"Min@Den 09:00PM ET",28.616,"Den"
"PG","Rajon Rondo",5900,"Bkn@Chi 08:00PM ET",29.046,"Chi"
"SF/PF","Otto Porter",5900,"Ind@Was 07:00PM ET",30.108,"Was"
"PG","Jeremy Lin",5800,"Bkn@Chi 08:00PM ET",30.146,"Bkn"
"PF","Thaddeus Young",5800,"Ind@Was 07:00PM ET",25.375,"Ind"
"C","Pau Gasol",5800,"Pho@SA 08:30PM ET",29.121,"SA"
"SG/SF","Will Barton",5700,"Min@Den 09:00PM ET",27.211,"Den"
"C","Marcin Gortat",5700,"Ind@Was 07:00PM ET",31.317,"Was"
"C","Mason Plumlee",5700,"Sac@Por 10:00PM ET",29.841,"Por"
"SF/PF","Wilson Chandler",5600,"Min@Den 09:00PM ET",30.009,"Den"
"PF","Trevor Booker",5600,"Bkn@Chi 08:00PM ET",28.330,"Bkn"
"PF/C","Gorgui Dieng",5500,"Min@Den 09:00PM ET",26.984,"Min"
"SF/PF","Tobias Harris",5500,"Mil@Det 07:30PM ET",27.409,"Det"
"SG","Kentavious Caldwell-Pope",5400,"Mil@Det 07:30PM ET",26.672,"Det"
"C","Jonas Valanciunas",5400,"Tor@GS 10:30PM ET",28.134,"Tor"
"SG","Sean Kilpatrick",5400,"Bkn@Chi 08:00PM ET",26.658,"Bkn"
"SG","Jamal Crawford",5400,"LAC@NO 08:00PM ET",19.727,"LAC"
"SG","J.J. Redick",5300,"LAC@NO 08:00PM ET",21.508,"LAC"
"PG","Reggie Jackson",5200,"Mil@Det 07:30PM ET",25.000,"Det"
"SF/PF","Markieff Morris",5100,"Ind@Was 07:00PM ET",25.888,"Was"
"C","Cody Zeller",5100,"Cha@Orl 07:00PM ET",24.125,"Cha"
"PF","Jon Leuer",5000,"Mil@Det 07:30PM ET",23.352,"Det"
"PF/C","Taj Gibson",5000,"Bkn@Chi 08:00PM ET",25.871,"Chi"
"SG","Gary Harris",4900,"Min@Den 09:00PM ET",22.500,"Den"
"SF/PF","Aaron Gordon",4900,"Cha@Orl 07:00PM ET",21.235,"Orl"
"PG","Austin Rivers",4900,"LAC@NO 08:00PM ET",16.914,"LAC"
"PG","Emmanuel Mudiay",4800,"Min@Den 09:00PM ET",24.742,"Den"
"PF/C","Kenneth Faried",4800,"Min@Den 09:00PM ET",24.092,"Den"
"C","Robin Lopez",4800,"Bkn@Chi 08:00PM ET",23.556,"Chi"
"SF","Michael Kidd-Gilchrist",4800,"Cha@Orl 07:00PM ET",23.008,"Cha"
"SG/SF","Kent Bazemore",4700,"NY@Atl 07:30PM ET",22.026,"Atl"
"PG/SG","Raymond Felton",4700,"LAC@NO 08:00PM ET",13.105,"LAC"
"SF","T.J. Warren",4700,"Pho@SA 08:30PM ET",25.681,"Pho"
"SF","Thabo Sefolosha",4600,"NY@Atl 07:30PM ET",21.589,"Atl"
"SF/PF","Marcus Morris",4600,"Mil@Det 07:30PM ET",23.477,"Det"
"SG/SF","Bojan Bogdanovic",4600,"Bkn@Chi 08:00PM ET",21.875,"Bkn"
"SF/PF","Nikola Mirotic",4600,"Bkn@Chi 08:00PM ET",21.578,"Chi"
"PF","Terrence Jones",4600,"LAC@NO 08:00PM ET",23.065,"NO"
"SF","Maurice Harkless",4600,"Sac@Por 10:00PM ET",23.977,"Por"
"PF","Marvin Williams",4500,"Cha@Orl 07:00PM ET",21.460,"Cha"
"C","Bismack Biyombo",4400,"Cha@Orl 07:00PM ET",21.797,"Orl"
"C","Greg Monroe",4300,"Mil@Det 07:30PM ET",24.161,"Mil"
"PG","Tim Frazier",4300,"LAC@NO 08:00PM ET",27.266,"NO"
"PG","Darren Collison",4300,"Sac@Por 10:00PM ET",22.609,"Sac"
"C","Tyson Chandler",4300,"Pho@SA 08:30PM ET",24.457,"Pho"
"PF/C","Marreese Speights",4200,"LAC@NO 08:00PM ET",18.682,"LAC"
"PG","Ty Lawson",4200,"Sac@Por 10:00PM ET",20.331,"Sac"
"SG/SF","Evan Turner",4200,"Sac@Por 10:00PM ET",20.700,"Por"
"PG/SG","Brandon Knight",4200,"Pho@SA 08:30PM ET",21.734,"Pho"
"PG","Tony Parker",4100,"Pho@SA 08:30PM ET",19.295,"SA"
"C","Joakim Noah",4000,"NY@Atl 07:30PM ET",21.087,"NY"
"C","John Henson",4000,"Mil@Det 07:30PM ET",19.676,"Mil"
"SF/PF","DeMarre Carroll",4000,"Tor@GS 10:30PM ET",18.710,"Tor"
"SF","Rondae Hollis-Jefferson",4000,"Bkn@Chi 08:00PM ET",19.574,"Bkn"
"SG","Monta Ellis",4000,"Ind@Was 07:00PM ET",21.781,"Ind"
"SG","Marco Belinelli",4000,"Cha@Orl 07:00PM ET",18.967,"Cha"
"SG/SF","Tyreke Evans",4000,"LAC@NO 08:00PM ET",13.350,"NO"
"PF","Al-Farouq Aminu",4000,"Sac@Por 10:00PM ET",18.516,"Por"
"PG","Patty Mills",4000,"Pho@SA 08:30PM ET",20.935,"SA"
"PG/SG","Brandon Jennings",3900,"NY@Atl 07:30PM ET",20.792,"NY"
"SG","Kyle Korver",3900,"NY@Atl 07:30PM ET",18.027,"Atl"
"PF/C","Kyle O'Quinn",3900,"NY@Atl 07:30PM ET",18.034,"NY"
"C","Cole Aldrich",3900,"Min@Den 09:00PM ET",10.565,"Min"
"PG/SG","Malcolm Brogdon",3900,"Mil@Det 07:30PM ET",17.448,"Mil"
"SG/SF","Norman Powell",3900,"Tor@GS 10:30PM ET",12.163,"Tor"
"PF","Patrick Patterson",3900,"Tor@GS 10:30PM ET",20.517,"Tor"
"SG","Jodie Meeks",3900,"Cha@Orl 07:00PM ET",15.250,"Orl"
"PF","Frank Kaminsky",3900,"Cha@Orl 07:00PM ET",21.629,"Cha"
"SG/SF","Tim Hardaway Jr.",3800,"NY@Atl 07:30PM ET",17.784,"Atl"
"SG","Courtney Lee",3800,"NY@Atl 07:30PM ET",19.018,"NY"
"PG/SG","Matthew Dellavedova",3800,"Mil@Det 07:30PM ET",20.638,"Mil"
"C","Aron Baynes",3800,"Mil@Det 07:30PM ET",10.848,"Det"
"C","Lucas Nogueira",3800,"Tor@GS 10:30PM ET",17.576,"Tor"
"PF/C","Justin Hamilton",3800,"Bkn@Chi 08:00PM ET",15.600,"Bkn"
"SF","C.J. Miles",3800,"Ind@Was 07:00PM ET",19.308,"Ind"
"PG","Ramon Sessions",3800,"Cha@Orl 07:00PM ET",13.419,"Cha"
"SG/SF","Jeremy Lamb",3800,"Cha@Orl 07:00PM ET",17.425,"Cha"
"SF","Luc Richard Mbah a Moute",3800,"LAC@NO 08:00PM ET",13.629,"LAC"
"SF","P.J. Tucker",3800,"Pho@SA 08:30PM ET",17.605,"Pho"
"PF","David Lee",3800,"Pho@SA 08:30PM ET",16.258,"SA"
"PF/C","Mike Muscala",3700,"NY@Atl 07:30PM ET",17.669,"Atl"
"PG","Cory Joseph",3700,"Tor@GS 10:30PM ET",17.672,"Tor"
"SG/SF","Glenn Robinson III",3700,"Ind@Was 07:00PM ET",13.142,"Ind"
"SG/SF","Allen Crabbe",3700,"Sac@Por 10:00PM ET",17.045,"Por"
"SG","Danny Green",3700,"Pho@SA 08:30PM ET",16.880,"SA"
"C","Dewayne Dedmon",3700,"Pho@SA 08:30PM ET",15.110,"SA"
"C","Alex Len",3700,"Pho@SA 08:30PM ET",22.698,"Pho"
"PG/SG","Justin Holiday",3600,"NY@Atl 07:30PM ET",14.467,"NY"
"SG/SF","Terrence Ross",3600,"Tor@GS 10:30PM ET",17.103,"Tor"
"PG","D.J. Augustin",3600,"Cha@Orl 07:00PM ET",16.523,"Orl"
"PG/SG","Garrett Temple",3600,"Sac@Por 10:00PM ET",16.726,"Sac"
"SG/SF","Tony Snell",3500,"Mil@Det 07:30PM ET",17.446,"Mil"
"PG","Tomas Satoransky",3500,"Ind@Was 07:00PM ET",9.091,"Was"
"SF/PF","Omri Casspi",3500,"Sac@Por 10:00PM ET",14.588,"Sac"
"SG","Manu Ginobili",3500,"Pho@SA 08:30PM ET",17.610,"SA"
"PF","Jared Dudley",3500,"Pho@SA 08:30PM ET",17.371,"Pho"
"PG","Jameer Nelson",3400,"Min@Den 09:00PM ET",19.452,"Den"
"SF","Andre Iguodala",3400,"Tor@GS 10:30PM ET",17.444,"GS"
"PG","Isaiah Whitehead",3400,"Bkn@Chi 08:00PM ET",15.804,"Bkn"
"SF","Doug McDermott",3400,"Bkn@Chi 08:00PM ET",15.833,"Chi"
"SG/SF","Kelly Oubre Jr.",3400,"Ind@Was 07:00PM ET",13.286,"Was"
"PG","Shabazz Napier",3400,"Sac@Por 10:00PM ET",7.213,"Por"
"SF/PF","Matt Barnes",3400,"Sac@Por 10:00PM ET",18.543,"Sac"
"SF/PF","Dragan Bender",3400,"Pho@SA 08:30PM ET",7.552,"Pho"
"C","Kris Humphries",3300,"NY@Atl 07:30PM ET",10.205,"Atl"
"C","Zaza Pachulia",3300,"Tor@GS 10:30PM ET",17.125,"GS"
"PG/SG","Rodney Stuckey",3300,"Ind@Was 07:00PM ET",15.794,"Ind"
"PG","Aaron Brooks",3300,"Ind@Was 07:00PM ET",12.026,"Ind"
"C","Al Jefferson",3300,"Ind@Was 07:00PM ET",15.867,"Ind"
"C","Kosta Koufos",3300,"Sac@Por 10:00PM ET",15.548,"Sac"
"PG","Ish Smith",3200,"Mil@Det 07:30PM ET",22.939,"Det"
"SF/PF","Michael Beasley",3200,"Mil@Det 07:30PM ET",15.240,"Mil"
"SG","Joe Harris",3200,"Bkn@Chi 08:00PM ET",16.725,"Bkn"
"SF/PF","Jeff Green",3200,"Cha@Orl 07:00PM ET",16.172,"Orl"
"SG","E'Twaun Moore",3200,"LAC@NO 08:00PM ET",18.784,"NO"
"SG","Buddy Hield",3200,"LAC@NO 08:00PM ET",14.167,"NO"
"SF/PF","Dante Cunningham",3200,"LAC@NO 08:00PM ET",14.163,"NO"
"SF","Solomon Hill",3200,"LAC@NO 08:00PM ET",15.798,"NO"
"PF","Anthony Tolliver",3200,"Sac@Por 10:00PM ET",11.711,"Sac"
"PF","Marquese Chriss",3200,"Pho@SA 08:30PM ET",13.677,"Pho"
"C","Guillermo Hernangomez",3100,"NY@Atl 07:30PM ET",14.300,"NY"
"PG/SG","Jamal Murray",3100,"Min@Den 09:00PM ET",16.548,"Den"
"C","Jusuf Nurkic",3100,"Min@Den 09:00PM ET",22.324,"Den"
"PG","Malcolm Delaney",3000,"NY@Atl 07:30PM ET",11.742,"Atl"
"SG","Sasha Vujacic",3000,"NY@Atl 07:30PM ET",4.694,"NY"
"SG","Ron Baker",3000,"NY@Atl 07:30PM ET",7.050,"NY"
"SF/PF","Lance Thomas",3000,"NY@Atl 07:30PM ET",8.500,"NY"
"SF","Ryan Kelly",3000,"NY@Atl 07:30PM ET",4.667,"Atl"
"SF","Mindaugas Kuzminskas",3000,"NY@Atl 07:30PM ET",8.360,"NY"
"SF","Taurean Prince",3000,"NY@Atl 07:30PM ET",7.850,"Atl"
"SF","DeAndre' Bembry",3000,"NY@Atl 07:30PM ET",4.136,"Atl"
"PF","Mike Scott",3000,"NY@Atl 07:30PM ET",9.679,"Atl"
"PF","Maurice Ndour",3000,"NY@Atl 07:30PM ET",5.231,"NY"
"C","Tiago Splitter",3000,"NY@Atl 07:30PM ET",0,"Atl"
"C","Marshall Plumlee",3000,"NY@Atl 07:30PM ET",5.000,"NY"
"PG","John Lucas III",3000,"Min@Den 09:00PM ET",1.500,"Min"
"PG","Kris Dunn",3000,"Min@Den 09:00PM ET",13.137,"Min"
"PG","Tyus Jones",3000,"Min@Den 09:00PM ET",9.450,"Min"
"PG","Malik Beasley",3000,"Min@Den 09:00PM ET",4.611,"Den"
"SG/SF","Shabazz Muhammad",3000,"Min@Den 09:00PM ET",11.330,"Min"
"SG","Mike Miller",3000,"Min@Den 09:00PM ET",5.250,"Den"
"SG","Brandon Rush",3000,"Min@Den 09:00PM ET",4.773,"Min"
"SF/PF","Nemanja Bjelica",3000,"Min@Den 09:00PM ET",13.457,"Min"
"SF","Alonzo Gee",3000,"Min@Den 09:00PM ET",3.938,"Den"
"PF","Jordan Hill",3000,"Min@Den 09:00PM ET",5.350,"Min"
"PF","Darrell Arthur",3000,"Min@Den 09:00PM ET",9.375,"Den"
"PF","Adreian Payne",3000,"Min@Den 09:00PM ET",9.000,"Min"
"PF","Juancho Hernangomez",3000,"Min@Den 09:00PM ET",8.380,"Den"
"C","Nikola Pekovic",3000,"Min@Den 09:00PM ET",0,"Min"
"PG","Jason Terry",3000,"Mil@Det 07:30PM ET",7.479,"Mil"
"PG","Beno Udrih",3000,"Mil@Det 07:30PM ET",13.635,"Det"
"SG/SF","Stanley Johnson",3000,"Mil@Det 07:30PM ET",9.672,"Det"
"SG","Khris Middleton",3000,"Mil@Det 07:30PM ET",0,"Mil"
"SG","Darrun Hilliard",3000,"Mil@Det 07:30PM ET",7.088,"Det"
"SG","Rashad Vaughn",3000,"Mil@Det 07:30PM ET",7.839,"Mil"
"SF","Steve Novak",3000,"Mil@Det 07:30PM ET",0.500,"Mil"
"SF","Reggie Bullock",3000,"Mil@Det 07:30PM ET",7.563,"Det"
"SF","Michael Gbinije",3000,"Mil@Det 07:30PM ET",1.344,"Det"
"PF","Mirza Teletovic",3000,"Mil@Det 07:30PM ET",13.950,"Mil"
"PF","Henry Ellenson",3000,"Mil@Det 07:30PM ET",2.556,"Det"
"PF","Thon Maker",3000,"Mil@Det 07:30PM ET",4.909,"Mil"
"C","Miles Plumlee",3000,"Mil@Det 07:30PM ET",6.940,"Mil"
"C","Boban Marjanovic",3000,"Mil@Det 07:30PM ET",5.563,"Det"
"PG/SG","Ian Clark",3000,"Tor@GS 10:30PM ET",12.095,"GS"
"PG","Shaun Livingston",3000,"Tor@GS 10:30PM ET",10.952,"GS"
"PG","Fred VanVleet",3000,"Tor@GS 10:30PM ET",4.406,"Tor"
"PG","Delon Wright",3000,"Tor@GS 10:30PM ET",0,"Tor"
"SG/SF","Patrick McCaw",3000,"Tor@GS 10:30PM ET",6.952,"GS"
"SF","Bruno Caboclo",3000,"Tor@GS 10:30PM ET",3.450,"Tor"
"PF","David West",3000,"Tor@GS 10:30PM ET",12.383,"GS"
"PF","James Michael McAdoo",3000,"Tor@GS 10:30PM ET",3.036,"GS"
"PF","Kevon Looney",3000,"Tor@GS 10:30PM ET",8.694,"GS"
"PF","Pascal Siakam",3000,"Tor@GS 10:30PM ET",12.650,"Tor"
