"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",12600,"Hou@Phi 08:00PM ET",60.515,"Hou"
"PF/C","DeMarcus Cousins",11000,"Sac@Ind 07:00PM ET",53.188,"Sac"
"SF","LeBron James",10200,"Bkn@Cle 07:30PM ET",51.994,"Cle"
"PG/SF","Giannis Antetokounmpo",10000,"Mil@Tor 07:30PM ET",50.102,"Mil"
"PG","John Wall",9900,"Was@Atl 08:00PM ET",48.756,"Was"
"C","Anthony Davis",9700,"SA@NO 08:00PM ET",53.506,"NO"
"PG","Isaiah Thomas",9600,"Orl@Bos 07:30PM ET",44.213,"Bos"
"SF","Kawhi Leonard",9000,"SA@NO 08:00PM ET",42.732,"SA"
"SG/SF","Jimmy Butler",8900,"Mia@Chi 08:00PM ET",44.183,"Chi"
"PG","Kyle Lowry",8600,"Mil@Tor 07:30PM ET",43.156,"Tor"
"C","Joel Embiid",8400,"Hou@Phi 08:00PM ET",38.417,"Phi"
"PG","Kyrie Irving",8300,"Bkn@Cle 07:30PM ET",39.987,"Cle"
"PF/C","Kevin Love",8100,"Bkn@Cle 07:30PM ET",40.795,"Cle"
"C","Marc Gasol",8000,"Mem@Por 10:00PM ET",39.261,"Mem"
"PG","Kemba Walker",7900,"Cha@NY 07:30PM ET",39.639,"Cha"
"SF/PF","Paul George",7900,"Sac@Ind 07:00PM ET",38.651,"Ind"
"PG","Damian Lillard",7800,"Mem@Por 10:00PM ET",43.095,"Por"
"SG","DeMar DeRozan",7700,"Mil@Tor 07:30PM ET",42.170,"Tor"
"PF","LaMarcus Aldridge",7600,"SA@NO 08:00PM ET",33.098,"SA"
"PG","Goran Dragic",7500,"Mia@Chi 08:00PM ET",35.461,"Mia"
"PG","Jrue Holiday",7500,"SA@NO 08:00PM ET",33.121,"NO"
"PF","Paul Millsap",7400,"Was@Atl 08:00PM ET",38.797,"Atl"
"C","Hassan Whiteside",7400,"Mia@Chi 08:00PM ET",40.911,"Mia"
"PG","Mike Conley",7400,"Mem@Por 10:00PM ET",36.050,"Mem"
"SG/SF","Nicolas Batum",7300,"Cha@NY 07:30PM ET",35.820,"Cha"
"SF","Carmelo Anthony",7200,"Cha@NY 07:30PM ET",37.723,"NY"
"PG","Jeff Teague",7200,"Sac@Ind 07:00PM ET",36.306,"Ind"
"PG/SG","C.J. McCollum",7100,"Mem@Por 10:00PM ET",37.186,"Por"
"PG","Elfrid Payton",7000,"Orl@Bos 07:30PM ET",29.016,"Orl"
"C","Al Horford",7000,"Orl@Bos 07:30PM ET",36.471,"Bos"
"SG","Dwyane Wade",7000,"Mia@Chi 08:00PM ET",34.012,"Chi"
"SF/PF","Jabari Parker",7000,"Mil@Tor 07:30PM ET",35.039,"Mil"
"PF/C","Terrence Jones",6900,"SA@NO 08:00PM ET",24.290,"NO"
"SG","Bradley Beal",6800,"Was@Atl 08:00PM ET",33.835,"Was"
"SF/PF","Markieff Morris",6800,"Was@Atl 08:00PM ET",28.142,"Was"
"SG/SF","Dion Waiters",6800,"Mia@Chi 08:00PM ET",27.010,"Mia"
"C","Dwight Howard",6700,"Was@Atl 08:00PM ET",35.976,"Atl"
"C","Myles Turner",6600,"Sac@Ind 07:00PM ET",32.659,"Ind"
"C","Nikola Vucevic",6500,"Orl@Bos 07:30PM ET",33.801,"Orl"
"C","Brook Lopez",6500,"Bkn@Cle 07:30PM ET",35.110,"Bkn"
"PG","Dennis Schroder",6400,"Was@Atl 08:00PM ET",31.989,"Atl"
"PF/C","Serge Ibaka",6300,"Orl@Bos 07:30PM ET",30.277,"Orl"
"PF","Kristaps Porzingis",6200,"Cha@NY 07:30PM ET",35.400,"NY"
"C","Mason Plumlee",6100,"Mem@Por 10:00PM ET",30.979,"Por"
"SF/PF","Otto Porter",6000,"Was@Atl 08:00PM ET",29.711,"Was"
"PF/C","Zach Randolph",6000,"Mem@Por 10:00PM ET",27.931,"Mem"
"SF","Jae Crowder",5900,"Orl@Bos 07:30PM ET",26.905,"Bos"
"PF","Ersan Ilyasova",5900,"Hou@Phi 08:00PM ET",27.267,"Phi"
"PF/C","David Lee",5900,"SA@NO 08:00PM ET",17.165,"SA"
"PF/C","Nerlens Noel",5800,"Hou@Phi 08:00PM ET",18.778,"Phi"
"C","Jonas Valanciunas",5800,"Mil@Tor 07:30PM ET",27.989,"Tor"
"PG/SG","Marcus Smart",5700,"Orl@Bos 07:30PM ET",24.994,"Bos"
"SG","Avery Bradley",5700,"Orl@Bos 07:30PM ET",33.458,"Bos"
