Name,Salary,Position,teamAbbrev,AvgPointsPerGame,expectedScore,atHome,opponent,injured,fpWithBonus,penalty,Final,O/U,odds
C.J. McCollum,8600,PG/SG,POR,36.104,110,0,GS,0,36.104,0.000,57.250,222.500,16.000
Maurice Harkless,4700,SF,POR,23.807,110,0,GS,0,23.807,0.000,24.250,222.500,16.000
Allen Crabbe,4200,SG/SF,POR,17.465,110,0,GS,0,17.465,0.000,29.750,222.500,16.000
Mason Plumlee,5700,C,POR,29.889,110,0,GS,0,29.889,0.000,44.000,222.500,16.000
Al-Farouq Aminu,4300,PF,POR,18.684,110,0,GS,0,18.684,0.000,31.250,222.500,16.000
Evan Turner,4900,SG/SF,POR,20.992,110,0,GS,0,20.992,0.000,17.250,222.500,16.000
Ed Davis,3000,C,POR,12.764,110,0,GS,0,12.764,0.000,0.000,222.500,16.000
Meyers Leonard,3100,PF/C,POR,11.705,110,0,GS,0,11.705,0.000,11.750,222.500,16.000
Noah Vonleh,3000,PF,POR,8.948,110,0,GS,0,8.948,0.000,7.000,222.500,16.000
Shabazz Napier,3000,PG,POR,7.522,110,0,GS,0,7.522,0.000,9.000,222.500,16.000
Jake Layman,3000,PF,POR,4.474,110,0,GS,0,4.474,0.000,0.000,222.500,16.000
Pat Connaughton,3000,SF,POR,3.267,110,0,GS,0,3.267,0.000,0.000,222.500,16.000
Tim Quarterman,3000,PG,POR,3.250,110,0,GS,0,3.250,0.000,0.000,222.500,16.000
Marc Gasol,7800,C,MEM,38.421,101,0,LAC,0,38.421,0.000,43.000,197.000,-1.500
Mike Conley,6700,PG,MEM,34.570,101,0,LAC,0,34.570,0.000,44.250,197.000,-1.500
Tony Allen,5000,SG,MEM,22.142,101,0,LAC,0,22.142,0.000,25.000,197.000,-1.500
Andrew Harrison,4900,PG,MEM,18.306,101,0,LAC,0,18.306,0.000,24.250,197.000,-1.500
Vince Carter,3200,SG/SF,MEM,17.967,101,0,LAC,0,17.967,0.000,26.250,197.000,-1.500
Zach Randolph,5600,PF/C,MEM,26.750,101,0,LAC,0,26.750,0.000,15.750,197.000,-1.500
Troy Daniels,3100,SG,MEM,15.413,101,0,LAC,0,15.413,0.000,15.000,197.000,-1.500
Chandler Parsons,3400,SF,MEM,11.188,101,0,LAC,0,11.188,0.000,0.000,197.000,-1.500
Troy Williams,3000,SG,MEM,10.720,101,0,LAC,0,10.720,0.000,0.000,197.000,-1.500
Jarell Martin,3000,PF/C,MEM,10.556,101,0,LAC,0,10.556,0.000,9.250,197.000,-1.500
Goran Dragic,6900,PG,MIA,35.384,101,0,SAC,0,35.384,0.000,33.750,204.000,7.500
Josh Richardson,6200,SG/SF,MIA,22.750,101,0,SAC,0,21.750,0.000,28.000,204.000,7.500
Wayne Ellington,4100,SF,MIA,19.875,101,0,SAC,0,19.875,0.000,19.000,204.000,7.500
Rodney McGruder,3100,SG,MIA,14.398,101,0,SAC,0,14.398,0.000,15.500,204.000,7.500
Derrick Williams,3000,SF,MIA,12.488,101,0,SAC,0,12.488,0.000,0.000,204.000,7.500
Luke Babbitt,3000,PF,MIA,8.554,101,0,SAC,0,8.554,0.000,14.500,204.000,7.500
Willie Reed,3900,C,MIA,12.188,101,0,SAC,0,12.188,0.000,16.500,204.000,7.500
Udonis Haslem,3000,C,MIA,4.432,101,0,SAC,0,4.432,0.000,14.750,204.000,7.500
Kevin Durant,9600,SF,GS,49.529,110,1,POR,0,49.529,0.000,52.750,222.500,-16.000
Klay Thompson,6600,SG,GS,32.321,110,1,POR,0,32.321,0.000,28.750,222.500,-16.000
